EC_number,Status,Protein_names,Total_Pfam_domains,Found_Pfam_domains,Total_hits,Unique_proteins_with_hits
5.4.1.3,NOT_FOUND,2-methylfumaryl-CoA isomerase,1,0,0,0
4.2.1.2,PARTIALLY_FOUND,"Fumarate hydratase class II 1; Fumarate hydratase class I, aerobic; Fumarate hydratase class II; Fumarate hydratase class I, anaerobic; Fumarate hydratase class II 2; Fumarase D",5,2,88,3
4.2.1.148,NOT_FOUND,Mesaconyl-CoA hydratase; Beta-methylmalyl-CoA dehydratase,1,0,0,0
1.1.1.298,PARTIALLY_FOUND,Probable malonic semialdehyde reductase RutE; NADP-dependent 3-hydroxy acid dehydrogenase YdfG,2,1,54,9
4.1.3.24,NOT_FOUND,L-malyl-CoA/beta-methylmalyl-CoA lyase; Malyl-CoA/beta-methylmalyl-CoA/citramalyl-CoA lyase,1,0,0,0
4.1.3.25,NOT_FOUND,L-malyl-CoA/beta-methylmalyl-CoA lyase; Malyl-CoA/beta-methylmalyl-CoA/citramalyl-CoA lyase,1,0,0,0
6.4.1.3,PARTIALLY_FOUND,Propionyl-CoA carboxylase alpha chain; Propionyl-CoA carboxylase beta chain; Putative propionyl-CoA carboxylase beta chain,6,5,21,10
5.4.99.2,PARTIALLY_FOUND,Methylmalonyl-CoA mutase small subunit; Methylmalonyl-CoA mutase large subunit; Probable methylmalonyl-CoA mutase large subunit; Methylmalonyl-CoA mutase; Probable methylmalonyl-CoA mutase small subunit,2,1,9,1
1.3.5.1,FULLY_FOUND,Succinate dehydrogenase iron-sulfur subunit; Fumarate reductase flavoprotein subunit; Succinate dehydrogenase flavoprotein subunit; Fumarate reductase iron-sulfur subunit,6,6,208,19
4.2.1.153,NOT_FOUND,Mesaconyl-C(4)-CoA hydratase,1,0,0,0
5.1.99.1,FULLY_FOUND,Ethylmalonyl-CoA/methylmalonyl-CoA epimerase,1,1,1,1
1.3.1.84,NOT_FOUND,Probable acrylyl-CoA reductase AcuI; Acrylyl-CoA reductase AcuI,2,0,0,0
