strain,accession,target_name,target_description,query_name,pfam_id,evalue,score,bias,domain_evalue,domain_score
XMU1401E,GCF_019325115.1,WP_025931480.1,MULTISPECIES: 3-oxoacyl-[acyl-carrier-protein] reductase [Prochlorococcus],adh_short,adh_short,1.105208112294863e-67,224.0916290283203,1.605438232421875,1.3022592449496839e-67,223.859130859375
XMU1401E,GCF_019325115.1,WP_100883495.1,SDR family oxidoreductase [Prochlorococcus marinus],adh_short,adh_short,2.0099460079498017e-49,164.51051330566406,0.002899169921875,2.4386683606289752e-49,164.2365264892578
XMU1401E,GCF_019325115.1,WP_100883433.1,SDR family NAD(P)-dependent oxidoreductase [Prochlorococcus marinus],adh_short,adh_short,5.211132859119917e-37,124.0047378540039,0.001007080078125,6.106517180738356e-37,123.78004455566406
XMU1401E,GCF_019325115.1,WP_100884027.1,oxidoreductase [Prochlorococcus marinus],adh_short,adh_short,7.522387611253231e-36,120.22156524658203,0.0214080810546875,4.916587945357841e-35,117.56123352050781
XMU1401E,GCF_019325115.1,WP_100883485.1,SDR family oxidoreductase [Prochlorococcus marinus],adh_short,adh_short,1.3035874090143715e-26,90.07562255859375,0.00748443603515625,1.9371219760549795e-26,89.51433563232422
XMU1401E,GCF_019325115.1,WP_100883371.1,protochlorophyllide reductase [Prochlorococcus marinus],adh_short,adh_short,1.6038278658389678e-23,79.99296569824219,0.0073394775390625,2.998958963203681e-19,66.05413818359375
XMU1401E,GCF_019325115.1,WP_100883371.1,protochlorophyllide reductase [Prochlorococcus marinus],adh_short,adh_short,1.6038278658389678e-23,79.99296569824219,0.0073394775390625,0.012402046874949623,11.834803581237793
XMU1401E,GCF_019325115.1,WP_100883196.1,enoyl-ACP reductase FabI [Prochlorococcus marinus],adh_short,adh_short,5.5334491179959654e-18,61.923126220703125,0.0008087158203125,7.312606368790086e-18,61.52805709838867
XMU1401E,GCF_019325115.1,WP_075449199.1,SDR family NAD(P)-dependent oxidoreductase [Prochlorococcus marinus],adh_short,adh_short,3.437486926373758e-17,59.33478546142578,0.00037384033203125,2.410017452294312e-16,56.57502746582031
XMU1401E,GCF_019325115.1,WP_100883435.1,SDR family NAD(P)-dependent oxidoreductase [Prochlorococcus marinus],adh_short,adh_short,2.1544188511510083e-16,56.73390197753906,0.01806640625,3.9609736915207264e-14,49.3449821472168
XMU1401E,GCF_019325115.1,WP_245154878.1,UDP-glucose 4-epimerase GalE [Prochlorococcus marinus],adh_short,adh_short,6.05880485840782e-10,35.69077682495117,0.054668426513671875,8.811406791360043e-10,35.16002655029297
XMU1401E,GCF_019325115.1,WP_100883322.1,SDR family oxidoreductase [Prochlorococcus marinus],adh_short,adh_short,2.540725021193092e-07,27.13338851928711,0.1472034454345703,5.735896387653695e-06,22.716480255126953
XMU1401E,GCF_019325115.1,WP_100884082.1,class II fumarate hydratase [Prochlorococcus marinus],Lyase_1,Lyase_1,1.9358121029583939e-94,313.3231201171875,0.009124755859375,2.4491253051010336e-94,312.9875793457031
XMU1401E,GCF_019325115.1,WP_100883017.1,argininosuccinate lyase [Prochlorococcus marinus],Lyase_1,Lyase_1,1.4655117453303466e-72,241.45335388183594,0.000335693359375,1.8899977839620539e-72,241.09046936035156
XMU1401E,GCF_019325115.1,WP_100884081.1,adenylosuccinate lyase [Prochlorococcus marinus],Lyase_1,Lyase_1,6.164339886920022e-52,173.7068328857422,0.0117340087890625,8.507912808427605e-52,173.24716186523438
XMU1401E,GCF_019325115.1,WP_025931227.1,MULTISPECIES: acetyl-CoA carboxylase biotin carboxylase subunit [Prochlorococcus],Biotin_carb_N,Biotin_carb_N,1.0791381476819854e-47,157.90814208984375,0.202423095703125,4.0373612785378694e-47,156.06369018554688
XMU1401E,GCF_019325115.1,WP_100883200.1,NUDIX hydrolase [Prochlorococcus marinus],NUDIX,NUDIX,6.773592541618436e-15,52.072906494140625,0.012905120849609375,9.159726548573477e-15,51.6486701965332
XMU1401E,GCF_019325115.1,WP_025932862.1,acetyl-CoA carboxylase biotin carboxyl carrier protein [Prochlorococcus marinus],Biotin_lipoyl,Biotin_lipoyl,3.0918740014857176e-23,78.240234375,0.28588104248046875,4.5705782716337187e-23,77.69636535644531
XMU1401E,GCF_019325115.1,WP_100883260.1,dihydrolipoamide acetyltransferase family protein [Prochlorococcus marinus],Biotin_lipoyl,Biotin_lipoyl,5.083406546267005e-19,64.73258209228516,0.16461944580078125,5.083406546267005e-19,64.73258209228516
XMU1401E,GCF_019325115.1,WP_100883416.1,"1,4-dihydroxy-2-naphthoyl-CoA synthase [Prochlorococcus marinus]",ECH_1,ECH_1,2.840454943116764e-67,223.43698120117188,0.000823974609375,3.5564479696126445e-67,223.11715698242188
XMU1401E,GCF_019325115.1,WP_100883079.1,L-aspartate oxidase [Prochlorococcus marinus],FAD_binding_2,FAD_binding_2,3.906974398390928e-88,293.1648864746094,0.38153076171875,4.6252419682579977e-88,292.9234619140625
XMU1401E,GCF_019325115.1,WP_100883036.1,glycine oxidase ThiO [Prochlorococcus marinus],FAD_binding_2,FAD_binding_2,1.688873333231672e-12,44.02640151977539,0.0040130615234375,4.270633363824345e-12,42.69929504394531
XMU1401E,GCF_019325115.1,WP_100883153.1,NAD(P)/FAD-dependent oxidoreductase [Prochlorococcus marinus],FAD_binding_2,FAD_binding_2,2.222824172485327e-11,40.33948516845703,0.9052276611328125,1.2398917212977492e-08,31.29279136657715
XMU1401E,GCF_019325115.1,WP_100884031.1,NAD(P)/FAD-dependent oxidoreductase [Prochlorococcus marinus],FAD_binding_2,FAD_binding_2,2.280479348302922e-09,33.715003967285156,0.4034996032714844,4.751261747650793e-08,29.37103271484375
XMU1401E,GCF_019325115.1,WP_100883984.1,dihydrolipoyl dehydrogenase [Prochlorococcus marinus],FAD_binding_2,FAD_binding_2,4.0700888046115505e-09,32.88632583618164,3.7758560180664062,5.4356952438849766e-05,19.296741485595703
XMU1401E,GCF_019325115.1,WP_100883984.1,dihydrolipoyl dehydrogenase [Prochlorococcus marinus],FAD_binding_2,FAD_binding_2,4.0700888046115505e-09,32.88632583618164,3.7758560180664062,0.009676602033881956,11.883870124816895
XMU1401E,GCF_019325115.1,WP_100883355.1,NAD(P)/FAD-dependent oxidoreductase [Prochlorococcus marinus],FAD_binding_2,FAD_binding_2,9.531094767503191e-08,28.375167846679688,0.0065593719482421875,1.2498651800264854e-07,27.98740577697754
XMU1401E,GCF_019325115.1,WP_100883229.1,phytoene desaturase family protein [Prochlorococcus marinus],FAD_binding_2,FAD_binding_2,3.635396043184191e-07,26.460050582885742,0.1500263214111328,4.6530149286517555e-06,22.813074111938477
