# target_name	query_name	e_value	score	bias
WP_036906838.1	adh_short	1.01e-67	224.4	4.3
WP_036907855.1	adh_short	7.56e-45	149.8	0.0
WP_036907090.1	adh_short	5.25e-40	134.0	0.0
WP_036906682.1	adh_short	1.87e-30	102.8	0.0
WP_036904906.1	adh_short	2.32e-25	86.2	0.0
WP_036907094.1	adh_short	6.81e-21	71.6	0.0
WP_036906963.1	adh_short	3.21e-18	62.9	0.0
WP_011823127.1	adh_short	1.60e-17	60.6	0.0
WP_036907349.1	adh_short	7.52e-11	38.8	0.0
WP_036907756.1	adh_short	1.98e-07	27.7	0.0
WP_036905574.1	Lyase_1	5.06e-100	331.8	0.1
WP_036906074.1	Lyase_1	2.04e-75	251.0	0.0
WP_036905572.1	Lyase_1	3.04e-55	184.7	0.0
WP_036904835.1	Biotin_carb_N	8.63e-47	155.2	0.0
WP_036906241.1	NUDIX	6.24e-14	49.1	0.0
WP_036904416.1	NUDIX	3.08e-13	46.9	0.0
WP_036906097.1	Biotin_lipoyl	5.69e-24	80.8	0.3
WP_036906751.1	Biotin_lipoyl	2.50e-19	65.9	1.4
WP_193743158.1	ECH_1	2.17e-68	227.3	0.0
WP_036904322.1	Nitroreductase	7.14e-14	49.3	0.0
WP_036904768.1	FAD_binding_2	2.37e-88	294.1	2.5
WP_036907112.1	FAD_binding_2	9.89e-11	38.4	0.8
WP_036905305.1	FAD_binding_2	2.18e-09	34.0	4.2
WP_036906997.1	FAD_binding_2	2.86e-09	33.6	0.0
WP_036904620.1	FAD_binding_2	5.32e-09	32.7	1.2
WP_052038700.1	FAD_binding_2	3.61e-08	29.9	0.1
WP_036906137.1	FAD_binding_2	4.28e-08	29.7	0.5
WP_036907173.1	FAD_binding_2	4.86e-08	29.5	0.0
WP_036906533.1	FAD_binding_2	6.49e-08	29.1	1.2
WP_036904300.1	FAD_binding_2	7.73e-08	28.8	1.9
WP_036904745.1	FAD_binding_2	6.74e-07	25.8	0.0
WP_036905911.1	FAD_binding_2	5.04e-06	22.9	2.1
WP_036904534.1	FAD_binding_2	5.14e-06	22.8	3.1
WP_036905006.1	FAD_binding_2	6.63e-06	22.5	0.4
WP_036906938.1	FAD_binding_2	9.81e-06	21.9	0.2
WP_036907288.1	Carboxyl_trans	1.14e-19	67.3	0.0
WP_036906959.1	Carboxyl_trans	1.73e-12	43.6	0.5
WP_036905783.1	MaoC_dehydratas	4.40e-06	23.3	0.0
WP_036907592.1	B12-binding	7.71e-21	71.2	0.2
WP_036904835.1	Biotin_carb_C	1.38e-44	147.6	0.0
WP_036907359.1	CPSase_L_D2	1.19e-107	355.2	0.0
WP_036904835.1	CPSase_L_D2	1.51e-82	273.2	0.0
WP_036904328.1	CPSase_L_D2	4.61e-11	39.6	0.0
WP_036907147.1	CPSase_L_D2	1.25e-09	34.9	0.0
WP_036905323.1	CPSase_L_D2	6.33e-09	32.6	0.4
WP_036905402.1	CPSase_L_D2	4.37e-06	23.3	0.0
WP_036904768.1	Succ_DH_flav_C	1.73e-09	34.7	0.1
WP_036906959.1	ACCA	4.11e-139	460.0	0.0
WP_036905574.1	FumaraseC_C	5.62e-22	74.9	0.1
WP_036905032.1	Fer2_3	1.40e-07	28.5	0.2
WP_036904694.1	Fer4_8	8.57e-08	29.6	9.2
WP_036904694.1	Fer4_10	1.67e-11	40.9	17.0
WP_011295528.1	Fer4_10	1.89e-09	34.3	14.2
WP_036906067.1	Fer4_10	1.48e-06	25.1	5.3
WP_011295528.1	Fer4_17	2.29e-07	28.3	13.0
WP_011823127.1	adh_short_C2	7.14e-82	271.5	0.0
WP_036906838.1	adh_short_C2	2.20e-67	224.0	1.7
WP_036907855.1	adh_short_C2	8.18e-34	114.2	0.0
WP_036907090.1	adh_short_C2	5.70e-32	108.1	0.0
WP_036904906.1	adh_short_C2	4.90e-19	65.8	0.0
WP_036906682.1	adh_short_C2	5.30e-15	52.6	0.0
WP_036907094.1	adh_short_C2	9.31e-08	28.9	0.0
WP_036906963.1	adh_short_C2	1.05e-06	25.4	0.0
WP_036907349.1	adh_short_C2	5.36e-06	23.1	0.0
