# target_name	query_name	e_value	score	bias
WP_006278496.1	adh_short	7.05e-70	231.8	8.0
WP_057179081.1	adh_short	3.64e-61	203.4	3.7
WP_240866502.1	adh_short	2.66e-52	174.5	0.0
WP_006276866.1	adh_short	1.15e-48	162.6	0.1
WP_324139974.1	adh_short	3.77e-42	141.4	0.0
WP_324140252.1	adh_short	9.46e-23	78.1	0.0
WP_057178853.1	adh_short	1.25e-22	77.7	0.0
WP_057177849.1	adh_short	9.74e-14	48.7	0.9
WP_324140179.1	adh_short	3.20e-12	43.7	0.0
WP_006278887.1	adh_short	1.17e-09	35.3	0.1
WP_240868325.1	adh_short	3.96e-07	27.1	0.2
WP_324139982.1	adh_short	4.00e-06	23.8	0.0
WP_006278216.1	ADH_zinc_N	3.72e-25	85.7	0.0
WP_115538553.1	ADH_zinc_N	5.04e-23	78.9	0.0
WP_057178090.1	ADH_zinc_N	2.23e-16	57.4	0.7
WP_240868998.1	ADH_zinc_N	7.20e-10	36.3	0.1
WP_240866130.1	Thiolase_N	1.10e-07	28.9	0.4
WP_324139866.1	Lyase_1	2.02e-87	290.9	0.0
WP_240867864.1	Lyase_1	1.33e-75	252.0	0.0
WP_006275705.1	Biotin_carb_N	7.81e-47	155.7	0.2
WP_006276737.1	NUDIX	8.55e-21	71.8	0.0
WP_006278462.1	NUDIX	1.25e-20	71.2	0.3
WP_324140294.1	NUDIX	1.13e-19	68.1	0.1
WP_057178868.1	NUDIX	2.72e-13	47.5	0.0
WP_236308608.1	NUDIX	3.74e-12	43.8	0.0
WP_096545142.1	NUDIX	4.13e-11	40.4	0.0
WP_324139933.1	NUDIX	9.57e-10	36.0	0.0
WP_006276250.1	Biotin_lipoyl	3.10e-26	88.4	0.6
WP_324139787.1	Biotin_lipoyl	3.38e-18	62.7	0.8
WP_324140195.1	Biotin_lipoyl	3.62e-07	27.3	0.7
WP_240866546.1	Biotin_lipoyl	3.01e-06	24.4	0.1
WP_006276140.1	Biotin_lipoyl	3.02e-06	24.4	0.1
WP_236308206.1	Biotin_lipoyl	4.64e-06	23.8	2.6
WP_006278636.1	Biotin_lipoyl	5.21e-06	23.6	0.3
WP_240869028.1	Biotin_lipoyl	7.98e-06	23.0	0.5
WP_006277396.1	ECH_1	2.76e-74	247.0	0.0
WP_240869392.1	Nitroreductase	2.60e-36	122.7	0.0
WP_240866216.1	FAD_binding_2	3.36e-115	382.9	3.0
WP_240868993.1	FAD_binding_2	1.85e-91	304.7	1.4
WP_324140311.1	FAD_binding_2	2.65e-30	103.3	2.2
WP_240867569.1	FAD_binding_2	7.16e-11	39.3	6.1
WP_324139694.1	FAD_binding_2	2.57e-09	34.1	0.4
WP_240869563.1	FAD_binding_2	8.05e-09	32.5	0.1
WP_006276197.1	FAD_binding_2	1.81e-08	31.3	1.3
WP_324140011.1	FAD_binding_2	5.91e-08	29.7	0.3
WP_240868233.1	FAD_binding_2	6.19e-08	29.6	0.1
WP_240865645.1	FAD_binding_2	4.36e-07	26.8	1.2
WP_057179131.1	FAD_binding_2	1.47e-06	25.1	0.4
WP_157742857.1	FAD_binding_2	5.21e-06	23.2	2.3
WP_240868113.1	FAD_binding_2	6.25e-06	23.0	1.8
