strain,accession,target_name,target_description,query_name,pfam_id,evalue,score,bias,domain_evalue,domain_score
Unknown,GCF_051658205.1,WP_011243157.1,3-oxoacyl-[acyl-carrier-protein] reductase [Synechococcus elongatus],adh_short,adh_short,3.784509210490632e-68,226.1653594970703,6.0294647216796875,4.576395789198136e-68,225.8961181640625
Unknown,GCF_051658205.1,WP_011242343.1,glucose 1-dehydrogenase [Synechococcus elongatus],adh_short,adh_short,1.5561350352568258e-55,185.00604248046875,0.0848388671875,2.9325483752311387e-55,184.1080780029297
Unknown,GCF_051658205.1,WP_011242366.1,SDR family oxidoreductase [Synechococcus elongatus],adh_short,adh_short,8.43297079605563e-51,169.559326171875,0.0053253173828125,1.0726648516579485e-50,169.21839904785156
Unknown,GCF_051658205.1,WP_011243836.1,SDR family oxidoreductase [Synechococcus elongatus],adh_short,adh_short,3.1481899013197292e-30,102.43309783935547,0.00057220458984375,3.764881298525603e-30,102.17959594726562
Unknown,GCF_051658205.1,WP_011377454.1,enoyl-ACP reductase FabI [Synechococcus elongatus],adh_short,adh_short,6.342156643260367e-21,72.07378387451172,0.1095123291015625,1.0516371660373371e-20,71.35713958740234
Unknown,GCF_051658205.1,WP_011378491.1,protochlorophyllide reductase [Synechococcus elongatus],adh_short,adh_short,7.562814089544829e-21,71.8243408203125,0.0003662109375,4.3270752106277805e-19,66.0896224975586
Unknown,GCF_051658205.1,WP_011378442.1,SDR family NAD(P)-dependent oxidoreductase [Synechococcus elongatus],adh_short,adh_short,9.149083851082466e-20,68.29153442382812,0.00049591064453125,1.1807049547642414e-19,67.93011474609375
Unknown,GCF_051658205.1,WP_011242991.1,bifunctional sterol desaturase/short chain dehydrogenase [Synechococcus elongatus],adh_short,adh_short,2.1695863819202925e-09,34.438148498535156,0.03668975830078125,6.578723399085468e-09,32.86616134643555
Unknown,GCF_051658205.1,WP_011243371.1,S-(hydroxymethyl)glutathione dehydrogenase/class III alcohol dehydrogenase [Synechococcus elongatus],ADH_zinc_N,ADH_zinc_N,7.339887561516709e-26,87.9909439086914,0.0382843017578125,1.3185987661415166e-25,87.16822814941406
Unknown,GCF_051658205.1,WP_423218607.1,zinc-dependent alcohol dehydrogenase family protein [Synechococcus elongatus],ADH_zinc_N,ADH_zinc_N,3.5105569192567956e-24,82.5594253540039,0.0220184326171875,9.91457067596851e-24,81.10137939453125
Unknown,GCF_051658205.1,WP_011377394.1,NAD(P)-dependent alcohol dehydrogenase [Synechococcus elongatus],ADH_zinc_N,ADH_zinc_N,1.0460980426045655e-12,45.45589065551758,0.00994110107421875,1.6991402654865293e-12,44.77470016479492
Unknown,GCF_051658205.1,WP_011242415.1,beta-ketoacyl-ACP synthase III [Synechococcus elongatus],Thiolase_N,Thiolase_N,9.238886169106937e-08,29.083763122558594,0.9133243560791016,2.2406723073029188e-07,27.82269287109375
Unknown,GCF_051658205.1,WP_011242850.1,class II fumarate hydratase [Synechococcus elongatus],Lyase_1,Lyase_1,6.442715236126644e-109,361.4393310546875,0.0048828125,7.926537081109553e-109,361.1436462402344
Unknown,GCF_051658205.1,WP_039755911.1,argininosuccinate lyase [Synechococcus elongatus],Lyase_1,Lyase_1,1.5680812033773592e-77,258.3398742675781,0.00054931640625,2.4501568795095043e-77,257.70318603515625
Unknown,GCF_051658205.1,WP_011377532.1,adenylosuccinate lyase [Synechococcus elongatus],Lyase_1,Lyase_1,1.1018377558447148e-62,209.57044982910156,0.022552490234375,1.4769103866243027e-62,209.15249633789062
Unknown,GCF_051658205.1,WP_011242491.1,acetyl-CoA carboxylase biotin carboxylase subunit [Synechococcus elongatus],Biotin_carb_N,Biotin_carb_N,1.7216801729375586e-46,154.5838165283203,2.035614013671875,8.079784444929738e-46,152.42254638671875
Unknown,GCF_051658205.1,WP_011244596.1,NUDIX domain-containing protein [Synechococcus elongatus],NUDIX,NUDIX,2.1050939504769296e-25,86.63513946533203,0.01068115234375,2.350289748272053e-25,86.48025512695312
Unknown,GCF_051658205.1,WP_011243168.1,A/G-specific adenine glycosylase [Synechococcus elongatus],NUDIX,NUDIX,3.690611984385583e-21,72.89839172363281,0.17819976806640625,6.1630683996010224e-21,72.17754364013672
Unknown,GCF_051658205.1,WP_011244138.1,NUDIX hydrolase [Synechococcus elongatus],NUDIX,NUDIX,2.7719879729832e-20,70.06388092041016,0.8220977783203125,3.4262491906545566e-20,69.76599884033203
Unknown,GCF_051658205.1,WP_011377492.1,bifunctional nicotinamide-nucleotide adenylyltransferase/Nudix hydroxylase [Synechococcus elongatus],NUDIX,NUDIX,4.219218236220648e-20,69.47334289550781,0.0175018310546875,9.741345184090614e-20,68.29710388183594
Unknown,GCF_051658205.1,WP_011377412.1,NUDIX hydrolase [Synechococcus elongatus],NUDIX,NUDIX,6.400581896863089e-14,49.466243743896484,0.10941314697265625,8.061205742033206e-14,49.141971588134766
Unknown,GCF_051658205.1,WP_011243856.1,acetyl-CoA carboxylase biotin carboxyl carrier protein [Synechococcus elongatus],Biotin_lipoyl,Biotin_lipoyl,1.6992872697634584e-24,82.82205963134766,0.02719879150390625,3.436800086481993e-24,81.84201049804688
Unknown,GCF_051658205.1,WP_011377850.1,dihydrolipoamide acetyltransferase family protein [Synechococcus elongatus],Biotin_lipoyl,Biotin_lipoyl,7.224828035763922e-18,61.5844612121582,0.3343391418457031,1.3178266821375026e-17,60.748130798339844
Unknown,GCF_051658205.1,WP_011377875.1,HlyD family efflux transporter periplasmic adaptor subunit [Synechococcus elongatus],Biotin_lipoyl,Biotin_lipoyl,9.976103145139345e-06,22.68804168701172,1.5846900939941406,0.003013068779050785,14.742083549499512
Unknown,GCF_051658205.1,WP_011377875.1,HlyD family efflux transporter periplasmic adaptor subunit [Synechococcus elongatus],Biotin_lipoyl,Biotin_lipoyl,9.976103145139345e-06,22.68804168701172,1.5846900939941406,1.4001159607763167,6.196643829345703
Unknown,GCF_051658205.1,WP_011377638.1,"1,4-dihydroxy-2-naphthoyl-CoA synthase [Synechococcus elongatus]",ECH_1,ECH_1,3.411808358936155e-74,246.6649627685547,0.00213623046875,4.118678182502823e-74,246.39707946777344
Unknown,GCF_051658205.1,WP_011244739.1,NAD(P)H-dependent oxidoreductase [Synechococcus elongatus],Nitroreductase,Nitroreductase,7.810482951474486e-21,72.31776428222656,0.5951995849609375,1.3384033479536533e-20,71.55677795410156
Unknown,GCF_051658205.1,WP_011378229.1,L-aspartate oxidase [Synechococcus elongatus],FAD_binding_2,FAD_binding_2,1.7816058171404147e-95,317.9059753417969,1.261474609375,2.9899177105599923e-95,317.16534423828125
Unknown,GCF_051658205.1,WP_011377658.1,fumarate reductase/succinate dehydrogenase flavoprotein subunit [Synechococcus elongatus],FAD_binding_2,FAD_binding_2,1.8543569995183687e-49,166.32818603515625,1.4263916015625,2.605094148118213e-49,165.84190368652344
Unknown,GCF_051658205.1,WP_011378159.1,phytoene desaturase family protein [Synechococcus elongatus],FAD_binding_2,FAD_binding_2,9.71894742115045e-13,45.37716293334961,3.1938018798828125,3.559201753962852e-06,23.7567195892334
Unknown,GCF_051658205.1,WP_011378159.1,phytoene desaturase family protein [Synechococcus elongatus],FAD_binding_2,FAD_binding_2,9.71894742115045e-13,45.37716293334961,3.1938018798828125,2.2394996185014012e-05,21.125537872314453
Unknown,GCF_051658205.1,WP_011377880.1,FAD-dependent oxidoreductase [Synechococcus elongatus],FAD_binding_2,FAD_binding_2,1.3569343263679265e-10,38.311893463134766,1.1323318481445312,6.035756510611115e-10,36.17686080932617
Unknown,GCF_051658205.1,WP_011377549.1,flavin monoamine oxidase family protein [Synechococcus elongatus],FAD_binding_2,FAD_binding_2,4.1024438302255395e-09,33.4352912902832,3.1187973022460938,4.885834913389704e-09,33.18529510498047
Unknown,GCF_051658205.1,WP_011244229.1,NAD(P)/FAD-dependent oxidoreductase [Synechococcus elongatus],FAD_binding_2,FAD_binding_2,3.652935343381845e-08,30.307382583618164,0.15941238403320312,5.4194284609874297e-08,29.74309539794922
Unknown,GCF_051658205.1,WP_011377934.1,carotenoid isomerase [Synechococcus elongatus],FAD_binding_2,FAD_binding_2,5.073833767960528e-08,29.837358474731445,7.070913314819336,6.822446405757853e-05,19.531972885131836
Unknown,GCF_051658205.1,WP_011242885.1,"C-3',4' desaturase CrtD [Synechococcus elongatus]",FAD_binding_2,FAD_binding_2,7.13519438579913e-08,29.349628448486328,11.54446029663086,0.0007567471230362012,16.089786529541016
Unknown,GCF_051658205.1,WP_011242885.1,"C-3',4' desaturase CrtD [Synechococcus elongatus]",FAD_binding_2,FAD_binding_2,7.13519438579913e-08,29.349628448486328,11.54446029663086,0.0037490786103728515,13.8005952835083
