EC_number	UniProt_ID	Protein_Name	Pfam_ID	Species
1.2.1.75	A0A7C2PIX3	Unknown	PF00106	Chloroflexus sp
1.2.1.75	A0A7C2PIX3	Unknown	PF13561	Chloroflexus sp
1.2.1.75	A0A841L016	Unknown	PF00106	Polymorphobacter multimanifer
1.2.1.75	A0A841L016	Unknown	PF13561	Polymorphobacter multimanifer
1.2.1.75	A0A0P8CE70	Unknown	PF00106	Porphyrobacter sp. HL-46
5.4.1.3	A9WC36	2-methylfumaryl-CoA isomerase	PF02515	Chloroflexus aurantiacus (strain ATCC 29366 / DSM 635 / J-10-fl)
5.4.1.3	A0A143QD19	Unknown	PF02515	Rhodococcus sp. PBTS 1
5.4.1.3	A0A178M3F6	2-methylfumaryl-CoA isomerase	PF02515	Chloroflexus islandicus
5.4.1.3	A0A2H1ICG7	Unknown	PF02515	Brevibacterium sp. 239c
5.4.1.3	A0A2H1IHC6	Unknown	PF02515	Brevibacterium sp. Mu109
5.4.1.3	A0A2P2EC02	Unknown	PF02515	Candidatus Phycosocius bacilliformis
5.4.1.3	A0A2S6R6G5	Unknown	PF02515	Alphaproteobacteria bacterium MarineAlpha10_Bin2
5.4.1.3	A0A6N0ZA54	Unknown	PF02515	Accumulibacter sp
5.4.1.3	A0A7J5WWB8	Unknown	PF02515	Gordonia sp. YY1
5.4.1.3	A0A7K0D7P3	Unknown	PF02515	Nocardia macrotermitis
5.4.1.3	A0A7W6FQ90	Unknown	PF02515	Sphingobium jiangsuense
5.4.1.3	A0A7W6LPY2	Unknown	PF02515	Sphingobium scionense
5.4.1.3	A0A7W6W9J6	Unknown	PF02515	Roseospira visakhapatnamensis
5.4.1.3	A0A7X5XQ28	Unknown	PF02515	Sphingopyxis italica
5.4.1.3	A0A7Z0ITE2	Unknown	PF02515	Nocardioides panzhihuensis
5.4.1.3	A0A839XN73	Unknown	PF02515	Prauserella sediminis
5.4.1.3	A0A841IYZ5	Unknown	PF02515	Sphingobium subterraneum
5.4.1.3	A0A846RV04	Unknown	PF02515	Brevibacterium marinum
5.4.1.3	A0A931DMF0	Unknown	PF02515	Actinomadura viridis
5.4.1.3	A0A935JHN9	Unknown	PF02515	Propionivibrio sp
5.4.1.3	A0AB38WYM9	Unknown	PF02515	Roseovarius sp. EC-SD190
5.4.1.3	A0A173KZG6	Unknown	PF02515	Sphingobium sp. EP60837
5.4.1.3	A0A2H1JU57	Unknown	PF02515	Brevibacterium aurantiacum
5.4.1.3	A0A2H1L556	Unknown	PF02515	Brevibacterium jeotgali
5.4.1.3	A0A369Q272	Unknown	PF02515	Alteripontixanthobacter maritimus
5.4.1.3	A0A369Q272	Unknown	PF00108	Alteripontixanthobacter maritimus
6.4.1.3	Q5LUF3	Propionyl-CoA carboxylase alpha chain	PF02785	Ruegeria pomeroyi (strain ATCC 700808 / DSM 15171 / DSS-3)
6.4.1.3	Q5LUF3	Propionyl-CoA carboxylase alpha chain	PF00289	Ruegeria pomeroyi (strain ATCC 700808 / DSM 15171 / DSS-3)
6.4.1.3	Q5LUF3	Propionyl-CoA carboxylase alpha chain	PF00364	Ruegeria pomeroyi (strain ATCC 700808 / DSM 15171 / DSS-3)
6.4.1.3	Q5LUF3	Propionyl-CoA carboxylase alpha chain	PF02786	Ruegeria pomeroyi (strain ATCC 700808 / DSM 15171 / DSS-3)
6.4.1.3	Q5LUF3	Propionyl-CoA carboxylase alpha chain	PF18140	Ruegeria pomeroyi (strain ATCC 700808 / DSM 15171 / DSS-3)
6.4.1.3	P54541	Putative propionyl-CoA carboxylase beta chain	PF01039	Bacillus subtilis (strain 168)
6.4.1.3	P81185	Propionyl-CoA carboxylase alpha chain	PF00289	Myxococcus xanthus
6.4.1.3	P53003	Propionyl-CoA carboxylase beta chain	PF01039	Saccharopolyspora erythraea (strain ATCC 11635 / DSM 40517 / JCM 4748 / NBRC 13426 / NCIMB 8594 / NRRL 2338)
6.4.1.3	Q168G2	Propionyl-CoA carboxylase beta chain	PF01039	Roseobacter denitrificans (strain ATCC 33942 / OCh 114)
6.4.1.3	Q06101	Propionyl-CoA carboxylase beta chain	PF01039	Rhodococcus erythropolis
6.4.1.3	Q3J4E3	Propionyl-CoA carboxylase beta chain	PF01039	Cereibacter sphaeroides (strain ATCC 17023 / DSM 158 / JCM 6121 / CCUG 31486 / LMG 2827 / NBRC 12203 / NCIMB 8253 / ATH 2.4.1.)
6.4.1.3	A0A2A2ALG8	Biotin carboxylase	PF02785	Vandammella animalimorsus
6.4.1.3	A0A2A2ALG8	Biotin carboxylase	PF00289	Vandammella animalimorsus
6.4.1.3	A0A2A2ALG8	Biotin carboxylase	PF00364	Vandammella animalimorsus
6.4.1.3	A0A2A2ALG8	Biotin carboxylase	PF02786	Vandammella animalimorsus
6.4.1.3	A0A2A2ALG8	Biotin carboxylase	PF18140	Vandammella animalimorsus
6.4.1.3	A0A2G6EIT4	Biotin carboxylase	PF02785	Gammaproteobacteria bacterium
6.4.1.3	A0A2G6EIT4	Biotin carboxylase	PF00289	Gammaproteobacteria bacterium
6.4.1.3	A0A2G6EIT4	Biotin carboxylase	PF00364	Gammaproteobacteria bacterium
6.4.1.3	A0A2G6EIT4	Biotin carboxylase	PF02786	Gammaproteobacteria bacterium
6.4.1.3	A0A2G6EIT4	Biotin carboxylase	PF18140	Gammaproteobacteria bacterium
6.4.1.3	A0A6N6T950	Biotin carboxylase	PF02785	Candidatus Contendobacter sp
6.4.1.3	A0A6N6T950	Biotin carboxylase	PF00289	Candidatus Contendobacter sp
6.4.1.3	A0A6N6T950	Biotin carboxylase	PF00364	Candidatus Contendobacter sp
6.4.1.3	A0A6N6T950	Biotin carboxylase	PF02786	Candidatus Contendobacter sp
6.4.1.3	A0A6N6T950	Biotin carboxylase	PF18140	Candidatus Contendobacter sp
6.4.1.3	A0A7C1SRE3	Biotin carboxylase	PF02785	Porticoccus sp
6.4.1.3	A0A7C1SRE3	Biotin carboxylase	PF00289	Porticoccus sp
6.4.1.3	A0A7C1SRE3	Biotin carboxylase	PF00364	Porticoccus sp
6.4.1.3	A0A7C1SRE3	Biotin carboxylase	PF02786	Porticoccus sp
6.4.1.3	A0A7C1SRE3	Biotin carboxylase	PF18140	Porticoccus sp
6.4.1.3	A0A0F7JXL6	Biotin carboxylase	PF02785	Sedimenticola thiotaurini
6.4.1.3	A0A0F7JXL6	Biotin carboxylase	PF00289	Sedimenticola thiotaurini
6.4.1.3	A0A0F7JXL6	Biotin carboxylase	PF00364	Sedimenticola thiotaurini
6.4.1.3	A0A0F7JXL6	Biotin carboxylase	PF02786	Sedimenticola thiotaurini
6.4.1.3	A0A0F7JXL6	Biotin carboxylase	PF18140	Sedimenticola thiotaurini
6.4.1.3	A0A2E2KJN1	Biotin carboxylase	PF02785	Oceanospirillaceae bacterium
6.4.1.3	A0A2E2KJN1	Biotin carboxylase	PF00289	Oceanospirillaceae bacterium
6.4.1.3	A0A2E2KJN1	Biotin carboxylase	PF00364	Oceanospirillaceae bacterium
6.4.1.3	A0A2E2KJN1	Biotin carboxylase	PF21139	Oceanospirillaceae bacterium
