# target_name	query_name	e_value	score	bias
WP_208674361.1	adh_short	1.08e-67	224.6	6.2
WP_208672814.1	adh_short	4.81e-56	186.6	0.1
WP_208673027.1	adh_short	1.54e-50	168.6	0.0
WP_208675540.1	adh_short	1.67e-30	103.3	0.0
WP_208675862.1	adh_short	9.07e-28	94.3	0.0
WP_208675278.1	adh_short	5.69e-22	75.4	0.1
WP_208675696.1	adh_short	8.10e-21	71.7	0.0
WP_208676643.1	adh_short	5.18e-09	33.1	0.0
WP_208674873.1	ADH_zinc_N	6.48e-26	88.1	0.0
WP_208675196.1	ADH_zinc_N	7.33e-23	78.2	0.0
WP_208674141.1	Thiolase_N	5.88e-08	29.7	1.0
WP_208676621.1	Lyase_1	9.99e-111	367.3	0.0
WP_208675814.1	Lyase_1	5.89e-79	263.0	0.0
WP_208674867.1	Lyase_1	1.60e-62	209.0	0.0
WP_208674110.1	Biotin_carb_N	3.01e-46	153.7	2.5
WP_208673349.1	NUDIX	4.38e-25	85.5	0.0
WP_370538807.1	NUDIX	2.74e-21	73.3	0.2
WP_208676013.1	NUDIX	1.91e-20	70.5	0.6
WP_208675413.1	NUDIX	3.92e-20	69.5	0.1
WP_338460782.1	NUDIX	6.53e-17	59.1	0.3
WP_208675574.1	Biotin_lipoyl	2.04e-24	82.5	0.0
WP_338441714.1	Biotin_lipoyl	7.20e-18	61.5	0.3
WP_208674746.1	Biotin_lipoyl	8.85e-08	29.2	1.0
WP_208676207.1	Biotin_lipoyl	2.75e-07	27.6	0.3
WP_208677108.1	ECH_1	1.44e-74	247.8	0.0
WP_208674897.1	Nitroreductase	1.59e-19	68.0	0.1
WP_261789808.1	FAD_binding_2	3.63e-95	316.8	1.6
WP_208674430.1	FAD_binding_2	5.24e-50	168.1	2.7
WP_208672781.1	FAD_binding_2	2.36e-11	40.7	2.5
WP_208673662.1	FAD_binding_2	2.31e-09	34.2	3.2
WP_208673818.1	FAD_binding_2	2.64e-09	34.0	1.3
WP_208674948.1	FAD_binding_2	2.81e-08	30.6	1.5
WP_208672570.1	FAD_binding_2	8.80e-08	29.0	10.5
WP_208672931.1	FAD_binding_2	1.45e-07	28.3	0.3
WP_208673122.1	FAD_binding_2	2.38e-07	27.6	7.1
WP_338440834.1	FAD_binding_2	2.58e-07	27.4	0.1
WP_208676351.1	FAD_binding_2	3.87e-07	26.9	0.5
WP_370538779.1	FAD_binding_2	9.51e-07	25.6	0.3
WP_208673224.1	FAD_binding_2	1.21e-06	25.2	0.1
WP_208672844.1	FAD_binding_2	1.36e-06	25.1	0.9
WP_208675679.1	FAD_binding_2	1.85e-06	24.6	4.9
WP_261789946.1	FAD_binding_2	2.04e-06	24.5	0.6
WP_208673582.1	FAD_binding_2	2.40e-06	24.3	0.0
WP_208676495.1	FAD_binding_2	6.39e-06	22.9	1.7
WP_208673153.1	Carboxyl_trans	3.13e-22	76.1	0.2
WP_208673026.1	Carboxyl_trans	4.10e-11	39.4	0.1
WP_208673569.1	B12-binding	9.47e-19	64.7	2.8
WP_208676732.1	B12-binding	2.17e-13	47.4	0.1
WP_208674110.1	Biotin_carb_C	4.97e-42	139.7	0.0
WP_370538810.1	CPSase_L_D2	7.23e-113	372.5	0.5
WP_208674110.1	CPSase_L_D2	1.07e-85	283.8	0.0
WP_208676221.1	CPSase_L_D2	8.65e-12	42.3	0.0
WP_208674528.1	CPSase_L_D2	5.08e-10	36.5	0.0
WP_208672860.1	CPSase_L_D2	4.74e-09	33.3	0.1
