# target_name	query_name	e_value	score	bias
WP_431619655.1	adh_short	6.42e-69	229.6	7.2
WP_014276846.1	adh_short	5.63e-57	190.6	0.1
WP_431620674.1	adh_short	2.91e-55	185.1	0.1
WP_431619014.1	adh_short	2.20e-50	169.1	0.0
WP_006620187.1	adh_short	6.45e-47	157.8	0.0
WP_431619870.1	adh_short	1.05e-45	153.9	0.0
WP_431618886.1	adh_short	5.32e-43	145.0	0.0
WP_006618617.1	adh_short	1.16e-40	137.4	0.2
WP_434222651.1	adh_short	9.73e-36	121.3	0.0
WP_434222319.1	adh_short	3.03e-33	113.2	0.2
WP_006617707.1	adh_short	3.31e-32	109.8	0.0
WP_410222747.1	adh_short	1.08e-27	95.1	0.0
WP_431619804.1	adh_short	6.50e-24	82.8	0.0
WP_317270151.1	adh_short	1.82e-22	78.0	0.0
WP_006617541.1	adh_short	3.28e-21	73.9	0.0
WP_434222608.1	adh_short	8.71e-09	33.4	0.0
WP_434222029.1	adh_short	7.04e-08	30.4	0.0
WP_434222872.1	adh_short	6.99e-06	23.9	0.4
WP_410246152.1	ADH_zinc_N	1.19e-30	104.4	0.1
WP_434221673.1	ADH_zinc_N	3.08e-24	83.7	0.2
WP_410244075.1	ADH_zinc_N	2.70e-23	80.6	0.2
WP_006617705.1	ADH_zinc_N	1.79e-08	32.7	0.0
WP_410244692.1	ADH_zinc_N	1.27e-06	26.7	1.3
WP_431619649.1	Thiolase_N	4.76e-06	24.4	2.8
WP_410245991.1	Lyase_1	4.98e-116	385.7	0.0
WP_431619106.1	Lyase_1	3.13e-74	248.4	0.0
WP_006619058.1	Lyase_1	8.41e-62	207.6	0.0
WP_006616582.1	Biotin_carb_N	1.12e-46	156.1	1.5
WP_014274011.1	NUDIX	3.96e-24	83.4	0.0
WP_434222258.1	NUDIX	9.07e-24	82.3	0.0
WP_431620858.1	NUDIX	1.81e-20	71.6	0.6
WP_006617775.1	NUDIX	2.78e-19	67.8	0.0
WP_014274883.1	NUDIX	2.74e-15	54.8	0.0
WP_410245749.1	NUDIX	1.58e-14	52.4	0.0
WP_006616567.1	NUDIX	1.65e-14	52.3	0.0
WP_006617413.1	NUDIX	9.82e-12	43.3	0.0
WP_006619603.1	Biotin_lipoyl	9.01e-25	84.6	0.1
WP_410244077.1	Biotin_lipoyl	6.42e-17	59.5	0.3
WP_431620770.1	Biotin_lipoyl	8.62e-08	30.2	0.1
WP_434222090.1	Biotin_lipoyl	2.87e-06	25.3	7.5
WP_431620352.1	Biotin_lipoyl	3.09e-06	25.2	0.0
WP_006618968.1	ECH_1	2.08e-73	245.0	0.0
WP_410243926.1	Nitroreductase	3.82e-33	113.3	0.0
WP_006617993.1	FAD_binding_2	2.38e-116	387.6	4.6
WP_434223005.1	FAD_binding_2	1.52e-92	309.2	0.4
WP_410245341.1	FAD_binding_2	1.32e-10	39.3	9.8
WP_006620059.1	FAD_binding_2	3.92e-10	37.7	5.1
WP_431618998.1	FAD_binding_2	1.32e-08	32.7	2.5
WP_431619736.1	FAD_binding_2	2.78e-08	31.6	0.7
WP_434222927.1	FAD_binding_2	6.72e-08	30.4	0.1
WP_410245371.1	FAD_binding_2	1.25e-07	29.5	0.1
WP_431619259.1	FAD_binding_2	5.99e-07	27.2	1.0
WP_006616919.1	FAD_binding_2	1.78e-06	25.7	1.2
WP_431620538.1	FAD_binding_2	2.81e-06	25.0	1.1
WP_014274086.1	FAD_binding_2	3.80e-06	24.6	0.4
WP_434222405.1	FAD_binding_2	9.93e-06	23.2	6.7
WP_006616771.1	Carboxyl_trans	2.62e-19	67.5	0.0
WP_434221737.1	Carboxyl_trans	3.60e-12	43.9	0.8
WP_434221669.1	B12-binding	2.28e-19	67.7	0.0
WP_006619376.1	B12-binding	1.22e-15	55.7	0.0
WP_431620223.1	B12-binding	7.05e-11	40.3	0.0
WP_006616582.1	Biotin_carb_C	9.45e-43	143.0	0.0
WP_410245621.1	CPSase_L_D2	2.39e-116	384.9	1.6
WP_006616582.1	CPSase_L_D2	7.08e-85	282.1	0.0
WP_006617993.1	Succ_DH_flav_C	7.01e-48	160.1	0.3
WP_434223005.1	Succ_DH_flav_C	9.76e-16	56.2	0.0
WP_434221737.1	ACCA	2.04e-141	468.9	0.0
WP_434221736.1	HpcH_HpaI	1.90e-06	25.6	0.4
WP_434221673.1	ADH_N	5.21e-30	102.1	0.4
WP_410246152.1	ADH_N	3.22e-24	83.5	0.4
WP_006617705.1	ADH_N	3.08e-22	77.1	0.1
WP_410244075.1	ADH_N	2.51e-19	67.7	1.3
WP_410245991.1	FumaraseC_C	1.34e-21	75.0	0.2
WP_431619377.1	Fer2_3	9.20e-34	114.0	0.3
WP_431620380.1	Fer4_8	2.07e-13	48.9	3.8
WP_431619377.1	Fer4_8	4.21e-12	44.7	8.0
