Strain,Completeness_Score,Average_Coverage_%,Total_ECs,Fully_Found,Partially_Found,Not_Found,Total_Hits,Unique_Proteins,Fully_Found_%
MIT_1313_GCF_001632065.1,54.166666666666664,54.166666666666664,12,5,3,4,8,8,41.66666666666667
MIT_1318_GCF_001632045.1,54.166666666666664,54.166666666666664,12,5,3,4,8,8,41.66666666666667
MIT_1320_GCF_001632075.1,54.166666666666664,54.166666666666664,12,5,3,4,8,8,41.66666666666667
MIT_9211_GCF_000018585.1,50.0,50.0,12,4,4,4,8,8,33.33333333333333
MIT_9301_GCF_000015965.1,50.0,50.0,12,4,4,4,8,8,33.33333333333333
MIT_9302_GCF_000759975.1,50.0,50.0,12,4,4,4,8,8,33.33333333333333
MIT_9303_GCF_000015705.1,50.0,50.0,12,4,4,4,8,8,33.33333333333333
MU1414_GCF_019324905.1,50.0,50.0,12,4,4,4,8,8,33.33333333333333
MIT_9302_GCF_047947085.1,50.0,50.0,12,4,4,4,8,8,33.33333333333333
XMU1414_GCF_017696035.1,50.0,50.0,12,4,4,4,8,8,33.33333333333333
GCA_036630065.1_IITB3_GCA_036630065.1_IITB3,45.83333333333333,45.83333333333333,12,4,3,5,7,7,33.33333333333333
IITB7_GCF_036630095.1,45.83333333333333,45.83333333333333,12,4,3,5,7,7,33.33333333333333
UTEX_3055_GCF_003957805.1,45.83333333333333,45.83333333333333,12,4,3,5,7,7,33.33333333333333
FACHB-1061_GCF_014698895.1,45.83333333333333,45.83333333333333,12,4,3,5,7,7,33.33333333333333
FACHB-242_GCF_014698415.1,45.83333333333333,45.83333333333333,12,4,3,5,7,7,33.33333333333333
PCC_11801_GCF_003846445.2,45.83333333333333,45.83333333333333,12,4,3,5,7,7,33.33333333333333
PCC_11802_GCF_009498715.2,45.83333333333333,45.83333333333333,12,4,3,5,7,7,33.33333333333333
PCC_6301_GCF_000010065.1,45.83333333333333,45.83333333333333,12,4,3,5,7,7,33.33333333333333
PCC_6301_GCF_022984195.1,45.83333333333333,45.83333333333333,12,4,3,5,7,7,33.33333333333333
PCC_6311_GCF_022984265.1,45.83333333333333,45.83333333333333,12,4,3,5,7,7,33.33333333333333
PCC_7942_GCF_000012525.1,45.83333333333333,45.83333333333333,12,4,3,5,7,7,33.33333333333333
M14.2_GCF_050422935.1,45.83333333333333,45.83333333333333,12,4,3,5,7,7,33.33333333333333
PCC_7943_GCF_022984345.1,45.83333333333333,45.83333333333333,12,4,3,5,7,7,33.33333333333333
GCA_036630075.1_IITB4_GCA_036630075.1_IITB4,45.83333333333333,45.83333333333333,12,4,3,5,7,7,33.33333333333333
IITB8_GCF_036630105.1,45.83333333333333,45.83333333333333,12,4,3,5,7,7,33.33333333333333
Unknown_GCF_051658205.1,45.83333333333333,45.83333333333333,12,4,3,5,7,7,33.33333333333333
IITB6_GCF_036630085.1,45.83333333333333,45.83333333333333,12,4,3,5,7,7,33.33333333333333
GCF_036630085.1_IITB6_GCF_036630085.1_IITB6,45.83333333333333,45.83333333333333,12,4,3,5,7,7,33.33333333333333
GCA_036630085.1_IITB6_GCA_036630085.1_IITB6,45.83333333333333,45.83333333333333,12,4,3,5,7,7,33.33333333333333
GCA_036630095.1_IITB7_GCA_036630095.1_IITB7,45.83333333333333,45.83333333333333,12,4,3,5,7,7,33.33333333333333
