target,EC_number,Protein_Name,Pfam_ID,UniProt_ID,Species,query_hmm,evalue,score
WP_011243157.1,1.1.1.298,NADP-dependent 3-hydroxy acid dehydrogenase YdfG,PF00106,A0AA40VUU8,Komarekiella delphini-convector SJRDD-AB1,adh_short,3.7e-68,226.2
WP_011243157.1,1.1.1.298,NADP-dependent 3-hydroxy acid dehydrogenase YdfG,PF00106,A0A1Z4KWQ4,Trichormus variabilis NIES-23,adh_short,3.7e-68,226.2
WP_011243157.1,1.1.1.298,NADP-dependent 3-hydroxy acid dehydrogenase YdfG,PF00106,A0A6L9YXD1,Moorena sp. SIO4A3,adh_short,3.7e-68,226.2
WP_011243157.1,1.1.1.298,NADP-dependent 3-hydroxy acid dehydrogenase YdfG,PF00106,A0A926TQI3,Leptolyngbya sp. FACHB-321,adh_short,3.7e-68,226.2
WP_011243157.1,1.1.1.298,NADP-dependent 3-hydroxy acid dehydrogenase YdfG,PF00106,A0A1Z4M252,Calothrix parasitica NIES-267,adh_short,3.7e-68,226.2
WP_011243157.1,1.1.1.298,NADP-dependent 3-hydroxy acid dehydrogenase YdfG,PF00106,A0A8J7AE34,aff. Roholtiella sp. LEGE 12411,adh_short,3.7e-68,226.2
WP_011242343.1,1.1.1.298,NADP-dependent 3-hydroxy acid dehydrogenase YdfG,PF00106,A0AA40VUU8,Komarekiella delphini-convector SJRDD-AB1,adh_short,1.52e-55,185.0
WP_011242343.1,1.1.1.298,NADP-dependent 3-hydroxy acid dehydrogenase YdfG,PF00106,A0A1Z4KWQ4,Trichormus variabilis NIES-23,adh_short,1.52e-55,185.0
WP_011242343.1,1.1.1.298,NADP-dependent 3-hydroxy acid dehydrogenase YdfG,PF00106,A0A6L9YXD1,Moorena sp. SIO4A3,adh_short,1.52e-55,185.0
WP_011242343.1,1.1.1.298,NADP-dependent 3-hydroxy acid dehydrogenase YdfG,PF00106,A0A926TQI3,Leptolyngbya sp. FACHB-321,adh_short,1.52e-55,185.0
WP_011242343.1,1.1.1.298,NADP-dependent 3-hydroxy acid dehydrogenase YdfG,PF00106,A0A1Z4M252,Calothrix parasitica NIES-267,adh_short,1.52e-55,185.0
WP_011242343.1,1.1.1.298,NADP-dependent 3-hydroxy acid dehydrogenase YdfG,PF00106,A0A8J7AE34,aff. Roholtiella sp. LEGE 12411,adh_short,1.52e-55,185.0
WP_011242366.1,1.1.1.298,NADP-dependent 3-hydroxy acid dehydrogenase YdfG,PF00106,A0AA40VUU8,Komarekiella delphini-convector SJRDD-AB1,adh_short,8.24e-51,169.6
WP_011242366.1,1.1.1.298,NADP-dependent 3-hydroxy acid dehydrogenase YdfG,PF00106,A0A1Z4KWQ4,Trichormus variabilis NIES-23,adh_short,8.24e-51,169.6
WP_011242366.1,1.1.1.298,NADP-dependent 3-hydroxy acid dehydrogenase YdfG,PF00106,A0A6L9YXD1,Moorena sp. SIO4A3,adh_short,8.24e-51,169.6
