# target_name	query_name	e_value	score	bias
WVX28760.1	adh_short	2.75e-68	226.6	6.4
WVX29211.1	adh_short	5.00e-56	186.6	0.1
WVX29362.1	adh_short	2.60e-50	168.0	0.0
WVX27829.1	adh_short	3.57e-28	95.7	0.0
WVX28192.1	adh_short	5.91e-22	75.4	0.1
WVX27926.1	adh_short	7.05e-20	68.6	0.0
WVX29970.1	adh_short	4.05e-08	30.3	0.0
WVX28530.1	ADH_zinc_N	6.75e-26	88.1	0.0
WVX28230.1	ADH_zinc_N	8.60e-23	78.1	0.0
WVX28932.1	Thiolase_N	3.86e-07	27.0	1.2
WVX29982.1	Lyase_1	1.28e-109	363.7	0.0
WVX27856.1	Lyase_1	2.20e-78	261.1	0.0
WVX28527.1	Lyase_1	9.51e-63	209.8	0.0
WVX28916.1	Biotin_carb_N	3.13e-46	153.7	2.5
WVX29641.1	NUDIX	1.52e-24	83.8	0.0
WVX28748.1	NUDIX	2.60e-21	73.4	0.2
WVX27750.1	NUDIX	2.71e-20	70.1	0.8
WVX28113.1	NUDIX	4.23e-20	69.5	0.0
WVX28272.1	NUDIX	4.96e-17	59.5	0.2
WVX28006.1	Biotin_lipoyl	1.91e-23	79.4	0.0
WVX28978.1	Biotin_lipoyl	7.36e-18	61.5	0.3
WVX28450.1	Biotin_lipoyl	1.11e-07	28.9	0.9
WVX27623.1	Biotin_lipoyl	2.91e-07	27.6	0.3
WVX29528.1	Biotin_lipoyl	6.25e-06	23.3	4.9
WVX29687.1	Biotin_lipoyl	7.24e-06	23.1	0.1
WVX30276.1	ECH_1	2.70e-74	247.0	0.0
WVX28541.1	Nitroreductase	7.67e-18	62.6	0.1
WVX29674.1	FAD_binding_2	8.13e-96	319.0	1.6
WVX28718.1	FAD_binding_2	6.07e-49	164.6	2.6
WVX29482.1	FAD_binding_2	7.78e-12	42.4	2.0
WVX29120.1	FAD_binding_2	1.40e-09	35.0	0.4
WVX29037.1	FAD_binding_2	3.04e-09	33.9	4.2
WVX28577.1	FAD_binding_2	2.23e-08	31.0	1.9
WVX29414.1	FAD_binding_2	3.32e-08	30.4	5.1
WVX29304.1	FAD_binding_2	1.52e-07	28.3	0.3
WVX30180.1	FAD_binding_2	1.62e-07	28.2	0.1
WVX28344.1	FAD_binding_2	3.49e-07	27.1	0.0
WVX29851.1	FAD_binding_2	6.40e-07	26.2	10.7
WVX30134.1	FAD_binding_2	7.25e-07	26.0	0.3
WVX28198.1	FAD_binding_2	1.11e-06	25.4	0.3
WVX29558.1	FAD_binding_2	1.17e-06	25.3	0.1
WVX29229.1	FAD_binding_2	1.41e-06	25.1	0.9
WVX28994.1	FAD_binding_2	2.28e-06	24.4	0.1
WVX27935.1	FAD_binding_2	3.19e-06	23.9	4.6
WVX29434.1	Carboxyl_trans	1.56e-21	73.9	0.2
WVX29361.1	Carboxyl_trans	1.08e-11	41.4	0.1
WVX28986.1	B12-binding	5.15e-19	65.6	2.4
WVX29800.1	B12-binding	2.28e-13	47.4	0.1
WVX28818.1	B12-binding	7.73e-06	23.1	0.0
WVX28916.1	Biotin_carb_C	5.17e-42	139.7	0.0
WVX28785.1	CPSase_L_D2	3.76e-112	370.3	0.4
WVX28916.1	CPSase_L_D2	1.11e-85	283.8	0.0
WVX27616.1	CPSase_L_D2	5.52e-12	43.0	0.0
WVX29244.1	CPSase_L_D2	4.96e-09	33.3	0.1
WVX30228.1	CPSase_L_D2	8.87e-07	26.0	0.0
WVX28718.1	Succ_DH_flav_C	1.30e-32	109.8	0.0
WVX29674.1	Succ_DH_flav_C	3.04e-18	63.3	0.0
WVX29361.1	ACCA	1.10e-143	475.4	0.0
WVX28530.1	ADH_N	8.94e-25	84.3	3.9
WVX28230.1	ADH_N	2.55e-19	66.8	0.0
WVX29982.1	FumaraseC_C	7.76e-23	78.1	0.0
WVX29151.1	Fer2_3	1.94e-21	73.4	0.1
WVX29207.1	Fer4_8	2.33e-14	51.0	3.3
WVX29151.1	Fer4_8	2.07e-08	32.0	2.6
WVX29939.1	Fer4_8	7.33e-08	30.2	8.9
WVX27607.1	Fer4_8	2.35e-07	28.6	7.1
WVX27871.1	Fer4_8	6.41e-06	24.0	11.8
WVX28980.1	Fer4_8	7.39e-06	23.8	5.1
WVX29939.1	Fer4_10	6.38e-12	42.6	16.6
WVX29207.1	Fer4_10	4.96e-10	36.6	2.8
WVX28440.1	Fer4_10	3.74e-09	33.7	14.6
WVX30103.1	Fer4_10	5.43e-09	33.2	11.1
WVX28832.1	Fer4_10	9.23e-09	32.5	10.2
WVX27607.1	Fer4_10	1.22e-07	28.9	21.9
WVX27871.1	Fer4_10	2.09e-07	28.1	6.1
WVX29207.1	Fer4_17	1.44e-10	38.9	2.7
WVX28440.1	Fer4_17	1.96e-07	28.9	12.6
WVX30103.1	Fer4_17	4.05e-06	24.6	5.5
WVX29151.1	Fer4_17	6.22e-06	24.0	4.6
WVX28192.1	adh_short_C2	1.40e-84	280.7	0.0
WVX28760.1	adh_short_C2	2.31e-69	230.9	10.8
WVX29211.1	adh_short_C2	6.00e-63	209.9	0.0
WVX29362.1	adh_short_C2	2.35e-43	145.8	0.1
WVX27829.1	adh_short_C2	3.10e-16	57.0	0.0
WVX27926.1	adh_short_C2	1.01e-10	38.9	0.0
WVX30279.1	Glyoxalase_4	2.93e-09	34.5	0.0
WVX29012.1	Glyoxalase_4	4.35e-08	30.8	0.0
