# target_name	query_name	e_value	score	bias
WP_008230072.1	adh_short	2.65e-68	225.7	5.5
WP_044259227.1	adh_short	1.53e-54	180.8	1.0
WP_008225619.1	adh_short	3.51e-51	169.8	0.0
WP_008227617.1	adh_short	1.00e-27	93.3	0.0
WP_044260940.1	adh_short	5.56e-17	58.2	0.0
WP_052312157.1	adh_short	4.11e-11	39.1	0.1
WP_008225080.1	ADH_zinc_N	1.19e-21	73.4	0.0
WP_044259181.1	ADH_zinc_N	6.45e-20	67.8	0.0
WP_008230818.1	Lyase_1	2.50e-92	306.0	0.0
WP_008227408.1	Biotin_carb_N	1.56e-47	157.0	0.1
WP_044258572.1	NUDIX	4.47e-21	71.7	0.0
WP_008224982.1	NUDIX	5.28e-10	35.8	0.0
WP_081609101.1	Biotin_lipoyl	6.38e-18	60.8	0.2
WP_008225408.1	ECH_1	1.85e-72	240.0	0.0
WP_008229939.1	Nitroreductase	8.37e-34	113.5	0.0
WP_044259993.1	FAD_binding_2	9.59e-58	192.6	1.8
WP_044259143.1	FAD_binding_2	6.34e-54	180.1	0.1
WP_008226128.1	FAD_binding_2	5.31e-11	38.7	0.1
WP_008225617.1	FAD_binding_2	4.26e-08	29.1	3.8
WP_044260184.1	Carboxyl_trans	4.61e-23	77.9	0.1
WP_008228513.1	Carboxyl_trans	2.70e-14	49.0	0.0
WP_044260116.1	B12-binding	1.42e-19	66.5	0.0
WP_008227408.1	Biotin_carb_C	6.50e-43	141.7	0.0
WP_008225601.1	CPSase_L_D2	3.86e-112	369.3	0.2
WP_008227408.1	CPSase_L_D2	1.73e-84	278.9	0.1
WP_008227492.1	CPSase_L_D2	5.97e-09	32.1	0.1
WP_044259143.1	Succ_DH_flav_C	5.61e-49	161.8	0.1
WP_008228513.1	ACCA	6.77e-142	468.5	0.0
WP_008225080.1	ADH_N	1.12e-28	95.9	0.5
WP_008230818.1	FumaraseC_C	1.62e-23	79.3	0.5
WP_008227504.1	Fer2_3	3.37e-34	113.5	1.6
WP_008227504.1	Fer4_8	1.30e-12	44.5	6.7
WP_044259851.1	Fer4_8	7.39e-06	22.9	4.8
WP_008229102.1	Fer4_10	1.07e-09	34.5	14.9
WP_044257826.1	Fer4_10	2.68e-08	30.1	6.0
WP_044259029.1	Fer4_10	4.92e-06	22.8	5.3
WP_008229102.1	Fer4_17	5.65e-09	32.8	9.7
WP_044259851.1	Fer4_17	1.76e-07	28.1	6.0
WP_008227504.1	Fer4_17	1.96e-07	27.9	5.8
WP_008230072.1	adh_short_C2	2.69e-70	233.0	3.2
WP_044259227.1	adh_short_C2	2.04e-42	141.7	0.2
WP_008225619.1	adh_short_C2	2.03e-35	118.8	0.0
WP_008227617.1	adh_short_C2	5.81e-21	71.5	0.0
WP_044259369.1	adh_short_C2	3.78e-10	36.1	0.0
WP_044260940.1	adh_short_C2	3.14e-07	26.6	0.0
WP_044260059.1	Glyoxalase_4	1.47e-07	28.1	0.0
