# target_name	query_name	e_value	score	bias
WP_012165802.1	adh_short	1.97e-66	221.8	7.3
WP_012165804.1	adh_short	2.22e-62	208.6	0.2
WP_261891971.1	adh_short	7.15e-60	200.4	3.4
WP_012166468.1	adh_short	2.40e-58	195.4	1.5
WP_261891981.1	adh_short	9.33e-56	187.0	0.4
WP_012166329.1	adh_short	1.71e-55	186.1	2.9
WP_012167170.1	adh_short	2.42e-55	185.6	0.5
WP_012162790.1	adh_short	1.40e-54	183.1	0.0
WP_012166266.1	adh_short	2.86e-54	182.1	0.0
WP_261891975.1	adh_short	2.64e-52	175.7	6.7
WP_012166264.1	adh_short	3.10e-52	175.5	7.2
WP_012160901.1	adh_short	1.45e-51	173.3	0.5
WP_261891819.1	adh_short	5.22e-51	171.5	0.0
WP_012161359.1	adh_short	8.26e-50	167.5	0.0
WP_012164240.1	adh_short	2.38e-49	166.0	0.0
WP_012161895.1	adh_short	5.36e-49	164.9	0.4
WP_261891820.1	adh_short	4.29e-45	152.2	0.0
WP_012164053.1	adh_short	8.15e-45	151.3	0.3
WP_012160753.1	adh_short	2.04e-43	146.7	0.0
WP_012163635.1	adh_short	2.39e-41	139.9	0.0
WP_012162735.1	adh_short	2.40e-40	136.7	0.2
WP_012163530.1	adh_short	1.17e-38	131.2	0.0
WP_012161827.1	adh_short	2.77e-37	126.7	0.0
WP_012163555.1	adh_short	8.38e-36	121.8	5.0
WP_012161885.1	adh_short	1.81e-35	120.8	0.0
WP_012162167.1	adh_short	1.86e-35	120.7	0.0
WP_012163131.1	adh_short	1.63e-34	117.6	0.0
WP_012166920.1	adh_short	1.12e-32	111.6	0.0
WP_012163942.1	adh_short	4.02e-32	109.8	0.0
WP_012162378.1	adh_short	2.92e-31	107.0	0.0
WP_261892518.1	adh_short	3.32e-25	87.3	0.6
WP_012165198.1	adh_short	2.19e-24	84.6	0.0
WP_010468727.1	adh_short	5.08e-24	83.4	0.1
WP_012166269.1	adh_short	1.78e-20	71.8	0.9
WP_261890753.1	adh_short	2.51e-20	71.3	0.0
WP_012161777.1	adh_short	5.89e-18	63.6	0.0
WP_261890948.1	adh_short	1.06e-06	26.9	0.1
WP_261890613.1	adh_short	1.60e-06	26.3	0.1
WP_261890898.1	adh_short	5.17e-06	24.6	0.0
WP_012165921.1	adh_short	8.43e-06	23.9	0.0
WP_012162934.1	ADH_zinc_N	3.38e-28	96.8	0.0
WP_012164833.1	ADH_zinc_N	5.76e-25	86.3	0.0
WP_012165069.1	ADH_zinc_N	2.05e-24	84.5	0.0
WP_261890755.1	ADH_zinc_N	1.85e-21	75.0	0.0
WP_261891340.1	ADH_zinc_N	2.07e-20	71.6	0.8
WP_261892025.1	ADH_zinc_N	1.40e-16	59.2	0.1
WP_012166210.1	ADH_zinc_N	1.81e-16	58.8	0.1
WP_012166228.1	ADH_zinc_N	9.71e-15	53.2	0.2
WP_012166353.1	ADH_zinc_N	1.43e-12	46.2	0.0
WP_012162162.1	ADH_zinc_N	1.11e-11	43.4	0.0
WP_261891094.1	ADH_zinc_N	2.94e-11	42.0	0.0
WP_261892101.1	ADH_zinc_N	3.20e-11	41.9	0.0
WP_010473575.1	ADH_zinc_N	8.95e-06	24.3	1.5
WP_012162644.1	Thiolase_N	3.41e-74	248.1	2.4
WP_012163288.1	Thiolase_N	2.11e-10	39.0	0.0
WP_012161296.1	Thiolase_N	9.97e-07	26.9	1.0
WP_012161957.1	Lyase_1	4.88e-116	386.1	0.0
WP_012164716.1	Lyase_1	8.75e-76	253.8	0.0
WP_012165388.1	Lyase_1	1.07e-64	217.4	0.1
WP_012162621.1	Biotin_carb_N	1.80e-45	152.5	0.2
WP_012161746.1	NUDIX	1.51e-24	85.1	0.0
WP_012160714.1	NUDIX	2.29e-23	81.3	0.0
WP_012161919.1	NUDIX	4.54e-21	73.8	0.0
WP_261891174.1	NUDIX	2.31e-20	71.5	0.1
WP_012164834.1	NUDIX	1.30e-18	65.9	0.0
WP_012162487.1	NUDIX	3.30e-18	64.6	0.2
WP_063710509.1	NUDIX	1.09e-17	62.9	0.0
WP_012165599.1	NUDIX	5.89e-15	54.0	0.0
WP_012165145.1	NUDIX	2.28e-14	52.1	0.0
WP_049783762.1	NUDIX	1.32e-13	49.7	0.0
WP_012163424.1	NUDIX	1.42e-11	43.1	0.3
WP_261890497.1	NUDIX	1.60e-06	26.7	0.0
WP_012161130.1	NUDIX	2.36e-06	26.2	0.0
WP_012164275.1	Biotin_lipoyl	2.03e-22	77.4	0.1
WP_012163956.1	Biotin_lipoyl	4.31e-17	60.3	1.4
WP_261891951.1	Biotin_lipoyl	2.44e-07	29.1	0.2
WP_071819962.1	Biotin_lipoyl	5.99e-07	27.8	0.0
WP_063710515.1	Biotin_lipoyl	6.83e-07	27.6	0.1
WP_261892123.1	Biotin_lipoyl	1.91e-06	26.2	1.4
WP_012161592.1	Biotin_lipoyl	2.87e-06	25.6	1.4
WP_010477705.1	ECH_1	2.16e-74	248.5	0.0
WP_012162165.1	ECH_1	1.20e-33	115.1	0.1
WP_012166789.1	ECH_1	8.27e-20	69.7	0.0
WP_012162643.1	ECH_1	1.02e-16	59.6	0.4
WP_012164188.1	Nitroreductase	1.15e-38	131.6	0.2
WP_261891953.1	Nitroreductase	2.93e-26	91.2	0.2
WP_012163419.1	Nitroreductase	6.84e-25	86.7	0.1
WP_012163231.1	FAD_binding_2	1.55e-117	391.8	2.2
WP_012164306.1	FAD_binding_2	1.97e-96	322.3	2.9
WP_012163748.1	FAD_binding_2	2.76e-09	35.2	2.6
WP_012164599.1	FAD_binding_2	2.98e-09	35.1	2.4
WP_261890682.1	FAD_binding_2	2.12e-08	32.3	3.2
WP_261891962.1	FAD_binding_2	2.46e-08	32.1	1.8
WP_012162031.1	FAD_binding_2	2.78e-08	31.9	1.5
WP_012163151.1	FAD_binding_2	2.83e-08	31.9	0.1
WP_012164784.1	FAD_binding_2	8.09e-08	30.4	1.0
WP_012162381.1	FAD_binding_2	1.39e-07	29.6	0.1
WP_261891044.1	FAD_binding_2	2.01e-07	29.1	0.5
WP_012167013.1	FAD_binding_2	2.29e-07	28.9	0.2
WP_012161123.1	FAD_binding_2	3.60e-07	28.3	0.1
WP_261890744.1	FAD_binding_2	4.11e-07	28.1	5.6
WP_012166223.1	FAD_binding_2	9.30e-07	26.9	0.0
WP_012162514.1	FAD_binding_2	1.06e-06	26.7	5.6
WP_012165696.1	FAD_binding_2	1.07e-06	26.7	0.1
WP_261891740.1	FAD_binding_2	1.22e-06	26.5	0.3
WP_041660097.1	FAD_binding_2	2.14e-06	25.7	1.6
WP_261891169.1	FAD_binding_2	2.25e-06	25.6	6.8
WP_261891935.1	FAD_binding_2	3.00e-06	25.2	0.3
WP_012166211.1	FAD_binding_2	7.33e-06	24.0	0.1
WP_012163470.1	FAD_binding_2	8.63e-06	23.7	0.1
WP_012166460.1	FAD_binding_2	8.65e-06	23.7	0.4
WP_012164232.1	Carboxyl_trans	2.98e-22	77.5	0.0
WP_012165803.1	Carboxyl_trans	2.58e-11	41.4	0.0
WP_012161831.1	B12-binding	1.82e-20	71.5	0.3
WP_261891827.1	B12-binding	6.33e-20	69.8	0.1
WP_261891733.1	B12-binding	6.34e-20	69.8	0.1
WP_261892036.1	B12-binding	3.08e-12	45.0	0.0
WP_012162230.1	B12-binding	3.89e-12	44.6	0.0
WP_261891470.1	B12-binding	1.46e-08	33.1	0.0
WP_012162621.1	Biotin_carb_C	7.20e-43	143.7	0.0
WP_261891418.1	CPSase_L_D2	1.97e-112	372.4	0.5
WP_012162621.1	CPSase_L_D2	1.18e-82	275.1	0.0
WP_012162664.1	CPSase_L_D2	2.00e-08	32.6	0.1
WP_012161396.1	CPSase_L_D2	4.57e-06	24.9	0.0
WP_012163231.1	Succ_DH_flav_C	7.59e-46	153.8	0.3
WP_012164306.1	Succ_DH_flav_C	6.17e-17	60.3	0.0
WP_012165803.1	ACCA	1.49e-140	466.3	0.0
WP_012165069.1	ADH_N	1.32e-29	101.1	0.9
WP_261890755.1	ADH_N	1.71e-28	97.5	0.9
WP_012164833.1	ADH_N	1.59e-26	91.2	0.4
WP_012162934.1	ADH_N	2.25e-26	90.7	0.4
WP_261891094.1	ADH_N	1.03e-23	82.1	0.3
WP_261892101.1	ADH_N	1.46e-17	62.4	0.0
WP_012166353.1	ADH_N	2.21e-17	61.8	0.0
WP_012166228.1	ADH_N	3.57e-17	61.1	0.2
WP_261891340.1	ADH_N	8.28e-17	59.9	0.1
WP_012166210.1	ADH_N	8.61e-15	53.5	0.2
WP_012162162.1	ADH_N	3.70e-13	48.2	0.1
WP_261892025.1	ADH_N	8.40e-08	31.0	0.0
WP_012161957.1	FumaraseC_C	2.08e-23	81.1	0.0
WP_012164045.1	Fer2_3	1.12e-30	104.3	0.3
WP_012164045.1	Fer4_8	1.64e-12	46.3	5.4
WP_261890957.1	Fer4_8	3.59e-12	45.2	2.2
WP_041660748.1	Fer4_8	4.43e-06	25.7	7.3
WP_010481866.1	Fer4_10	1.77e-09	36.0	6.1
WP_012162652.1	Fer4_10	4.36e-09	34.7	18.0
WP_009556083.1	Fer4_10	5.90e-09	34.3	15.3
WP_261890957.1	Fer4_10	6.77e-09	34.1	2.7
WP_041660748.1	Fer4_10	1.38e-08	33.1	9.1
WP_012164045.1	Fer4_10	6.81e-08	30.9	3.5
WP_071819968.1	Fer4_10	8.08e-06	24.3	5.8
WP_261890957.1	Fer4_17	1.54e-09	36.8	1.6
WP_009556083.1	Fer4_17	4.07e-08	32.3	9.7
WP_012164045.1	Fer4_17	1.64e-06	27.1	5.8
WP_041660748.1	Fer4_17	3.55e-06	26.0	6.2
WP_010468727.1	adh_short_C2	7.25e-87	289.4	0.1
WP_012165802.1	adh_short_C2	3.27e-67	225.1	6.5
WP_012167170.1	adh_short_C2	5.83e-67	224.3	0.0
WP_261891971.1	adh_short_C2	2.67e-66	222.1	2.6
WP_261891981.1	adh_short_C2	7.84e-65	217.3	1.0
WP_012166266.1	adh_short_C2	2.73e-62	209.0	0.0
WP_261891975.1	adh_short_C2	3.82e-56	188.9	6.8
WP_012166264.1	adh_short_C2	1.01e-48	164.6	9.8
WP_012162735.1	adh_short_C2	1.67e-48	163.8	0.2
WP_012165804.1	adh_short_C2	1.71e-46	157.3	0.1
WP_012162790.1	adh_short_C2	3.59e-40	136.6	0.0
WP_012161895.1	adh_short_C2	3.61e-40	136.6	0.4
WP_012166329.1	adh_short_C2	3.81e-39	133.2	5.6
WP_012160901.1	adh_short_C2	1.96e-38	130.9	0.4
WP_012166468.1	adh_short_C2	1.86e-37	127.7	1.9
WP_012164053.1	adh_short_C2	3.48e-37	126.8	0.3
WP_012164240.1	adh_short_C2	9.54e-37	125.4	0.0
WP_261891819.1	adh_short_C2	1.35e-36	124.9	0.0
WP_012163530.1	adh_short_C2	1.59e-34	118.1	0.0
WP_261892518.1	adh_short_C2	1.31e-31	108.6	1.7
WP_012161359.1	adh_short_C2	4.66e-31	106.7	0.0
WP_261891820.1	adh_short_C2	1.92e-30	104.7	0.0
WP_012166920.1	adh_short_C2	2.06e-30	104.6	0.0
WP_012160753.1	adh_short_C2	1.90e-28	98.2	0.0
WP_012163555.1	adh_short_C2	5.24e-27	93.5	4.2
WP_012161885.1	adh_short_C2	2.33e-25	88.1	0.0
WP_012162167.1	adh_short_C2	8.25e-25	86.3	0.0
WP_012163131.1	adh_short_C2	4.93e-24	83.8	0.0
WP_012163635.1	adh_short_C2	9.39e-24	82.8	0.0
WP_012162378.1	adh_short_C2	1.17e-23	82.5	0.0
WP_012161827.1	adh_short_C2	3.39e-23	81.0	0.0
WP_012165198.1	adh_short_C2	2.34e-18	65.2	0.0
WP_012163942.1	adh_short_C2	1.49e-15	56.0	0.0
WP_012163661.1	adh_short_C2	6.35e-11	40.8	0.0
WP_012166269.1	adh_short_C2	2.91e-09	35.4	0.4
WP_012161777.1	adh_short_C2	3.14e-09	35.3	0.0
WP_261890753.1	adh_short_C2	8.60e-08	30.6	0.0
WP_012164835.1	Glyoxalase_4	2.41e-15	55.3	0.0
WP_261891963.1	Glyoxalase_4	1.22e-13	49.8	0.0
WP_012164001.1	Glyoxalase_4	3.49e-13	48.4	0.0
WP_012164320.1	Glyoxalase_4	1.06e-09	37.2	0.0
WP_012161815.1	Glyoxalase_4	6.73e-09	34.6	0.0
WP_261892096.1	Glyoxalase_4	1.18e-07	30.6	0.0
WP_315875424.1	Glyoxalase_4	2.13e-07	29.8	0.0
WP_012163689.1	Glyoxalase_4	4.61e-07	28.7	0.0
WP_012162751.1	Glyoxalase_4	4.99e-06	25.4	0.0
WP_012161220.1	Glyoxalase_4	5.89e-06	25.1	0.0
