strain,accession,hits,unique_ecs,ec_results_file,results_df
0441,GCF_009856605.1,210,11,results/batch/0441_GCF_009856605.1_ec_results.csv,"    EC_number           Status                                      Protein_names  Total_Pfam_domains  Found_Pfam_domains  Total_hits  Unique_proteins_with_hits
0   4.2.1.153        NOT_FOUND              Mesaconyl-C(4)-CoA hydratase; Unknown                   2                   0           0                          0
1     6.4.1.2      FULLY_FOUND                    acetyl-CoA carboxylase; Unknown                   7                   7         380                         27
2   4.2.1.116      FULLY_FOUND                                            Unknown                   1                   1          50                          2
3    6.2.1.36        NOT_FOUND                                            Unknown                   1                   0           0                          0
4     4.2.1.2  PARTIALLY_FOUND  Fumarase D; Fumarate hydratase class II 2; Fum...                   5                   2          88                          3
5    1.3.1.84      FULLY_FOUND  Acrylyl-CoA reductase AcuI; Probable acrylyl-C...                   2                   2         564                         12
6   1.1.1.298      FULLY_FOUND  Probable malonic semialdehyde reductase RutE; ...                   2                   2         329                         44
7    5.1.99.1      FULLY_FOUND  methylmalonyl-CoA epimerase; Ethylmalonyl-CoA/...                   1                   1         100                          4
8    4.1.3.25        NOT_FOUND  Unknown; Malyl-CoA/beta-methylmalyl-CoA/citram...                   1                   0           0                          0
9     5.4.1.3  PARTIALLY_FOUND             Unknown; 2-methylfumaryl-CoA isomerase                   2                   1           4                          4
10   1.2.1.75      FULLY_FOUND                                            Unknown                   2                   2         185                         39
11    6.4.1.3  PARTIALLY_FOUND  Propionyl-CoA carboxylase beta chain; Putative...                   7                   5         315                         16
12    1.3.5.1      FULLY_FOUND  Succinate dehydrogenase iron-sulfur subunit; F...                   6                   6         431                         42
13   5.4.99.2  PARTIALLY_FOUND  Methylmalonyl-CoA mutase; Probable methylmalon...                   2                   1          78                          6
14   4.1.3.24        NOT_FOUND  Malyl-CoA/beta-methylmalyl-CoA/citramalyl-CoA ...                   1                   0           0                          0
15  4.2.1.148        NOT_FOUND  Beta-methylmalyl-CoA dehydratase; Unknown; Mes...                   4                   0           0                          0"
1025,GCF_020594695.1,119,13,results/batch/1025_GCF_020594695.1_ec_results.csv,"    EC_number           Status                                      Protein_names  Total_Pfam_domains  Found_Pfam_domains  Total_hits  Unique_proteins_with_hits
0   4.2.1.153        NOT_FOUND              Mesaconyl-C(4)-CoA hydratase; Unknown                   2                   0           0                          0
1     6.4.1.2      FULLY_FOUND                    acetyl-CoA carboxylase; Unknown                   7                   7         256                         17
2   4.2.1.116      FULLY_FOUND                                            Unknown                   1                   1          25                          1
3    6.2.1.36        NOT_FOUND                                            Unknown                   1                   0           0                          0
4     4.2.1.2  PARTIALLY_FOUND  Fumarase D; Fumarate hydratase class II 2; Fum...                   5                   2          88                          3
5    1.3.1.84      FULLY_FOUND  Acrylyl-CoA reductase AcuI; Probable acrylyl-C...                   2                   2         147                          3
6   1.1.1.298      FULLY_FOUND  Probable malonic semialdehyde reductase RutE; ...                   2                   2         127                         19
7    5.1.99.1      FULLY_FOUND  methylmalonyl-CoA epimerase; Ethylmalonyl-CoA/...                   1                   1         100                          4
8    4.1.3.25      FULLY_FOUND  Unknown; Malyl-CoA/beta-methylmalyl-CoA/citram...                   1                   1          25                          1
9     5.4.1.3  PARTIALLY_FOUND             Unknown; 2-methylfumaryl-CoA isomerase                   2                   1           1                          1
10   1.2.1.75      FULLY_FOUND                                            Unknown                   2                   2          86                         18
11    6.4.1.3  PARTIALLY_FOUND  Propionyl-CoA carboxylase beta chain; Putative...                   7                   5         201                         10
12    1.3.5.1      FULLY_FOUND  Succinate dehydrogenase iron-sulfur subunit; F...                   6                   6         321                         30
13   5.4.99.2  PARTIALLY_FOUND  Methylmalonyl-CoA mutase; Probable methylmalon...                   2                   1          52                          4
14   4.1.3.24      FULLY_FOUND  Malyl-CoA/beta-methylmalyl-CoA/citramalyl-CoA ...                   1                   1          25                          1
15  4.2.1.148        NOT_FOUND  Beta-methylmalyl-CoA dehydratase; Unknown; Mes...                   4                   0           0                          0"
1026,GCF_021555015.1,133,13,results/batch/1026_GCF_021555015.1_ec_results.csv,"    EC_number           Status                                      Protein_names  Total_Pfam_domains  Found_Pfam_domains  Total_hits  Unique_proteins_with_hits
0   4.2.1.153        NOT_FOUND              Mesaconyl-C(4)-CoA hydratase; Unknown                   2                   0           0                          0
1     6.4.1.2      FULLY_FOUND                    acetyl-CoA carboxylase; Unknown                   7                   7         236                         16
2   4.2.1.116      FULLY_FOUND                                            Unknown                   1                   1          25                          1
3    6.2.1.36        NOT_FOUND                                            Unknown                   1                   0           0                          0
4     4.2.1.2  PARTIALLY_FOUND  Fumarase D; Fumarate hydratase class II 2; Fum...                   5                   2          88                          3
5    1.3.1.84      FULLY_FOUND  Acrylyl-CoA reductase AcuI; Probable acrylyl-C...                   2                   2         245                          5
6   1.1.1.298      FULLY_FOUND  Probable malonic semialdehyde reductase RutE; ...                   2                   2         163                         25
7    5.1.99.1      FULLY_FOUND  methylmalonyl-CoA epimerase; Ethylmalonyl-CoA/...                   1                   1         100                          4
8    4.1.3.25      FULLY_FOUND  Unknown; Malyl-CoA/beta-methylmalyl-CoA/citram...                   1                   1          25                          1
9     5.4.1.3  PARTIALLY_FOUND             Unknown; 2-methylfumaryl-CoA isomerase                   2                   1           2                          2
10   1.2.1.75      FULLY_FOUND                                            Unknown                   2                   2         110                         24
11    6.4.1.3  PARTIALLY_FOUND  Propionyl-CoA carboxylase beta chain; Putative...                   7                   5         182                          9
12    1.3.5.1      FULLY_FOUND  Succinate dehydrogenase iron-sulfur subunit; F...                   6                   6         334                         32
13   5.4.99.2  PARTIALLY_FOUND  Methylmalonyl-CoA mutase; Probable methylmalon...                   2                   1          52                          4
14   4.1.3.24      FULLY_FOUND  Malyl-CoA/beta-methylmalyl-CoA/citramalyl-CoA ...                   1                   1          25                          1
15  4.2.1.148        NOT_FOUND  Beta-methylmalyl-CoA dehydratase; Unknown; Mes...                   4                   0           0                          0"
1027,GCF_021554995.1,119,13,results/batch/1027_GCF_021554995.1_ec_results.csv,"    EC_number           Status                                      Protein_names  Total_Pfam_domains  Found_Pfam_domains  Total_hits  Unique_proteins_with_hits
0   4.2.1.153        NOT_FOUND              Mesaconyl-C(4)-CoA hydratase; Unknown                   2                   0           0                          0
1     6.4.1.2      FULLY_FOUND                    acetyl-CoA carboxylase; Unknown                   7                   7         256                         17
2   4.2.1.116      FULLY_FOUND                                            Unknown                   1                   1          25                          1
3    6.2.1.36        NOT_FOUND                                            Unknown                   1                   0           0                          0
4     4.2.1.2  PARTIALLY_FOUND  Fumarase D; Fumarate hydratase class II 2; Fum...                   5                   2          88                          3
5    1.3.1.84      FULLY_FOUND  Acrylyl-CoA reductase AcuI; Probable acrylyl-C...                   2                   2         147                          3
6   1.1.1.298      FULLY_FOUND  Probable malonic semialdehyde reductase RutE; ...                   2                   2         127                         19
7    5.1.99.1      FULLY_FOUND  methylmalonyl-CoA epimerase; Ethylmalonyl-CoA/...                   1                   1         100                          4
8    4.1.3.25      FULLY_FOUND  Unknown; Malyl-CoA/beta-methylmalyl-CoA/citram...                   1                   1          25                          1
9     5.4.1.3  PARTIALLY_FOUND             Unknown; 2-methylfumaryl-CoA isomerase                   2                   1           1                          1
10   1.2.1.75      FULLY_FOUND                                            Unknown                   2                   2          86                         18
11    6.4.1.3  PARTIALLY_FOUND  Propionyl-CoA carboxylase beta chain; Putative...                   7                   5         201                         10
12    1.3.5.1      FULLY_FOUND  Succinate dehydrogenase iron-sulfur subunit; F...                   6                   6         321                         30
13   5.4.99.2  PARTIALLY_FOUND  Methylmalonyl-CoA mutase; Probable methylmalon...                   2                   1          52                          4
14   4.1.3.24      FULLY_FOUND  Malyl-CoA/beta-methylmalyl-CoA/citramalyl-CoA ...                   1                   1          25                          1
15  4.2.1.148        NOT_FOUND  Beta-methylmalyl-CoA dehydratase; Unknown; Mes...                   4                   0           0                          0"
1029,GCF_021554935.1,124,13,results/batch/1029_GCF_021554935.1_ec_results.csv,"    EC_number           Status                                      Protein_names  Total_Pfam_domains  Found_Pfam_domains  Total_hits  Unique_proteins_with_hits
0   4.2.1.153        NOT_FOUND              Mesaconyl-C(4)-CoA hydratase; Unknown                   2                   0           0                          0
1     6.4.1.2      FULLY_FOUND                    acetyl-CoA carboxylase; Unknown                   7                   7         257                         18
2   4.2.1.116      FULLY_FOUND                                            Unknown                   1                   1          25                          1
3    6.2.1.36        NOT_FOUND                                            Unknown                   1                   0           0                          0
4     4.2.1.2  PARTIALLY_FOUND  Fumarase D; Fumarate hydratase class II 2; Fum...                   5                   2          88                          3
5    1.3.1.84      FULLY_FOUND  Acrylyl-CoA reductase AcuI; Probable acrylyl-C...                   2                   2         220                          5
6   1.1.1.298      FULLY_FOUND  Probable malonic semialdehyde reductase RutE; ...                   2                   2         133                         20
7    5.1.99.1      FULLY_FOUND  methylmalonyl-CoA epimerase; Ethylmalonyl-CoA/...                   1                   1          75                          3
8    4.1.3.25      FULLY_FOUND  Unknown; Malyl-CoA/beta-methylmalyl-CoA/citram...                   1                   1          25                          1
9     5.4.1.3  PARTIALLY_FOUND             Unknown; 2-methylfumaryl-CoA isomerase                   2                   1           2                          2
10   1.2.1.75      FULLY_FOUND                                            Unknown                   2                   2          91                         19
11    6.4.1.3  PARTIALLY_FOUND  Propionyl-CoA carboxylase beta chain; Putative...                   7                   5         201                         10
12    1.3.5.1      FULLY_FOUND  Succinate dehydrogenase iron-sulfur subunit; F...                   6                   6         303                         28
13   5.4.99.2  PARTIALLY_FOUND  Methylmalonyl-CoA mutase; Probable methylmalon...                   2                   1          65                          5
14   4.1.3.24      FULLY_FOUND  Malyl-CoA/beta-methylmalyl-CoA/citramalyl-CoA ...                   1                   1          25                          1
15  4.2.1.148        NOT_FOUND  Beta-methylmalyl-CoA dehydratase; Unknown; Mes...                   4                   0           0                          0"
1030,GCF_021554965.1,129,13,results/batch/1030_GCF_021554965.1_ec_results.csv,"    EC_number           Status                                      Protein_names  Total_Pfam_domains  Found_Pfam_domains  Total_hits  Unique_proteins_with_hits
0   4.2.1.153        NOT_FOUND              Mesaconyl-C(4)-CoA hydratase; Unknown                   2                   0           0                          0
1     6.4.1.2      FULLY_FOUND                    acetyl-CoA carboxylase; Unknown                   7                   7         257                         18
2   4.2.1.116      FULLY_FOUND                                            Unknown                   1                   1          25                          1
3    6.2.1.36        NOT_FOUND                                            Unknown                   1                   0           0                          0
4     4.2.1.2  PARTIALLY_FOUND  Fumarase D; Fumarate hydratase class II 2; Fum...                   5                   2          88                          3
5    1.3.1.84      FULLY_FOUND  Acrylyl-CoA reductase AcuI; Probable acrylyl-C...                   2                   2         220                          5
6   1.1.1.298      FULLY_FOUND  Probable malonic semialdehyde reductase RutE; ...                   2                   2         145                         22
7    5.1.99.1      FULLY_FOUND  methylmalonyl-CoA epimerase; Ethylmalonyl-CoA/...                   1                   1          75                          3
8    4.1.3.25      FULLY_FOUND  Unknown; Malyl-CoA/beta-methylmalyl-CoA/citram...                   1                   1          25                          1
9     5.4.1.3  PARTIALLY_FOUND             Unknown; 2-methylfumaryl-CoA isomerase                   2                   1           2                          2
10   1.2.1.75      FULLY_FOUND                                            Unknown                   2                   2          99                         21
11    6.4.1.3  PARTIALLY_FOUND  Propionyl-CoA carboxylase beta chain; Putative...                   7                   5         201                         10
12    1.3.5.1      FULLY_FOUND  Succinate dehydrogenase iron-sulfur subunit; F...                   6                   6         321                         29
13   5.4.99.2  PARTIALLY_FOUND  Methylmalonyl-CoA mutase; Probable methylmalon...                   2                   1          65                          5
14   4.1.3.24      FULLY_FOUND  Malyl-CoA/beta-methylmalyl-CoA/citramalyl-CoA ...                   1                   1          25                          1
15  4.2.1.148        NOT_FOUND  Beta-methylmalyl-CoA dehydratase; Unknown; Mes...                   4                   0           0                          0"
1031,GCF_020594635.1,121,13,results/batch/1031_GCF_020594635.1_ec_results.csv,"    EC_number           Status                                      Protein_names  Total_Pfam_domains  Found_Pfam_domains  Total_hits  Unique_proteins_with_hits
0   4.2.1.153        NOT_FOUND              Mesaconyl-C(4)-CoA hydratase; Unknown                   2                   0           0                          0
1     6.4.1.2      FULLY_FOUND                    acetyl-CoA carboxylase; Unknown                   7                   7         256                         17
2   4.2.1.116      FULLY_FOUND                                            Unknown                   1                   1          25                          1
3    6.2.1.36        NOT_FOUND                                            Unknown                   1                   0           0                          0
4     4.2.1.2  PARTIALLY_FOUND  Fumarase D; Fumarate hydratase class II 2; Fum...                   5                   2          88                          3
5    1.3.1.84      FULLY_FOUND  Acrylyl-CoA reductase AcuI; Probable acrylyl-C...                   2                   2         220                          5
6   1.1.1.298  PARTIALLY_FOUND  Probable malonic semialdehyde reductase RutE; ...                   2                   1         114                         19
7    5.1.99.1      FULLY_FOUND  methylmalonyl-CoA epimerase; Ethylmalonyl-CoA/...                   1                   1          75                          3
8    4.1.3.25      FULLY_FOUND  Unknown; Malyl-CoA/beta-methylmalyl-CoA/citram...                   1                   1          25                          1
9     5.4.1.3  PARTIALLY_FOUND             Unknown; 2-methylfumaryl-CoA isomerase                   2                   1           2                          2
10   1.2.1.75      FULLY_FOUND                                            Unknown                   2                   2          91                         19
11    6.4.1.3  PARTIALLY_FOUND  Propionyl-CoA carboxylase beta chain; Putative...                   7                   5         201                         10
12    1.3.5.1      FULLY_FOUND  Succinate dehydrogenase iron-sulfur subunit; F...                   6                   6         303                         28
13   5.4.99.2  PARTIALLY_FOUND  Methylmalonyl-CoA mutase; Probable methylmalon...                   2                   1          52                          4
14   4.1.3.24      FULLY_FOUND  Malyl-CoA/beta-methylmalyl-CoA/citramalyl-CoA ...                   1                   1          25                          1
15  4.2.1.148        NOT_FOUND  Beta-methylmalyl-CoA dehydratase; Unknown; Mes...                   4                   0           0                          0"
1032,GCF_021554955.1,125,13,results/batch/1032_GCF_021554955.1_ec_results.csv,"    EC_number           Status                                      Protein_names  Total_Pfam_domains  Found_Pfam_domains  Total_hits  Unique_proteins_with_hits
0   4.2.1.153        NOT_FOUND              Mesaconyl-C(4)-CoA hydratase; Unknown                   2                   0           0                          0
1     6.4.1.2      FULLY_FOUND                    acetyl-CoA carboxylase; Unknown                   7                   7         256                         17
2   4.2.1.116      FULLY_FOUND                                            Unknown                   1                   1          25                          1
3    6.2.1.36        NOT_FOUND                                            Unknown                   1                   0           0                          0
4     4.2.1.2  PARTIALLY_FOUND  Fumarase D; Fumarate hydratase class II 2; Fum...                   5                   2          88                          3
5    1.3.1.84      FULLY_FOUND  Acrylyl-CoA reductase AcuI; Probable acrylyl-C...                   2                   2         220                          5
6   1.1.1.298      FULLY_FOUND  Probable malonic semialdehyde reductase RutE; ...                   2                   2         133                         20
7    5.1.99.1      FULLY_FOUND  methylmalonyl-CoA epimerase; Ethylmalonyl-CoA/...                   1                   1          75                          3
8    4.1.3.25      FULLY_FOUND  Unknown; Malyl-CoA/beta-methylmalyl-CoA/citram...                   1                   1          25                          1
9     5.4.1.3  PARTIALLY_FOUND             Unknown; 2-methylfumaryl-CoA isomerase                   2                   1           2                          2
10   1.2.1.75      FULLY_FOUND                                            Unknown                   2                   2          91                         19
11    6.4.1.3  PARTIALLY_FOUND  Propionyl-CoA carboxylase beta chain; Putative...                   7                   5         201                         10
12    1.3.5.1      FULLY_FOUND  Succinate dehydrogenase iron-sulfur subunit; F...                   6                   6         319                         29
13   5.4.99.2  PARTIALLY_FOUND  Methylmalonyl-CoA mutase; Probable methylmalon...                   2                   1          52                          4
14   4.1.3.24      FULLY_FOUND  Malyl-CoA/beta-methylmalyl-CoA/citramalyl-CoA ...                   1                   1          25                          1
15  4.2.1.148        NOT_FOUND  Beta-methylmalyl-CoA dehydratase; Unknown; Mes...                   4                   0           0                          0"
11-30S32,GCF_007990565.1,122,13,results/batch/11-30S32_GCF_007990565.1_ec_results.csv,"    EC_number           Status                                      Protein_names  Total_Pfam_domains  Found_Pfam_domains  Total_hits  Unique_proteins_with_hits
0   4.2.1.153        NOT_FOUND              Mesaconyl-C(4)-CoA hydratase; Unknown                   2                   0           0                          0
1     6.4.1.2      FULLY_FOUND                    acetyl-CoA carboxylase; Unknown                   7                   7         256                         17
2   4.2.1.116      FULLY_FOUND                                            Unknown                   1                   1          25                          1
3    6.2.1.36        NOT_FOUND                                            Unknown                   1                   0           0                          0
4     4.2.1.2  PARTIALLY_FOUND  Fumarase D; Fumarate hydratase class II 2; Fum...                   5                   2          88                          3
5    1.3.1.84      FULLY_FOUND  Acrylyl-CoA reductase AcuI; Probable acrylyl-C...                   2                   2         221                          5
6   1.1.1.298      FULLY_FOUND  Probable malonic semialdehyde reductase RutE; ...                   2                   2         158                         22
7    5.1.99.1      FULLY_FOUND  methylmalonyl-CoA epimerase; Ethylmalonyl-CoA/...                   1                   1         125                          5
8    4.1.3.25      FULLY_FOUND  Unknown; Malyl-CoA/beta-methylmalyl-CoA/citram...                   1                   1          75                          3
9     5.4.1.3  PARTIALLY_FOUND             Unknown; 2-methylfumaryl-CoA isomerase                   2                   1           3                          3
10   1.2.1.75      FULLY_FOUND                                            Unknown                   2                   2          96                         20
11    6.4.1.3  PARTIALLY_FOUND  Propionyl-CoA carboxylase beta chain; Putative...                   7                   5         201                         10
12    1.3.5.1      FULLY_FOUND  Succinate dehydrogenase iron-sulfur subunit; F...                   6                   6         226                         20
13   5.4.99.2  PARTIALLY_FOUND  Methylmalonyl-CoA mutase; Probable methylmalon...                   2                   1          65                          5
14   4.1.3.24      FULLY_FOUND  Malyl-CoA/beta-methylmalyl-CoA/citramalyl-CoA ...                   1                   1          75                          3
15  4.2.1.148        NOT_FOUND  Beta-methylmalyl-CoA dehydratase; Unknown; Mes...                   4                   0           0                          0"
1339,GCF_038396575.1,111,13,results/batch/1339_GCF_038396575.1_ec_results.csv,"    EC_number           Status                                      Protein_names  Total_Pfam_domains  Found_Pfam_domains  Total_hits  Unique_proteins_with_hits
0   4.2.1.153        NOT_FOUND              Mesaconyl-C(4)-CoA hydratase; Unknown                   2                   0           0                          0
1     6.4.1.2      FULLY_FOUND                    acetyl-CoA carboxylase; Unknown                   7                   7         276                         18
2   4.2.1.116      FULLY_FOUND                                            Unknown                   1                   1          25                          1
3    6.2.1.36        NOT_FOUND                                            Unknown                   1                   0           0                          0
4     4.2.1.2  PARTIALLY_FOUND  Fumarase D; Fumarate hydratase class II 2; Fum...                   5                   2          88                          3
5    1.3.1.84      FULLY_FOUND  Acrylyl-CoA reductase AcuI; Probable acrylyl-C...                   2                   2         172                          4
6   1.1.1.298      FULLY_FOUND  Probable malonic semialdehyde reductase RutE; ...                   2                   2         128                         17
7    5.1.99.1      FULLY_FOUND  methylmalonyl-CoA epimerase; Ethylmalonyl-CoA/...                   1                   1         125                          5
8    4.1.3.25      FULLY_FOUND  Unknown; Malyl-CoA/beta-methylmalyl-CoA/citram...                   1                   1         100                          4
9     5.4.1.3  PARTIALLY_FOUND             Unknown; 2-methylfumaryl-CoA isomerase                   2                   1           3                          3
10   1.2.1.75      FULLY_FOUND                                            Unknown                   2                   2          73                         15
11    6.4.1.3  PARTIALLY_FOUND  Propionyl-CoA carboxylase beta chain; Putative...                   7                   5         220                         11
12    1.3.5.1      FULLY_FOUND  Succinate dehydrogenase iron-sulfur subunit; F...                   6                   6         232                         20
13   5.4.99.2  PARTIALLY_FOUND  Methylmalonyl-CoA mutase; Probable methylmalon...                   2                   1          39                          3
14   4.1.3.24      FULLY_FOUND  Malyl-CoA/beta-methylmalyl-CoA/citramalyl-CoA ...                   1                   1         100                          4
15  4.2.1.148        NOT_FOUND  Beta-methylmalyl-CoA dehydratase; Unknown; Mes...                   4                   0           0                          0"
