# target_name	query_name	e_value	score	bias
WP_012408912.1	adh_short	1.69e-70	235.2	7.1
WP_012410068.1	adh_short	1.82e-62	209.0	3.2
WP_012408721.1	adh_short	2.01e-60	202.3	3.2
WP_012408820.1	adh_short	1.06e-59	200.0	2.5
WP_012407364.1	adh_short	4.99e-59	197.8	3.1
WP_012407016.1	adh_short	5.92e-59	197.5	0.0
WP_012411102.1	adh_short	1.37e-58	196.3	0.0
WP_012409572.1	adh_short	9.72e-58	193.6	2.3
WP_012408397.1	adh_short	2.21e-57	192.4	0.5
WP_012408472.1	adh_short	5.31e-57	191.2	2.1
WP_012407483.1	adh_short	9.91e-57	190.3	1.3
WP_012412770.1	adh_short	1.38e-56	189.8	3.3
WP_012408730.1	adh_short	2.21e-56	189.1	1.6
WP_012407362.1	adh_short	1.88e-55	186.1	0.7
WP_012407358.1	adh_short	1.93e-55	186.1	1.2
WP_012408808.1	adh_short	2.95e-55	185.5	0.9
WP_012407772.1	adh_short	9.32e-55	183.8	0.8
WP_012408043.1	adh_short	1.35e-54	183.3	2.8
WP_012408968.1	adh_short	5.37e-54	181.3	0.0
WP_012407020.1	adh_short	1.13e-53	180.3	0.1
WP_012409766.1	adh_short	4.30e-53	178.4	0.0
WP_041566257.1	adh_short	3.80e-52	175.3	0.1
WP_012407021.1	adh_short	8.37e-52	174.2	0.3
WP_012412742.1	adh_short	2.13e-51	172.9	1.4
WP_012407267.1	adh_short	1.96e-50	169.7	0.2
WP_012409405.1	adh_short	3.01e-50	169.1	0.0
WP_012412282.1	adh_short	8.40e-50	167.7	1.4
WP_012410450.1	adh_short	9.43e-50	167.5	0.0
WP_012408872.1	adh_short	7.30e-49	164.6	0.1
WP_012408633.1	adh_short	2.45e-48	162.9	0.0
WP_012407047.1	adh_short	1.06e-47	160.8	0.1
WP_041565104.1	adh_short	1.40e-47	160.4	0.0
WP_012408642.1	adh_short	5.45e-47	158.5	0.1
WP_012407999.1	adh_short	7.83e-46	154.7	0.0
WP_012407398.1	adh_short	9.67e-46	154.4	0.1
WP_012409570.1	adh_short	1.47e-45	153.8	0.0
WP_012407319.1	adh_short	2.47e-44	149.8	0.0
WP_012406869.1	adh_short	3.12e-43	146.2	0.3
WP_012411604.1	adh_short	6.04e-43	145.3	1.1
WP_012412474.1	adh_short	2.01e-41	140.3	0.7
WP_012409768.1	adh_short	5.80e-40	135.6	0.0
WP_012408778.1	adh_short	8.21e-40	135.1	0.1
WP_012413080.1	adh_short	3.89e-37	126.3	1.1
WP_012409216.1	adh_short	9.03e-33	112.1	0.0
WP_012411831.1	adh_short	1.57e-32	111.3	0.1
WP_012409198.1	adh_short	1.14e-29	102.0	0.5
WP_012408644.1	adh_short	1.41e-29	101.7	1.2
WP_012412478.1	adh_short	6.44e-29	99.5	0.0
WP_012410643.1	adh_short	8.92e-29	99.1	0.0
WP_012411761.1	adh_short	5.18e-25	86.8	0.0
WP_012407390.1	adh_short	1.11e-21	75.9	0.0
WP_012409292.1	adh_short	1.36e-20	72.4	0.0
WP_012409763.1	adh_short	6.45e-17	60.4	0.5
WP_052304622.1	adh_short	1.24e-16	59.4	0.0
WP_012409609.1	adh_short	2.03e-16	58.7	0.0
WP_012408706.1	adh_short	4.46e-16	57.6	0.0
WP_012409762.1	adh_short	2.40e-15	55.2	0.0
WP_012406873.1	adh_short	9.53e-15	53.3	0.3
WP_012408031.1	adh_short	1.48e-14	52.7	0.5
WP_012412906.1	adh_short	1.79e-14	52.4	0.0
WP_012408780.1	adh_short	2.32e-14	52.0	2.0
WP_012409610.1	adh_short	2.54e-14	51.9	0.3
WP_052304673.1	adh_short	2.59e-14	51.9	0.4
WP_052304621.1	adh_short	3.93e-14	51.3	0.0
WP_148220289.1	adh_short	2.17e-13	48.9	0.0
WP_012407795.1	adh_short	9.47e-10	37.0	0.5
WP_012409815.1	adh_short	1.44e-09	36.4	5.8
WP_012412147.1	adh_short	2.13e-09	35.8	0.1
WP_012409595.1	adh_short	1.14e-08	33.5	6.6
WP_083782404.1	adh_short	1.77e-08	32.8	0.0
WP_012407467.1	adh_short	2.95e-08	32.1	0.1
WP_012409602.1	adh_short	3.47e-08	31.9	0.0
WP_272913961.1	adh_short	4.19e-08	31.6	0.4
WP_012409513.1	adh_short	1.00e-07	30.4	0.2
WP_012408705.1	adh_short	1.28e-07	30.0	0.2
WP_012409810.1	adh_short	4.50e-07	28.2	0.2
WP_041565964.1	adh_short	8.88e-07	27.3	0.1
WP_012407037.1	adh_short	3.89e-06	25.2	0.0
WP_012409048.1	ADH_zinc_N	3.85e-33	112.9	0.1
WP_012408613.1	ADH_zinc_N	7.22e-30	102.3	0.1
WP_234711037.1	ADH_zinc_N	1.31e-26	91.8	0.0
WP_012411857.1	ADH_zinc_N	6.52e-26	89.5	0.0
WP_012408788.1	ADH_zinc_N	8.19e-25	86.0	0.0
WP_012408566.1	ADH_zinc_N	1.28e-24	85.3	0.2
WP_041566139.1	ADH_zinc_N	3.31e-23	80.8	0.0
WP_012408413.1	ADH_zinc_N	1.41e-22	78.7	0.0
WP_012413075.1	ADH_zinc_N	6.32e-22	76.6	0.0
WP_012409567.1	ADH_zinc_N	7.08e-22	76.5	0.0
WP_012412459.1	ADH_zinc_N	4.51e-21	73.9	0.8
WP_012408180.1	ADH_zinc_N	6.18e-21	73.4	0.1
WP_012412461.1	ADH_zinc_N	1.04e-18	66.2	1.5
WP_012409763.1	ADH_zinc_N	3.06e-17	61.5	0.0
WP_012408973.1	ADH_zinc_N	3.31e-16	58.1	1.3
WP_012413387.1	ADH_zinc_N	1.61e-15	55.9	0.2
WP_012412281.1	ADH_zinc_N	5.54e-13	47.7	0.6
WP_012410850.1	ADH_zinc_N	2.52e-11	42.3	0.1
WP_012409638.1	ADH_zinc_N	3.79e-07	28.8	0.0
WP_012412256.1	ADH_zinc_N	4.32e-06	25.4	0.3
WP_083782404.1	Thiolase_N	7.33e-12	43.9	4.8
WP_052304621.1	Thiolase_N	8.66e-09	33.8	5.8
WP_012408694.1	Thiolase_N	3.53e-08	31.8	1.2
WP_012409763.1	Thiolase_N	5.85e-07	27.8	1.9
WP_012408703.1	Thiolase_N	6.63e-07	27.6	0.0
WP_052304622.1	Thiolase_N	1.16e-06	26.9	0.3
WP_012406929.1	Thiolase_N	1.88e-06	26.2	0.7
WP_148220289.1	Thiolase_N	3.77e-06	25.2	2.5
WP_012409513.1	Thiolase_N	4.19e-06	25.0	0.2
WP_012412784.1	Thiolase_N	4.22e-06	25.0	0.4
WP_012409815.1	Thiolase_N	6.67e-06	24.4	0.0
WP_012409099.1	Lyase_1	1.22e-87	292.9	0.0
WP_012412072.1	Lyase_1	3.23e-75	252.1	0.0
WP_012409063.1	Lyase_1	1.29e-62	210.7	0.0
WP_012412185.1	Biotin_carb_N	2.62e-46	155.3	0.3
WP_012412054.1	NUDIX	1.88e-23	81.7	0.1
