# target_name	query_name	e_value	score	bias
WP_011823253.1	adh_short	1.17e-67	224.1	3.5
WP_041700681.1	adh_short	2.56e-45	151.3	0.0
WP_011823413.1	adh_short	1.74e-40	135.5	0.0
WP_263890515.1	adh_short	2.28e-30	102.5	0.0
WP_011822909.1	adh_short	8.51e-26	87.6	0.0
WP_011823416.1	adh_short	7.47e-22	74.7	0.0
WP_011823332.1	adh_short	2.18e-18	63.4	0.0
WP_011823127.1	adh_short	1.56e-17	60.6	0.0
WP_011823556.1	adh_short	2.49e-10	37.1	0.0
WP_011823761.1	adh_short	4.86e-09	32.9	0.0
WP_011824403.1	Lyase_1	1.87e-99	329.9	0.1
WP_011822813.1	Lyase_1	4.70e-75	249.8	0.0
WP_011824402.1	Lyase_1	3.01e-55	184.7	0.0
WP_011822922.1	Biotin_carb_N	7.62e-47	155.3	0.0
WP_011823131.1	NUDIX	1.07e-14	51.6	0.0
WP_011824580.1	NUDIX	5.83e-13	45.9	0.0
WP_011822828.1	Biotin_lipoyl	1.16e-23	79.7	0.3
WP_011823207.1	Biotin_lipoyl	2.19e-19	66.0	0.3
WP_011823387.1	ECH_1	7.60e-69	228.7	0.0
WP_011823861.1	Nitroreductase	1.80e-13	47.9	0.0
WP_011822962.1	FAD_binding_2	2.61e-88	293.9	2.3
WP_011823429.1	FAD_binding_2	2.11e-10	37.3	0.8
WP_011824274.1	FAD_binding_2	2.44e-09	33.8	4.7
WP_011823067.1	FAD_binding_2	3.74e-09	33.1	1.4
WP_011823349.1	FAD_binding_2	7.43e-09	32.2	0.0
WP_011823473.1	FAD_binding_2	1.59e-08	31.1	0.1
WP_011824051.1	FAD_binding_2	2.76e-08	30.3	1.2
WP_011823850.1	FAD_binding_2	3.00e-08	30.2	2.3
WP_011822863.1	FAD_binding_2	1.48e-07	27.9	0.1
WP_011822978.1	FAD_binding_2	8.17e-07	25.4	0.1
WP_011823314.1	FAD_binding_2	2.06e-06	24.1	0.5
WP_011824166.1	FAD_binding_2	4.93e-06	22.9	0.6
WP_011824639.1	FAD_binding_2	5.07e-06	22.8	2.1
WP_011824522.1	FAD_binding_2	5.16e-06	22.8	3.1
WP_011823527.1	Carboxyl_trans	1.27e-19	67.1	0.0
WP_011823326.1	Carboxyl_trans	6.23e-13	45.1	0.6
WP_011295255.1	MaoC_dehydratas	4.28e-06	23.3	0.0
WP_011823689.1	B12-binding	8.56e-21	71.0	0.4
WP_011822922.1	Biotin_carb_C	2.57e-44	146.7	0.0
WP_011823594.1	CPSase_L_D2	9.87e-109	358.7	0.0
WP_011822922.1	CPSase_L_D2	1.14e-81	270.3	0.0
WP_011823865.1	CPSase_L_D2	1.14e-11	41.5	0.0
WP_011824283.1	CPSase_L_D2	2.74e-09	33.8	0.7
WP_011823457.1	CPSase_L_D2	3.64e-08	30.1	0.0
WP_011824318.1	CPSase_L_D2	7.44e-07	25.8	0.0
WP_011822962.1	Succ_DH_flav_C	5.51e-10	36.2	0.1
WP_011823326.1	ACCA	5.21e-139	459.6	0.0
WP_011824403.1	FumaraseC_C	1.72e-20	70.1	0.1
WP_011824179.1	Fer2_3	9.80e-08	28.9	0.1
WP_011823019.1	Fer4_8	8.71e-08	29.6	9.2
WP_011823019.1	Fer4_10	1.58e-11	40.9	17.0
WP_011295528.1	Fer4_10	1.84e-09	34.3	14.2
WP_011822808.1	Fer4_10	1.33e-06	25.2	5.2
WP_011824516.1	Fer4_10	3.00e-06	24.0	24.2
WP_011295528.1	Fer4_17	2.24e-07	28.3	13.0
WP_011823127.1	adh_short_C2	6.97e-82	271.5	0.0
WP_011823253.1	adh_short_C2	2.65e-67	223.7	1.4
WP_041700681.1	adh_short_C2	3.21e-34	115.4	0.0
WP_011823413.1	adh_short_C2	8.56e-32	107.5	0.0
WP_011822909.1	adh_short_C2	1.13e-19	67.8	0.0
WP_263890515.1	adh_short_C2	4.81e-15	52.7	0.0
WP_011823416.1	adh_short_C2	1.00e-07	28.7	0.0
WP_011823332.1	adh_short_C2	1.03e-06	25.4	0.0
