# target_name	query_name	e_value	score	bias
WP_011057342.1	adh_short	4.04e-71	235.7	8.1
WP_011057150.1	adh_short	1.53e-58	194.6	0.1
WP_011056362.1	adh_short	7.75e-52	172.8	0.1
WP_011057728.1	adh_short	9.56e-50	165.9	0.0
WP_011056775.1	adh_short	5.37e-39	130.9	2.6
WP_011058012.1	adh_short	2.93e-29	99.1	0.0
WP_011057530.1	adh_short	3.80e-24	82.4	0.0
WP_011056423.1	adh_short	2.22e-19	66.9	0.0
WP_011056311.1	adh_short	3.01e-06	24.0	0.0
WP_164920792.1	ADH_zinc_N	5.04e-27	91.6	0.0
WP_164920875.1	ADH_zinc_N	2.46e-24	82.9	0.0
WP_011055856.1	ADH_zinc_N	5.89e-24	81.7	0.3
WP_011056689.1	Thiolase_N	4.57e-09	33.2	1.0
WP_011057374.1	Lyase_1	4.28e-113	375.0	0.0
WP_011056221.1	Lyase_1	4.57e-82	273.1	0.0
WP_011057666.1	Lyase_1	2.02e-58	195.4	0.0
WP_011057645.1	Biotin_carb_N	2.13e-47	157.3	1.2
WP_011057290.1	NUDIX	6.96e-22	75.1	0.0
WP_011056920.1	NUDIX	2.59e-21	73.2	0.1
WP_011056278.1	NUDIX	6.70e-19	65.4	0.3
WP_011057899.1	NUDIX	1.29e-14	51.5	0.0
WP_011057021.1	NUDIX	1.85e-14	51.0	0.0
WP_011057135.1	Biotin_lipoyl	5.30e-25	84.3	1.2
WP_011057139.1	Biotin_lipoyl	3.11e-17	59.4	0.2
WP_011056487.1	Biotin_lipoyl	2.48e-08	30.9	11.3
WP_011058289.1	ECH_1	2.46e-78	260.1	0.0
WP_011056025.1	Nitroreductase	1.96e-48	161.9	0.1
WP_011058035.1	Nitroreductase	2.94e-26	89.8	1.2
WP_164921162.1	FAD_binding_2	9.87e-115	381.2	1.5
WP_011058240.1	FAD_binding_2	8.43e-97	322.1	3.3
WP_011056087.1	FAD_binding_2	9.55e-11	38.6	4.3
WP_011057660.1	FAD_binding_2	1.17e-08	31.7	1.4
WP_011056192.1	FAD_binding_2	1.69e-08	31.2	0.3
WP_011057244.1	FAD_binding_2	1.36e-07	28.2	0.0
WP_011056229.1	FAD_binding_2	4.07e-07	26.7	0.6
WP_164921239.1	FAD_binding_2	8.25e-07	25.7	1.0
WP_011056989.1	FAD_binding_2	2.00e-06	24.4	3.9
WP_011057401.1	FAD_binding_2	2.14e-06	24.3	0.2
WP_164921229.1	FAD_binding_2	4.00e-06	23.4	0.3
WP_011057480.1	Carboxyl_trans	1.29e-23	80.5	0.1
WP_011057151.1	Carboxyl_trans	3.34e-14	49.5	0.1
WP_011057628.1	MaoC_dehydratas	3.31e-06	23.9	0.0
WP_164921137.1	B12-binding	3.27e-21	72.6	0.2
WP_011056615.1	B12-binding	1.44e-09	35.0	0.0
WP_011057307.1	B12-binding	9.91e-06	22.6	0.0
WP_011057645.1	Biotin_carb_C	1.93e-42	140.9	0.0
WP_011058165.1	CPSase_L_D2	4.39e-117	386.2	0.5
WP_011057645.1	CPSase_L_D2	2.69e-85	282.3	0.1
WP_011058004.1	CPSase_L_D2	3.81e-06	23.7	0.0
WP_164920939.1	CPSase_L_D2	7.30e-06	22.8	0.1
WP_164921162.1	Succ_DH_flav_C	3.56e-47	156.8	0.0
WP_011058240.1	Succ_DH_flav_C	2.53e-20	69.9	0.0
WP_011057151.1	ACCA	1.80e-141	467.9	0.0
WP_164920875.1	ADH_N	1.54e-29	99.5	1.3
WP_164920792.1	ADH_N	5.24e-29	97.8	0.5
WP_011055856.1	ADH_N	7.69e-20	68.3	0.2
WP_011057374.1	FumaraseC_C	3.15e-27	91.9	0.2
WP_011057591.1	Fer2_3	3.67e-32	107.7	0.0
WP_011057500.1	Fer4_8	3.96e-14	50.1	3.2
WP_011057591.1	Fer4_8	1.25e-12	45.3	5.1
WP_011057877.1	Fer4_8	6.30e-06	23.9	4.4
WP_164920720.1	Fer4_8	8.36e-06	23.5	1.1
WP_011057637.1	Fer4_10	5.96e-12	42.5	8.8
WP_011057500.1	Fer4_10	1.55e-09	34.8	15.1
WP_011056855.1	Fer4_10	2.18e-09	34.3	15.3
WP_011056515.1	Fer4_10	2.24e-09	34.3	17.9
WP_011057929.1	Fer4_10	2.29e-09	34.3	6.7
WP_011057591.1	Fer4_10	3.03e-07	27.5	5.5
WP_011057500.1	Fer4_17	1.80e-10	38.4	3.4
WP_011056855.1	Fer4_17	1.34e-08	32.4	9.6
WP_011057877.1	Fer4_17	3.28e-07	28.0	4.5
WP_011056515.1	Fer4_17	3.86e-07	27.7	2.3
WP_011057591.1	Fer4_17	6.35e-07	27.1	3.7
WP_011057530.1	adh_short_C2	3.31e-88	292.4	0.0
WP_011057342.1	adh_short_C2	5.28e-69	229.5	5.9
WP_011057150.1	adh_short_C2	3.84e-45	151.4	0.1
WP_011056362.1	adh_short_C2	5.04e-38	128.1	0.0
WP_011056775.1	adh_short_C2	6.45e-35	118.0	5.7
WP_011057728.1	adh_short_C2	5.95e-33	111.5	0.0
WP_011058012.1	adh_short_C2	5.09e-22	75.8	0.0
WP_011056423.1	adh_short_C2	2.52e-09	34.2	0.0
WP_011057535.1	Glyoxalase_4	8.22e-07	26.5	0.1
WP_011057581.1	Glyoxalase_4	9.84e-07	26.2	0.0
