# target_name	query_name	e_value	score	bias
WP_338430134.1	adh_short	2.72e-68	226.6	6.4
WP_208672814.1	adh_short	4.94e-56	186.6	0.1
WP_338430774.1	adh_short	2.57e-50	168.0	0.0
WP_338429553.1	adh_short	8.48e-31	104.3	0.0
WP_338429401.1	adh_short	3.52e-28	95.7	0.0
WP_208675278.1	adh_short	5.84e-22	75.4	0.1
WP_338429474.1	adh_short	6.97e-20	68.6	0.0
WP_338431516.1	adh_short	4.00e-08	30.3	0.0
WP_338429960.1	ADH_zinc_N	6.67e-26	88.1	0.0
WP_338429710.1	ADH_zinc_N	8.50e-23	78.1	0.0
WP_338430249.1	Thiolase_N	3.81e-07	27.0	1.2
WP_338431525.1	Lyase_1	1.27e-109	363.7	0.0
WP_338429421.1	Lyase_1	2.17e-78	261.1	0.0
WP_338429957.1	Lyase_1	9.40e-63	209.8	0.0
WP_208674110.1	Biotin_carb_N	3.09e-46	153.7	2.5
WP_338431100.1	NUDIX	1.50e-24	83.8	0.0
WP_338430123.1	NUDIX	2.57e-21	73.4	0.2
WP_208678745.1	NUDIX	2.68e-20	70.1	0.8
WP_338429626.1	NUDIX	4.18e-20	69.5	0.0
WP_208676828.1	NUDIX	4.90e-17	59.5	0.2
WP_338429538.1	Biotin_lipoyl	2.47e-24	82.3	0.0
WP_338430286.1	Biotin_lipoyl	7.27e-18	61.5	0.3
WP_338429892.1	Biotin_lipoyl	1.09e-07	28.9	0.9
WP_338429253.1	Biotin_lipoyl	2.88e-07	27.6	0.3
WP_338430983.1	Biotin_lipoyl	6.18e-06	23.3	4.9
WP_338431170.1	Biotin_lipoyl	7.15e-06	23.1	0.1
WP_338431861.1	ECH_1	2.67e-74	247.0	0.0
WP_338429967.1	Nitroreductase	7.58e-18	62.6	0.1
WP_338431146.1	FAD_binding_2	8.03e-96	319.0	1.6
WP_338430102.1	FAD_binding_2	6.00e-49	164.6	2.6
WP_338430927.1	FAD_binding_2	7.69e-12	42.4	2.0
WP_338430455.1	FAD_binding_2	1.38e-09	35.0	0.4
WP_338430358.1	FAD_binding_2	3.00e-09	33.9	4.2
WP_338429991.1	FAD_binding_2	2.20e-08	31.0	1.9
WP_425330091.1	FAD_binding_2	2.97e-08	30.6	5.1
WP_338430703.1	FAD_binding_2	1.50e-07	28.3	0.3
WP_338431766.1	FAD_binding_2	1.61e-07	28.2	0.1
WP_338429804.1	FAD_binding_2	3.45e-07	27.1	0.0
WP_338431378.1	FAD_binding_2	6.33e-07	26.2	10.7
WP_338431707.1	FAD_binding_2	7.16e-07	26.0	0.3
WP_338429690.1	FAD_binding_2	1.10e-06	25.4	0.3
WP_338431012.1	FAD_binding_2	1.16e-06	25.3	0.1
WP_338430602.1	FAD_binding_2	1.40e-06	25.1	0.9
WP_338430307.1	FAD_binding_2	2.25e-06	24.4	0.1
WP_338429482.1	FAD_binding_2	3.15e-06	23.9	4.6
WP_338430861.1	Carboxyl_trans	1.54e-21	73.9	0.2
WP_338430772.1	Carboxyl_trans	1.06e-11	41.4	0.1
WP_338430293.1	B12-binding	5.09e-19	65.6	2.4
WP_338431303.1	B12-binding	2.25e-13	47.4	0.1
WP_338430173.1	B12-binding	7.64e-06	23.1	0.0
WP_208674110.1	Biotin_carb_C	5.11e-42	139.7	0.0
WP_338430150.1	CPSase_L_D2	3.72e-112	370.3	0.4
WP_208674110.1	CPSase_L_D2	1.10e-85	283.8	0.0
WP_338429248.1	CPSase_L_D2	5.45e-12	43.0	0.0
WP_338430063.1	CPSase_L_D2	5.24e-10	36.5	0.0
WP_338430624.1	CPSase_L_D2	4.90e-09	33.3	0.1
WP_338431812.1	CPSase_L_D2	8.77e-07	26.0	0.0
WP_338430102.1	Succ_DH_flav_C	1.28e-32	109.8	0.0
WP_338431146.1	Succ_DH_flav_C	3.00e-18	63.3	0.0
WP_338430772.1	ACCA	1.09e-143	475.4	0.0
WP_338429960.1	ADH_N	8.84e-25	84.3	3.9
WP_338429710.1	ADH_N	2.52e-19	66.8	0.0
WP_338431525.1	FumaraseC_C	7.67e-23	78.1	0.0
WP_338430496.1	Fer2_3	1.92e-21	73.4	0.1
WP_338430575.1	Fer4_8	2.30e-14	51.0	3.3
WP_338430496.1	Fer4_8	2.05e-08	32.0	2.6
WP_338431485.1	Fer4_8	7.24e-08	30.2	8.9
WP_338429241.1	Fer4_8	2.33e-07	28.6	7.1
WP_208675792.1	Fer4_8	6.34e-06	24.0	11.8
WP_338430287.1	Fer4_8	7.30e-06	23.8	5.1
WP_338431485.1	Fer4_10	6.31e-12	42.6	16.6
WP_338430575.1	Fer4_10	4.90e-10	36.6	2.8
WP_011243298.1	Fer4_10	3.70e-09	33.7	14.6
WP_208678908.1	Fer4_10	5.37e-09	33.2	11.1
WP_011243037.1	Fer4_10	9.13e-09	32.5	10.2
WP_338429241.1	Fer4_10	1.21e-07	28.9	21.9
WP_208675792.1	Fer4_10	2.07e-07	28.1	6.1
WP_338430575.1	Fer4_17	1.43e-10	38.9	2.7
WP_011243298.1	Fer4_17	1.94e-07	28.9	12.6
WP_208678908.1	Fer4_17	4.00e-06	24.6	5.5
WP_338430496.1	Fer4_17	6.15e-06	24.0	4.6
WP_208675278.1	adh_short_C2	1.39e-84	280.7	0.0
WP_338430134.1	adh_short_C2	2.29e-69	230.9	10.8
WP_208672814.1	adh_short_C2	5.93e-63	209.9	0.0
WP_338430774.1	adh_short_C2	2.32e-43	145.8	0.1
WP_338429553.1	adh_short_C2	1.11e-23	81.3	0.0
