strain,accession,target_name,target_description,query_name,pfam_id,evalue,score,bias,domain_evalue,domain_score
MIT9313,GCF_000011485.1,WP_011130701.1,3-oxoacyl-[acyl-carrier-protein] reductase [Prochlorococcus marinus],adh_short,adh_short,4.091747957548235e-67,222.5750274658203,8.292266845703125,5.26400767325621e-67,222.21803283691406
MIT9313,GCF_000011485.1,WP_011130597.1,SDR family oxidoreductase [Prochlorococcus marinus],adh_short,adh_short,8.734738369305334e-46,152.97787475585938,0.0017852783203125,1.111013474056745e-45,152.63699340820312
MIT9313,GCF_000011485.1,WP_011131268.1,bifunctional aldolase/short-chain dehydrogenase [Prochlorococcus marinus],adh_short,adh_short,2.4520373402215694e-38,128.67431640625,0.635772705078125,4.775827277182914e-38,127.7296142578125
MIT9313,GCF_000011485.1,WP_011129927.1,SDR family NAD(P)-dependent oxidoreductase [Prochlorococcus marinus],adh_short,adh_short,1.0537132044770328e-35,120.08226013183594,0.0003509521484375,1.3356009313427771e-35,119.74632263183594
MIT9313,GCF_000011485.1,WP_011129859.1,oxidoreductase [Prochlorococcus marinus],adh_short,adh_short,1.209772267517843e-34,116.62356567382812,0.19699859619140625,1.3539258736255957e-33,113.20105743408203
MIT9313,GCF_000011485.1,WP_011130616.1,MULTISPECIES: SDR family oxidoreductase [Prochlorococcus],adh_short,adh_short,1.960834129811648e-26,89.83538055419922,0.00336456298828125,3.0360383737297786e-26,89.21585083007812
MIT9313,GCF_000011485.1,WP_041384369.1,SDR family NAD(P)-dependent oxidoreductase [Prochlorococcus marinus],adh_short,adh_short,1.5347615308818895e-20,70.60469818115234,0.00034332275390625,1.0463582273676972e-18,64.62157440185547
MIT9313,GCF_000011485.1,WP_011130588.1,protochlorophyllide reductase [Prochlorococcus marinus],adh_short,adh_short,2.6129106585005936e-20,69.85067749023438,0.00307464599609375,2.879873092259002e-17,59.92388916015625
MIT9313,GCF_000011485.1,WP_011130588.1,protochlorophyllide reductase [Prochlorococcus marinus],adh_short,adh_short,2.6129106585005936e-20,69.85067749023438,0.00307464599609375,0.2722166730129354,7.796062469482422
MIT9313,GCF_000011485.1,WP_236066156.1,MULTISPECIES: SDR family NAD(P)-dependent oxidoreductase [Prochlorococcus],adh_short,adh_short,9.151418676654265e-16,55.02252197265625,0.001842498779296875,1.5516713718525148e-15,54.27428436279297
MIT9313,GCF_000011485.1,WP_011131247.1,MULTISPECIES: enoyl-ACP reductase FabI [Prochlorococcus],adh_short,adh_short,1.0274572261443747e-15,54.85847473144531,0.013286590576171875,1.3955368555910276e-15,54.4245719909668
MIT9313,GCF_000011485.1,WP_011131273.1,UDP-glucose 4-epimerase GalE [Prochlorococcus marinus],adh_short,adh_short,1.1888839761321162e-09,35.07381820678711,0.014415740966796875,7.625403238801542e-09,32.44019317626953
MIT9313,GCF_000011485.1,WP_011129494.1,"dTDP-glucose 4,6-dehydratase [Prochlorococcus marinus]",adh_short,adh_short,2.137594332660984e-08,30.979480743408203,0.21583938598632812,0.00021066127416503384,17.948261260986328
MIT9313,GCF_000011485.1,WP_011129494.1,"dTDP-glucose 4,6-dehydratase [Prochlorococcus marinus]",adh_short,adh_short,2.137594332660984e-08,30.979480743408203,0.21583938598632812,0.14641698815174356,8.674858093261719
MIT9313,GCF_000011485.1,WP_011130996.1,potassium channel family protein [Prochlorococcus marinus],adh_short,adh_short,2.760769334023521e-06,24.090993881225586,0.03417015075683594,5.453969837919575e-06,23.126188278198242
MIT9313,GCF_000011485.1,WP_011131361.1,beta-ketoacyl-ACP synthase III [Prochlorococcus marinus],Thiolase_N,Thiolase_N,5.1699162551884755e-06,23.13732147216797,0.00695037841796875,1.0140591695385484e-05,22.178373336791992
MIT9313,GCF_000011485.1,WP_041384566.1,class II fumarate hydratase [Prochlorococcus marinus],Lyase_1,Lyase_1,2.6140076596027865e-104,346.083740234375,0.03387451171875,3.1385595561234435e-104,345.8228454589844
MIT9313,GCF_000011485.1,WP_011129392.1,argininosuccinate lyase [Prochlorococcus marinus],Lyase_1,Lyase_1,1.9187378866536356e-77,257.8337707519531,3.0517578125e-05,2.5642798946625433e-77,257.4200439453125
MIT9313,GCF_000011485.1,WP_011130852.1,adenylosuccinate lyase [Prochlorococcus marinus],Lyase_1,Lyase_1,1.1747656844736808e-57,192.8365478515625,0.0240631103515625,1.6540943649282867e-57,192.348388671875
MIT9313,GCF_000011485.1,WP_011130955.1,acetyl-CoA carboxylase biotin carboxylase subunit [Prochlorococcus marinus],Biotin_carb_N,Biotin_carb_N,1.4401903063306646e-47,157.83839416503906,0.0887298583984375,4.741751953675643e-47,156.17259216308594
MIT9313,GCF_000011485.1,WP_011129514.1,8-oxo-dGTP diphosphatase MutT [Prochlorococcus marinus],NUDIX,NUDIX,1.087105672997502e-15,54.98033905029297,0.18676376342773438,2.6568953460826227e-15,53.724098205566406
