# target_name	query_name	e_value	score	bias
WP_035735013.1	adh_short	7.05e-69	229.5	6.5
WP_006618496.1	adh_short	1.78e-57	192.3	0.1
WP_006617122.1	adh_short	3.01e-55	185.1	0.1
WP_006617155.1	adh_short	3.66e-50	168.5	0.0
WP_006617473.1	adh_short	5.51e-50	167.9	8.6
WP_006620187.1	adh_short	6.67e-47	157.8	0.0
WP_006618036.1	adh_short	6.10e-46	154.7	0.0
WP_006617575.1	adh_short	1.34e-42	143.8	0.0
WP_006618617.1	adh_short	1.20e-40	137.4	0.2
WP_006620186.1	adh_short	3.85e-34	116.2	0.1
WP_006617707.1	adh_short	3.43e-32	109.8	0.0
WP_006619803.1	adh_short	1.12e-27	95.1	0.0
WP_006620060.1	adh_short	6.95e-24	82.7	0.0
WP_006619211.1	adh_short	2.33e-22	77.7	0.0
WP_006617541.1	adh_short	3.40e-21	73.9	0.0
WP_006619263.1	adh_short	4.57e-09	34.4	0.0
WP_006619621.1	adh_short	2.93e-08	31.7	0.0
WP_006618043.1	adh_short	7.24e-06	23.9	0.4
WP_006618504.1	ADH_zinc_N	1.58e-29	100.8	0.1
WP_014276403.1	ADH_zinc_N	6.04e-24	82.8	0.2
WP_014274485.1	ADH_zinc_N	2.81e-23	80.6	0.2
WP_006617705.1	ADH_zinc_N	1.85e-08	32.7	0.0
WP_006617837.1	ADH_zinc_N	1.31e-06	26.7	1.3
WP_006617472.1	Thiolase_N	1.53e-84	281.7	0.0
WP_006617507.1	Thiolase_N	7.30e-06	23.8	0.9
WP_006619206.1	Lyase_1	2.88e-74	248.6	0.0
WP_014274512.1	Lyase_1	3.77e-70	235.1	0.0
WP_006619058.1	Lyase_1	8.70e-62	207.6	0.0
WP_006616582.1	Biotin_carb_N	1.16e-46	156.1	1.5
WP_006619262.1	NUDIX	2.86e-24	83.9	0.0
WP_006618279.1	NUDIX	2.46e-23	80.9	0.0
WP_006616177.1	NUDIX	1.71e-20	71.7	0.7
WP_006617775.1	NUDIX	2.87e-19	67.8	0.0
WP_014274883.1	NUDIX	2.83e-15	54.8	0.0
WP_006617154.1	NUDIX	1.39e-14	52.6	0.0
WP_006616567.1	NUDIX	1.70e-14	52.3	0.0
WP_006617413.1	NUDIX	1.02e-11	43.3	0.0
WP_006619603.1	Biotin_lipoyl	9.31e-25	84.6	0.1
WP_006616495.1	Biotin_lipoyl	6.53e-17	59.5	0.3
WP_006619357.1	Biotin_lipoyl	3.25e-08	31.6	0.1
WP_006618616.1	Biotin_lipoyl	7.63e-07	27.2	7.1
WP_014274149.1	Biotin_lipoyl	3.14e-06	25.3	0.0
WP_006618968.1	ECH_1	2.15e-73	245.0	0.0
WP_006618778.1	Nitroreductase	4.09e-33	113.2	0.0
WP_006617857.1	Nitroreductase	8.59e-15	53.6	0.0
WP_006617993.1	FAD_binding_2	2.46e-116	387.6	4.6
WP_014274202.1	FAD_binding_2	3.76e-92	307.9	0.4
WP_006616993.1	FAD_binding_2	8.18e-11	40.0	9.6
WP_006620059.1	FAD_binding_2	4.06e-10	37.7	5.1
WP_006618904.1	FAD_binding_2	1.09e-08	33.0	2.2
WP_006617762.1	FAD_binding_2	2.87e-08	31.6	0.7
WP_006618166.1	FAD_binding_2	4.99e-08	30.9	0.1
WP_006618955.1	FAD_binding_2	1.24e-07	29.5	0.1
WP_006617965.1	FAD_binding_2	6.07e-07	27.3	1.0
WP_006616919.1	FAD_binding_2	1.84e-06	25.7	1.2
WP_006620007.1	FAD_binding_2	2.82e-06	25.1	1.1
