# target_name	query_name	e_value	score	bias
WP_006278496.1	adh_short	8.00e-70	231.8	8.0
WP_006276487.1	adh_short	4.07e-61	203.4	3.7
WP_115538516.1	adh_short	8.71e-52	173.0	0.0
WP_006276866.1	adh_short	1.30e-48	162.6	0.1
WP_115539322.1	adh_short	6.95e-47	157.0	0.0
WP_006276682.1	adh_short	1.32e-42	143.0	0.0
WP_236308469.1	adh_short	4.62e-39	131.5	0.0
WP_057178094.1	adh_short	8.31e-23	78.4	0.0
WP_057178853.1	adh_short	1.42e-22	77.7	0.0
WP_057177849.1	adh_short	1.11e-13	48.7	0.9
WP_236308109.1	adh_short	3.01e-12	44.0	0.1
WP_057176909.1	adh_short	1.36e-09	35.3	0.1
WP_236308705.1	adh_short	6.00e-07	26.7	0.2
WP_057177501.1	adh_short	7.40e-06	23.1	0.1
WP_236308646.1	adh_short	9.58e-06	22.8	0.0
WP_006278216.1	ADH_zinc_N	4.22e-25	85.7	0.0
WP_115538553.1	ADH_zinc_N	5.72e-23	78.9	0.0
WP_115538977.1	ADH_zinc_N	2.53e-16	57.4	0.7
WP_057176883.1	ADH_zinc_N	1.30e-09	35.7	0.1
WP_057176984.1	Thiolase_N	5.68e-08	30.0	0.4
WP_096543529.1	Lyase_1	3.08e-88	293.7	0.0
WP_057178368.1	Lyase_1	1.33e-75	252.2	0.0
WP_057177333.1	Lyase_1	1.50e-59	199.5	0.0
WP_006275705.1	Biotin_carb_N	8.86e-47	155.7	0.2
WP_177169499.1	NUDIX	2.14e-23	80.4	0.0
WP_006276737.1	NUDIX	9.70e-21	71.8	0.0
WP_006278462.1	NUDIX	1.42e-20	71.2	0.3
WP_115538393.1	NUDIX	3.09e-13	47.5	0.0
WP_236308608.1	NUDIX	4.24e-12	43.8	0.0
WP_057177352.1	NUDIX	2.33e-10	38.2	0.0
WP_006278262.1	NUDIX	7.68e-10	36.5	0.0
WP_006276250.1	Biotin_lipoyl	3.51e-26	88.4	0.6
WP_057178604.1	Biotin_lipoyl	3.75e-18	62.7	0.8
WP_115538338.1	Biotin_lipoyl	8.28e-07	26.4	1.6
WP_236308097.1	Biotin_lipoyl	3.13e-06	24.5	0.2
WP_006276140.1	Biotin_lipoyl	3.42e-06	24.4	0.1
WP_236308206.1	Biotin_lipoyl	5.27e-06	23.8	2.6
WP_006278636.1	Biotin_lipoyl	5.92e-06	23.6	0.3
WP_115539228.1	Biotin_lipoyl	8.87e-06	23.1	0.5
WP_006277396.1	ECH_1	3.13e-74	247.0	0.0
WP_236308514.1	Nitroreductase	2.95e-36	122.7	0.0
WP_057176968.1	FAD_binding_2	7.60e-115	381.9	3.1
WP_236308417.1	FAD_binding_2	2.10e-91	304.7	1.4
WP_057177200.1	FAD_binding_2	1.87e-11	41.4	5.9
WP_115538451.1	FAD_binding_2	2.91e-09	34.1	0.4
WP_236308185.1	FAD_binding_2	1.09e-08	32.3	0.0
WP_006276197.1	FAD_binding_2	2.06e-08	31.3	1.3
WP_115538521.1	FAD_binding_2	6.67e-08	29.7	0.3
WP_006275633.1	FAD_binding_2	1.05e-07	29.0	0.1
WP_141303666.1	FAD_binding_2	4.94e-07	26.8	1.2
WP_236308790.1	FAD_binding_2	6.00e-07	26.5	0.3
WP_057179131.1	FAD_binding_2	1.66e-06	25.1	0.4
WP_141303532.1	FAD_binding_2	6.61e-06	23.1	1.7
WP_006276581.1	Carboxyl_trans	5.04e-24	82.3	0.0
WP_057179082.1	Carboxyl_trans	3.16e-14	50.0	0.2
WP_057178195.1	B12-binding	5.18e-23	78.8	0.0
WP_141303552.1	B12-binding	6.52e-21	72.0	0.0
WP_006276124.1	B12-binding	9.55e-13	45.6	0.0
WP_006275705.1	Biotin_carb_C	4.36e-44	146.6	0.0
WP_236107456.1	CPSase_L_D2	2.61e-112	371.0	0.2
WP_006275705.1	CPSase_L_D2	2.58e-87	289.3	0.0
