# target_name	query_name	e_value	score	bias
WP_002775997.1	adh_short	2.09e-71	237.5	6.2
WP_016515424.1	adh_short	5.29e-54	180.7	0.1
WP_002777481.1	adh_short	5.27e-53	177.4	0.0
WP_016515857.1	adh_short	5.27e-53	177.4	0.0
WP_002740268.1	adh_short	2.06e-50	169.0	0.3
WP_002735163.1	adh_short	3.34e-49	165.0	3.7
WP_004268450.1	adh_short	6.33e-46	154.3	0.1
WP_002753721.1	adh_short	1.03e-45	153.6	0.0
WP_016516142.1	adh_short	3.00e-43	145.6	0.0
WP_016517237.1	adh_short	6.77e-40	134.6	0.0
WP_002740281.1	adh_short	1.76e-26	90.9	0.1
WP_016514382.1	adh_short	1.54e-19	68.2	1.5
WP_002734294.1	adh_short	2.54e-17	61.0	0.0
WP_016517173.1	adh_short	1.81e-15	54.9	0.0
WP_269464974.1	adh_short	3.99e-15	53.8	0.0
WP_016517217.1	adh_short	1.31e-14	52.1	0.0
WP_016514260.1	adh_short	4.94e-11	40.5	0.0
WP_016517240.1	adh_short	5.35e-11	40.3	0.0
WP_016517216.1	adh_short	6.33e-10	36.8	0.0
WP_223211050.1	adh_short	6.23e-09	33.6	0.1
WP_002735864.1	ADH_zinc_N	5.48e-28	95.5	0.2
WP_016516931.1	ADH_zinc_N	2.20e-26	90.3	0.0
WP_016515050.1	ADH_zinc_N	1.00e-22	78.5	0.8
WP_036395497.1	ADH_zinc_N	1.42e-22	78.0	0.3
WP_016517173.1	ADH_zinc_N	1.15e-16	58.9	0.0
WP_016514259.1	ADH_zinc_N	6.34e-13	46.8	0.0
WP_002776470.1	ADH_zinc_N	4.70e-06	24.6	0.2
WP_002738085.1	Thiolase_N	1.70e-81	271.4	0.0
WP_016517216.1	Thiolase_N	5.86e-11	40.2	4.8
WP_016516409.1	Thiolase_N	1.56e-09	35.6	0.6
WP_016517201.1	Lyase_1	9.39e-101	335.3	0.0
WP_002735516.1	Lyase_1	2.21e-77	258.5	0.0
WP_004268608.1	Lyase_1	8.71e-61	204.0	0.0
WP_002777402.1	Biotin_carb_N	1.35e-46	155.6	0.6
WP_016515136.1	NUDIX	1.39e-23	81.4	0.0
WP_016516443.1	NUDIX	1.08e-20	72.0	0.0
WP_002776703.1	NUDIX	1.33e-19	68.5	0.1
WP_016514645.1	NUDIX	5.95e-17	59.9	0.0
WP_016515728.1	NUDIX	1.98e-16	58.3	0.0
WP_002751904.1	NUDIX	2.85e-13	48.0	0.0
WP_016514666.1	NUDIX	4.19e-12	44.2	0.0
WP_002733878.1	Biotin_lipoyl	2.67e-22	76.4	0.1
WP_004158856.1	Biotin_lipoyl	6.50e-18	62.4	0.5
WP_016515282.1	Biotin_lipoyl	8.70e-07	26.7	0.5
WP_016516963.1	Biotin_lipoyl	3.84e-06	24.7	8.7
WP_016514989.1	ECH_1	7.33e-74	246.2	0.0
WP_016514855.1	Nitroreductase	1.85e-34	117.3	0.0
WP_002735609.1	Nitroreductase	5.66e-31	106.0	0.1
