# target_name	query_name	e_value	score	bias
WP_211569829.1	adh_short	6.84e-72	239.1	6.1
WP_002793292.1	adh_short	3.64e-56	187.8	0.0
WP_002794046.1	adh_short	3.86e-56	187.7	7.1
WP_002792988.1	adh_short	1.50e-53	179.3	0.1
WP_002751237.1	adh_short	3.78e-53	178.0	0.0
WP_002794506.1	adh_short	4.41e-53	177.8	0.0
WP_002751543.1	adh_short	3.40e-49	165.1	2.7
WP_002751257.1	adh_short	3.70e-49	164.9	0.3
WP_002793889.1	adh_short	5.08e-46	154.7	0.1
WP_002794051.1	adh_short	3.82e-45	151.9	0.0
WP_002792651.1	adh_short	6.47e-43	144.6	0.0
WP_002790862.1	adh_short	2.30e-32	110.1	2.2
WP_223212272.1	adh_short	4.05e-29	99.6	0.1
WP_002793314.1	adh_short	5.32e-27	92.6	0.0
WP_002793164.1	adh_short	1.41e-26	91.3	0.1
WP_002793218.1	adh_short	8.02e-24	82.3	0.0
WP_002791703.1	adh_short	4.65e-19	66.7	1.6
WP_004162252.1	adh_short	1.84e-17	61.5	0.0
WP_002794590.1	adh_short	2.42e-10	38.3	0.0
WP_002793221.1	adh_short	1.11e-08	32.9	0.1
WP_002793709.1	ADH_zinc_N	5.40e-28	95.6	0.2
WP_002792866.1	ADH_zinc_N	2.37e-26	90.3	0.0
WP_002794710.1	ADH_zinc_N	1.07e-22	78.5	0.8
WP_002794591.1	ADH_zinc_N	9.31e-13	46.4	0.0
WP_002776470.1	ADH_zinc_N	4.98e-06	24.6	0.2
WP_002790973.1	Thiolase_N	4.61e-82	273.4	0.0
WP_002793218.1	Thiolase_N	3.35e-11	41.1	1.7
WP_002793459.1	Thiolase_N	7.20e-09	33.5	1.2
WP_004162175.1	Thiolase_N	4.09e-07	27.7	1.5
WP_002793202.1	Lyase_1	1.24e-100	335.0	0.0
WP_002791024.1	Lyase_1	2.85e-77	258.2	0.0
WP_002735353.1	Lyase_1	9.13e-61	204.0	0.0
WP_002734953.1	Biotin_carb_N	1.84e-46	155.2	0.6
WP_002795205.1	NUDIX	3.60e-23	80.1	0.0
WP_002793062.1	NUDIX	2.93e-21	74.0	0.0
WP_002791987.1	NUDIX	1.40e-19	68.5	0.0
WP_002790947.1	NUDIX	2.34e-17	61.3	0.0
WP_002794894.1	NUDIX	5.50e-17	60.1	0.0
WP_004162051.1	NUDIX	3.75e-13	47.7	0.0
WP_002793727.1	NUDIX	6.25e-12	43.8	0.0
WP_002794717.1	Biotin_lipoyl	3.27e-22	76.2	0.1
WP_002794485.1	Biotin_lipoyl	6.96e-18	62.4	0.5
WP_044034023.1	Biotin_lipoyl	1.43e-06	26.1	9.0
WP_002793717.1	Biotin_lipoyl	8.21e-06	23.7	0.4
WP_002769878.1	ECH_1	1.22e-73	245.6	0.0
WP_002792624.1	Nitroreductase	6.91e-35	118.8	0.0
WP_004162072.1	Nitroreductase	4.26e-31	106.5	0.1
WP_002794568.1	FAD_binding_2	5.90e-114	379.5	1.3
WP_002792417.1	FAD_binding_2	5.41e-97	323.7	0.9
WP_002793635.1	FAD_binding_2	1.99e-09	35.2	2.9
WP_002794498.1	FAD_binding_2	1.98e-08	31.9	4.5
