strain,accession,target_name,target_description,query_name,pfam_id,evalue,score,bias,domain_evalue,domain_score
NATL2A,GCF_000012465.1,WP_011294418.1,3-oxoacyl-[acyl-carrier-protein] reductase [Prochlorococcus marinus],adh_short,adh_short,1.2340671684363618e-67,224.05638122558594,4.2775115966796875,1.4380861595395155e-67,223.83956909179688
NATL2A,GCF_000012465.1,WP_041711152.1,SDR family oxidoreductase [Prochlorococcus marinus],adh_short,adh_short,3.4791221346446727e-46,154.06509399414062,0.0080108642578125,4.398849008699746e-46,153.73269653320312
NATL2A,GCF_000012465.1,WP_011293606.1,SDR family NAD(P)-dependent oxidoreductase [Prochlorococcus marinus],adh_short,adh_short,1.3544265554233062e-39,132.56114196777344,0.0005340576171875,1.5763055606847747e-39,132.34616088867188
NATL2A,GCF_000012465.1,WP_011294818.1,oxidoreductase [Prochlorococcus marinus],adh_short,adh_short,5.188406770719209e-31,104.5541000366211,0.00379180908203125,2.522882963108952e-30,102.31288146972656
NATL2A,GCF_000012465.1,WP_011822909.1,SDR family oxidoreductase [Prochlorococcus marinus],adh_short,adh_short,8.414630753273411e-26,87.55398559570312,0.017974853515625,1.1455821010185388e-25,87.11677551269531
NATL2A,GCF_000012465.1,WP_011293608.1,SDR family NAD(P)-dependent oxidoreductase [Prochlorococcus marinus],adh_short,adh_short,2.481399032051351e-22,76.23255920410156,0.0008697509765625,8.496496697861322e-20,67.96240234375
NATL2A,GCF_000012465.1,WP_011294503.1,protochlorophyllide reductase [Prochlorococcus marinus],adh_short,adh_short,3.5705122622184426e-18,62.66498947143555,0.00016021728515625,1.90681444110404e-15,53.76496505737305
NATL2A,GCF_000012465.1,WP_011294503.1,protochlorophyllide reductase [Prochlorococcus marinus],adh_short,adh_short,3.5705122622184426e-18,62.66498947143555,0.00016021728515625,0.47272087511053995,6.7967047691345215
NATL2A,GCF_000012465.1,WP_011294281.1,enoyl-ACP reductase FabI [Prochlorococcus marinus],adh_short,adh_short,2.0326865998452597e-17,60.20033264160156,0.00969696044921875,2.764251661064767e-17,59.76470184326172
NATL2A,GCF_000012465.1,WP_011293755.1,UDP-glucose 4-epimerase GalE [Prochlorococcus marinus],adh_short,adh_short,2.1763329103026782e-09,33.999752044677734,0.00110626220703125,3.4591023871781506e-09,33.343116760253906
NATL2A,GCF_000012465.1,WP_011293929.1,SDR family NAD(P)-dependent oxidoreductase [Prochlorococcus marinus],adh_short,adh_short,4.631547489508569e-09,32.92949295043945,0.001220703125,1.1729585476729563e-07,28.349720001220703
NATL2A,GCF_000012465.1,WP_011295342.1,class II fumarate hydratase [Prochlorococcus marinus],Lyase_1,Lyase_1,8.540628412414981e-100,331.0365905761719,0.115234375,1.1171753509543434e-99,330.6534729003906
NATL2A,GCF_000012465.1,WP_011293972.1,argininosuccinate lyase [Prochlorococcus marinus],Lyase_1,Lyase_1,5.881058980906896e-75,249.4474639892578,0.000152587890625,7.634810393361862e-75,249.0751495361328
NATL2A,GCF_000012465.1,WP_011295341.1,adenylosuccinate lyase [Prochlorococcus marinus],Lyase_1,Lyase_1,1.014791921048341e-55,186.2569580078125,0.0202484130859375,1.3949018047057285e-55,185.8031005859375
