strain,accession,target_name,target_description,query_name,pfam_id,evalue,score,bias,domain_evalue,domain_score
EQPAC1,GCF_000759875.1,WP_011132089.1,MULTISPECIES: 3-oxoacyl-[acyl-carrier-protein] reductase [Prochlorococcus],adh_short,adh_short,1.3076747077544001e-67,223.8524932861328,2.592559814453125,1.5896119249481736e-67,223.57582092285156
EQPAC1,GCF_000759875.1,WP_011132170.1,MULTISPECIES: SDR family oxidoreductase [Prochlorococcus],adh_short,adh_short,4.456965376151364e-47,156.85528564453125,0.0337982177734375,5.158910338919201e-47,156.6480255126953
EQPAC1,GCF_000759875.1,WP_011132266.1,MULTISPECIES: SDR family NAD(P)-dependent oxidoreductase [Prochlorococcus],adh_short,adh_short,3.49930623709533e-37,124.56831359863281,0.00547027587890625,4.918856734696717e-37,124.08577728271484
EQPAC1,GCF_000759875.1,WP_011132995.1,MULTISPECIES: oxidoreductase [Prochlorococcus],adh_short,adh_short,2.5953860845356003e-36,121.72880554199219,0.021087646484375,1.8084780939693438e-35,118.97775268554688
EQPAC1,GCF_000759875.1,WP_011132328.1,MULTISPECIES: SDR family oxidoreductase [Prochlorococcus],adh_short,adh_short,2.928412283534739e-25,85.66497802734375,0.00618743896484375,4.356875190620599e-25,85.10197448730469
EQPAC1,GCF_000759875.1,WP_011132177.1,MULTISPECIES: protochlorophyllide reductase [Prochlorococcus],adh_short,adh_short,4.153260676689261e-22,75.38086700439453,0.001434326171875,1.8575766619997336e-18,63.469181060791016
EQPAC1,GCF_000759875.1,WP_011132177.1,MULTISPECIES: protochlorophyllide reductase [Prochlorococcus],adh_short,adh_short,4.153260676689261e-22,75.38086700439453,0.001434326171875,0.053464674367355414,9.763447761535645
EQPAC1,GCF_000759875.1,WP_011131919.1,MULTISPECIES: enoyl-ACP reductase FabI [Prochlorococcus],adh_short,adh_short,3.975941877620595e-18,62.39078903198242,0.001110076904296875,5.246515590261842e-18,61.997825622558594
EQPAC1,GCF_000759875.1,WP_011132050.1,MULTISPECIES: SDR family NAD(P)-dependent oxidoreductase [Prochlorococcus],adh_short,adh_short,2.780340635423872e-17,59.63468933105469,0.00278472900390625,2.060946294369734e-16,56.79600143432617
EQPAC1,GCF_000759875.1,WP_011132268.1,MULTISPECIES: SDR family NAD(P)-dependent oxidoreductase [Prochlorococcus],adh_short,adh_short,4.985285717584969e-17,58.80722427368164,0.0142059326171875,1.736031715298733e-14,50.51316833496094
EQPAC1,GCF_000759875.1,WP_011132268.1,MULTISPECIES: SDR family NAD(P)-dependent oxidoreductase [Prochlorococcus],adh_short,adh_short,4.985285717584969e-17,58.80722427368164,0.0142059326171875,0.6252721329326061,6.278581142425537
EQPAC1,GCF_000759875.1,WP_011132113.1,MULTISPECIES: SDR family oxidoreductase [Prochlorococcus],adh_short,adh_short,1.1072195173473231e-07,28.30966567993164,0.002941131591796875,0.011947228920305036,11.886992454528809
EQPAC1,GCF_000759875.1,WP_011132113.1,MULTISPECIES: SDR family oxidoreductase [Prochlorococcus],adh_short,adh_short,1.1072195173473231e-07,28.30966567993164,0.002941131591796875,0.001978726217675727,14.434990882873535
EQPAC1,GCF_000759875.1,WP_011132843.1,MULTISPECIES: UDP-glucose 4-epimerase GalE [Prochlorococcus],adh_short,adh_short,1.959526049576208e-07,27.500717163085938,0.01309967041015625,2.898204111752962e-07,26.946083068847656
EQPAC1,GCF_000759875.1,WP_011132835.1,MULTISPECIES: NAD-dependent epimerase/dehydratase family protein [Prochlorococcus],adh_short,adh_short,1.5311282165280828e-06,24.58733367919922,0.00063323974609375,1.9140684841992946e-05,21.008024215698242
EQPAC1,GCF_000759875.1,WP_011132868.1,MULTISPECIES: zinc-binding dehydrogenase [Prochlorococcus],ADH_zinc_N,ADH_zinc_N,2.2238260805910053e-25,85.88343811035156,0.00118255615234375,3.7859777432014215e-25,85.13621520996094
EQPAC1,GCF_000759875.1,WP_011133094.1,MULTISPECIES: class II fumarate hydratase [Prochlorococcus],Lyase_1,Lyase_1,8.42298732966179e-94,311.2246398925781,0.006866455078125,1.0551232977850459e-93,310.90325927734375
EQPAC1,GCF_000759875.1,WP_011131650.1,MULTISPECIES: argininosuccinate lyase [Prochlorococcus],Lyase_1,Lyase_1,4.662228915160544e-71,236.51675415039062,0.000152587890625,6.0082737508232325e-71,236.1549072265625
EQPAC1,GCF_000759875.1,WP_011133093.1,MULTISPECIES: adenylosuccinate lyase [Prochlorococcus],Lyase_1,Lyase_1,1.0545930546623344e-51,172.94004821777344,0.0081634521484375,1.488005014655788e-51,172.4488983154297
EQPAC1,GCF_000759875.1,WP_011131698.1,MULTISPECIES: acetyl-CoA carboxylase biotin carboxylase subunit [Prochlorococcus],Biotin_carb_N,Biotin_carb_N,2.183392172129551e-48,160.14108276367188,0.2215118408203125,1.373602641061591e-47,157.5701141357422
EQPAC1,GCF_000759875.1,WP_011131923.1,MULTISPECIES: NUDIX hydrolase [Prochlorococcus],NUDIX,NUDIX,5.704355222608314e-15,52.31366729736328,0.018703460693359375,8.551255211482262e-15,51.74454879760742
EQPAC1,GCF_000759875.1,WP_011131665.1,MULTISPECIES: acetyl-CoA carboxylase biotin carboxyl carrier protein [Prochlorococcus],Biotin_lipoyl,Biotin_lipoyl,3.692488598377397e-20,68.380615234375,0.0455780029296875,5.300094668707261e-20,67.8777084350586
EQPAC1,GCF_000759875.1,WP_011132041.1,MULTISPECIES: dihydrolipoamide acetyltransferase family protein [Prochlorococcus],Biotin_lipoyl,Biotin_lipoyl,1.696365066419465e-19,66.25895690917969,0.1646270751953125,5.080692501127515e-19,64.73258209228516
EQPAC1,GCF_000759875.1,WP_011132242.1,"MULTISPECIES: 1,4-dihydroxy-2-naphthoyl-CoA synthase [Prochlorococcus]",ECH_1,ECH_1,1.3069198630546715e-67,224.54066467285156,0.0006256103515625,1.568597820583562e-67,224.281005859375
EQPAC1,GCF_000759875.1,WP_011131738.1,MULTISPECIES: L-aspartate oxidase [Prochlorococcus],FAD_binding_2,FAD_binding_2,8.351891470226499e-87,288.78338623046875,0.126495361328125,1.0088456199134132e-86,288.5131530761719
EQPAC1,GCF_000759875.1,WP_011131685.1,MULTISPECIES: glycine oxidase ThiO [Prochlorococcus],FAD_binding_2,FAD_binding_2,1.4392245366541755e-11,40.96053695678711,0.031787872314453125,0.00021924719750143217,17.30091667175293
EQPAC1,GCF_000759875.1,WP_011131685.1,MULTISPECIES: glycine oxidase ThiO [Prochlorococcus],FAD_binding_2,FAD_binding_2,1.4392245366541755e-11,40.96053695678711,0.031787872314453125,9.545963147529333e-06,21.784324645996094
EQPAC1,GCF_000759875.1,WP_011131850.1,MULTISPECIES: NAD(P)/FAD-dependent oxidoreductase [Prochlorococcus],FAD_binding_2,FAD_binding_2,5.178237072737501e-10,35.83501434326172,1.5241622924804688,4.917672710831918e-07,26.027097702026367
EQPAC1,GCF_000759875.1,WP_011133004.1,MULTISPECIES: NAD(P)/FAD-dependent oxidoreductase [Prochlorococcus],FAD_binding_2,FAD_binding_2,1.5260851633428147e-09,34.288856506347656,0.9324150085449219,2.2273298310990928e-07,27.160125732421875
EQPAC1,GCF_000759875.1,WP_011132932.1,MULTISPECIES: dihydrolipoyl dehydrogenase [Prochlorococcus],FAD_binding_2,FAD_binding_2,6.596817877910889e-09,32.194725036621094,6.852104187011719,2.7329932867774296e-06,23.573522567749023
EQPAC1,GCF_000759875.1,WP_011132932.1,MULTISPECIES: dihydrolipoyl dehydrogenase [Prochlorococcus],FAD_binding_2,FAD_binding_2,6.596817877910889e-09,32.194725036621094,6.852104187011719,0.022473733490675583,10.67768669128418
EQPAC1,GCF_000759875.1,WP_011132155.1,MULTISPECIES: NAD(P)/FAD-dependent oxidoreductase [Prochlorococcus],FAD_binding_2,FAD_binding_2,1.1647754108605677e-08,31.38142967224121,0.01480865478515625,1.658236844412102e-08,30.876127243041992
EQPAC1,GCF_000759875.1,WP_011132282.1,MULTISPECIES: GMC oxidoreductase [Prochlorococcus],FAD_binding_2,FAD_binding_2,3.6139791674621787e-07,26.46773910522461,1.2873001098632812,5.642015133149431e-07,25.830533981323242
