# target_name	query_name	e_value	score	bias
WP_006278496.1	adh_short	7.41e-70	231.8	8.0
WP_006276487.1	adh_short	3.77e-61	203.4	3.7
WP_115538516.1	adh_short	8.07e-52	173.0	0.0
WP_006276866.1	adh_short	1.21e-48	162.6	0.1
WP_057178218.1	adh_short	7.43e-43	143.7	0.0
WP_406912058.1	adh_short	1.09e-38	130.1	0.0
WP_057178094.1	adh_short	7.70e-23	78.4	0.0
WP_057178853.1	adh_short	1.31e-22	77.7	0.0
WP_057177849.1	adh_short	1.02e-13	48.7	0.9
WP_115538148.1	adh_short	1.84e-12	44.6	0.1
WP_341273475.1	adh_short	2.51e-10	37.6	0.0
WP_057176909.1	adh_short	1.26e-09	35.3	0.1
WP_406912049.1	adh_short	1.37e-08	31.9	0.0
WP_236308705.1	adh_short	5.56e-07	26.7	0.2
WP_406911917.1	adh_short	9.90e-07	25.9	0.1
WP_057177501.1	adh_short	6.86e-06	23.1	0.1
WP_006278216.1	ADH_zinc_N	3.91e-25	85.7	0.0
WP_115538553.1	ADH_zinc_N	5.30e-23	78.9	0.0
WP_115538977.1	ADH_zinc_N	2.34e-16	57.4	0.7
WP_115538927.1	ADH_zinc_N	1.20e-09	35.7	0.1
WP_057176984.1	Thiolase_N	5.26e-08	30.0	0.4
WP_096543529.1	Lyase_1	2.85e-88	293.7	0.0
WP_057178368.1	Lyase_1	1.23e-75	252.2	0.0
WP_057177333.1	Lyase_1	1.39e-59	199.5	0.0
WP_115538852.1	Biotin_carb_N	7.29e-47	155.9	0.2
WP_071985343.1	NUDIX	2.56e-23	80.0	0.0
WP_006276737.1	NUDIX	8.99e-21	71.8	0.0
WP_006278462.1	NUDIX	1.31e-20	71.2	0.3
WP_115538393.1	NUDIX	2.86e-13	47.5	0.0
WP_006278700.1	NUDIX	2.12e-12	44.6	0.0
WP_057177352.1	NUDIX	2.16e-10	38.2	0.0
WP_115539231.1	NUDIX	1.01e-09	36.0	0.0
WP_006276250.1	Biotin_lipoyl	3.25e-26	88.4	0.6
WP_057178604.1	Biotin_lipoyl	3.47e-18	62.7	0.8
WP_115538338.1	Biotin_lipoyl	7.67e-07	26.4	1.6
WP_115539006.1	Biotin_lipoyl	2.88e-06	24.5	0.3
WP_406912004.1	Biotin_lipoyl	2.90e-06	24.5	0.1
WP_006276140.1	Biotin_lipoyl	3.17e-06	24.4	0.1
WP_006278636.1	Biotin_lipoyl	5.48e-06	23.6	0.3
WP_240869028.1	Biotin_lipoyl	8.39e-06	23.0	0.5
WP_006277396.1	ECH_1	2.90e-74	247.0	0.0
WP_115538069.1	Nitroreductase	7.67e-34	114.7	0.0
WP_057176968.1	FAD_binding_2	7.04e-115	381.9	3.1
WP_406876160.1	FAD_binding_2	1.93e-91	304.7	1.4
WP_057177200.1	FAD_binding_2	1.74e-11	41.4	5.9
WP_115538451.1	FAD_binding_2	2.70e-09	34.1	0.4
WP_187705554.1	FAD_binding_2	1.05e-08	32.2	0.0
WP_006276197.1	FAD_binding_2	1.91e-08	31.3	1.3
WP_115538521.1	FAD_binding_2	6.18e-08	29.7	0.3
WP_006275633.1	FAD_binding_2	9.77e-08	29.0	0.1
WP_141303666.1	FAD_binding_2	4.58e-07	26.8	1.2
WP_406912260.1	FAD_binding_2	4.60e-07	26.8	0.1
WP_057179131.1	FAD_binding_2	1.54e-06	25.1	0.4
WP_406886020.1	FAD_binding_2	6.14e-06	23.1	1.7
WP_006276581.1	Carboxyl_trans	4.67e-24	82.3	0.0
WP_057179082.1	Carboxyl_trans	2.93e-14	50.0	0.2
WP_057178195.1	B12-binding	4.80e-23	78.8	0.0
WP_406912003.1	B12-binding	6.02e-21	72.0	0.0
WP_006276124.1	B12-binding	8.85e-13	45.6	0.0
WP_115538852.1	Biotin_carb_C	4.03e-44	146.6	0.0
WP_057177340.1	CPSase_L_D2	2.37e-112	371.0	0.2
WP_115538852.1	CPSase_L_D2	2.53e-87	289.3	0.0
WP_057178476.1	CPSase_L_D2	2.43e-08	31.2	0.1
WP_115539252.1	CPSase_L_D2	1.03e-06	25.9	0.0
WP_115539367.1	CPSase_L_D2	4.09e-06	23.9	0.3
WP_057176968.1	Succ_DH_flav_C	4.34e-44	147.1	0.0
WP_406876160.1	Succ_DH_flav_C	1.22e-16	58.3	0.0
WP_057179082.1	ACCA	1.40e-141	468.6	0.0
WP_115538553.1	ADH_N	2.07e-28	96.1	0.4
WP_006278216.1	ADH_N	7.94e-25	84.6	0.6
WP_115538927.1	ADH_N	1.31e-21	74.3	0.1
WP_115538977.1	ADH_N	4.21e-08	30.9	0.0
WP_096543529.1	FumaraseC_C	2.50e-23	79.7	1.2
WP_181407064.1	Fer2_3	3.12e-34	114.7	0.1
WP_115539144.1	Fer4_8	5.16e-13	46.8	3.0
WP_181407064.1	Fer4_8	4.18e-12	43.9	7.1
WP_006277437.1	Fer4_8	3.14e-09	34.7	9.9
WP_406885818.1	Fer4_8	1.17e-07	29.7	7.9
WP_057177031.1	Fer4_8	1.51e-07	29.3	8.3
WP_009343498.1	Fer4_8	3.77e-07	28.1	9.0
WP_071242057.1	Fer4_8	8.47e-07	26.9	8.4
WP_006277702.1	Fer4_8	3.23e-06	25.1	6.3
WP_006277437.1	Fer4_10	2.03e-12	44.3	23.1
WP_009343498.1	Fer4_10	1.24e-11	41.8	16.6
WP_115538646.1	Fer4_10	2.35e-10	37.7	5.3
WP_406885818.1	Fer4_10	4.73e-10	36.7	9.1
WP_057177031.1	Fer4_10	8.25e-10	36.0	6.8
WP_006277702.1	Fer4_10	1.40e-09	35.2	9.4
WP_071985099.1	Fer4_10	4.91e-09	33.5	15.1
WP_115539144.1	Fer4_10	2.77e-08	31.1	6.6
WP_071242057.1	Fer4_10	6.36e-08	29.9	3.9
WP_181407064.1	Fer4_10	3.64e-06	24.3	9.1
WP_141303477.1	Fer4_10	4.54e-06	24.0	5.5
WP_115538752.1	Fer4_10	6.51e-06	23.5	16.8
WP_115539144.1	Fer4_17	3.43e-10	37.8	3.4
WP_071985099.1	Fer4_17	5.86e-08	30.6	12.6
WP_181407064.1	Fer4_17	3.23e-07	28.3	7.0
WP_115539056.1	Fer4_17	4.55e-07	27.8	4.9
WP_071242057.1	Fer4_17	1.10e-06	26.6	9.0
WP_057177031.1	Fer4_17	1.95e-06	25.8	5.1
WP_057178853.1	adh_short_C2	9.55e-88	291.2	0.0
WP_006278496.1	adh_short_C2	1.68e-70	234.7	5.2
WP_006276487.1	adh_short_C2	1.31e-46	156.5	4.8
WP_057178218.1	adh_short_C2	1.52e-46	156.3	0.0
WP_115538516.1	adh_short_C2	6.26e-37	124.8	0.0
WP_406912058.1	adh_short_C2	5.94e-35	118.4	0.0
WP_006276866.1	adh_short_C2	1.65e-34	116.9	0.0
WP_057178094.1	adh_short_C2	1.43e-13	48.4	0.0
WP_057177849.1	adh_short_C2	3.18e-08	30.9	0.0
WP_341273475.1	adh_short_C2	2.39e-06	24.7	0.0
