# target_name	query_name	e_value	score	bias
WP_011294418.1	adh_short	1.23e-67	224.1	4.3
WP_041711152.1	adh_short	3.48e-46	154.1	0.0
WP_011293606.1	adh_short	1.35e-39	132.6	0.0
WP_011294818.1	adh_short	5.19e-31	104.6	0.0
WP_011822909.1	adh_short	8.41e-26	87.6	0.0
WP_011293608.1	adh_short	2.48e-22	76.2	0.0
WP_011294503.1	adh_short	3.57e-18	62.7	0.0
WP_011294281.1	adh_short	2.03e-17	60.2	0.0
WP_011293755.1	adh_short	2.18e-09	34.0	0.0
WP_011293929.1	adh_short	4.63e-09	32.9	0.0
WP_011295342.1	Lyase_1	8.54e-100	331.0	0.1
WP_011293972.1	Lyase_1	5.88e-75	249.4	0.0
WP_011295341.1	Lyase_1	1.01e-55	186.3	0.0
WP_011294055.1	Biotin_carb_N	1.26e-46	154.6	0.0
WP_011294285.1	NUDIX	2.99e-14	50.1	0.0
WP_011295549.1	NUDIX	3.10e-12	43.6	0.0
WP_011293987.1	Biotin_lipoyl	1.43e-23	79.4	0.2
WP_011294372.1	Biotin_lipoyl	2.25e-19	66.0	0.3
WP_011293578.1	ECH_1	5.98e-69	229.1	0.0
WP_011294596.1	Nitroreductase	6.88e-14	49.3	0.0
WP_011294100.1	FAD_binding_2	1.96e-88	294.3	3.0
WP_011293622.1	FAD_binding_2	3.00e-10	36.7	1.2
WP_011294952.1	FAD_binding_2	2.63e-09	33.6	4.8
WP_011294211.1	FAD_binding_2	3.95e-09	33.1	1.6
WP_011293537.1	FAD_binding_2	1.83e-08	30.9	0.0
WP_011294012.1	FAD_binding_2	3.84e-08	29.8	0.4
WP_011293664.1	FAD_binding_2	5.35e-08	29.3	0.2
WP_011294587.1	FAD_binding_2	6.43e-08	29.1	1.7
WP_011294725.1	FAD_binding_2	7.26e-08	28.9	1.2
WP_011294117.1	FAD_binding_2	2.15e-06	24.0	0.0
WP_011294484.1	FAD_binding_2	2.73e-06	23.7	0.4
WP_011294846.1	FAD_binding_2	3.08e-06	23.5	0.1
WP_011295481.1	FAD_binding_2	4.89e-06	22.9	3.1
WP_011295618.1	FAD_binding_2	6.16e-06	22.5	2.7
WP_011293725.1	Carboxyl_trans	2.03e-19	66.4	0.0
WP_011294497.1	Carboxyl_trans	7.34e-13	44.8	0.6
WP_011295255.1	MaoC_dehydratas	4.23e-06	23.3	0.0
WP_011293867.1	B12-binding	7.36e-21	71.2	0.2
WP_011294055.1	Biotin_carb_C	1.53e-44	147.4	0.0
WP_011293760.1	CPSase_L_D2	4.09e-108	356.6	0.0
WP_011294055.1	CPSase_L_D2	7.56e-83	274.1	0.0
WP_011294601.1	CPSase_L_D2	2.66e-11	40.3	0.0
WP_011294960.1	CPSase_L_D2	4.89e-09	32.9	0.5
WP_011293651.1	CPSase_L_D2	2.56e-08	30.6	0.0
WP_011295259.1	CPSase_L_D2	1.05e-06	25.3	0.0
WP_011294100.1	Succ_DH_flav_C	1.02e-09	35.4	0.1
WP_011294497.1	ACCA	1.96e-139	461.0	0.0
WP_011295342.1	FumaraseC_C	2.29e-21	72.9	0.1
WP_011294860.1	Fer2_3	1.37e-07	28.5	0.1
WP_011294159.1	Fer4_8	9.05e-08	29.5	9.2
WP_011294159.1	Fer4_10	1.34e-11	41.2	16.8
WP_011295528.1	Fer4_10	1.82e-09	34.3	14.2
WP_011293967.1	Fer4_10	7.92e-07	25.9	4.6
WP_011295528.1	Fer4_17	2.21e-07	28.3	13.0
WP_011294281.1	adh_short_C2	7.69e-82	271.3	0.0
WP_011294418.1	adh_short_C2	3.16e-67	223.5	1.6
WP_041711152.1	adh_short_C2	1.56e-34	116.5	0.0
WP_011293606.1	adh_short_C2	1.90e-31	106.4	0.0
WP_011822909.1	adh_short_C2	1.11e-19	67.8	0.0
WP_011294818.1	adh_short_C2	1.55e-15	54.3	0.0
WP_011293608.1	adh_short_C2	8.61e-08	28.9	0.0
WP_011294503.1	adh_short_C2	1.31e-06	25.1	0.0
