# target_name	query_name	e_value	score	bias
WP_002766731.1	adh_short	8.53e-72	238.6	5.9
WP_185241456.1	adh_short	1.92e-57	191.7	1.5
WP_271956283.1	adh_short	3.34e-55	184.4	0.1
WP_271955935.1	adh_short	4.38e-53	177.5	0.0
WP_193958112.1	adh_short	1.97e-50	168.8	0.4
WP_002751543.1	adh_short	2.84e-49	165.1	2.7
WP_190380961.1	adh_short	3.42e-46	155.0	0.1
WP_271953323.1	adh_short	5.17e-44	147.9	0.0
WP_271954701.1	adh_short	3.25e-38	129.0	5.5
WP_002760333.1	adh_short	1.49e-26	90.9	0.1
WP_271955920.1	adh_short	1.50e-17	61.6	0.0
WP_271953998.1	adh_short	2.59e-17	60.8	0.0
WP_271953144.1	adh_short	9.98e-11	39.3	0.0
WP_271954061.1	ADH_zinc_N	4.86e-28	95.5	0.2
WP_271953955.1	ADH_zinc_N	1.83e-26	90.4	0.0
WP_271954756.1	ADH_zinc_N	2.97e-26	89.7	0.1
WP_271953757.1	ADH_zinc_N	2.12e-23	80.5	0.9
WP_271953145.1	ADH_zinc_N	7.24e-12	43.2	0.0
WP_271956610.1	Thiolase_N	3.72e-80	266.9	0.0
WP_271953522.1	Thiolase_N	1.14e-09	35.8	0.6
WP_271953997.1	Thiolase_N	4.87e-08	30.5	0.1
WP_271953998.1	Thiolase_N	5.05e-06	23.9	0.0
WP_271953394.1	Lyase_1	1.50e-100	334.5	0.0
WP_110545781.1	Lyase_1	6.48e-78	260.1	0.0
WP_271953033.1	Lyase_1	1.87e-61	206.0	0.0
WP_271953312.1	Lyase_1	5.02e-39	132.4	0.2
WP_193958235.1	Biotin_carb_N	1.33e-46	155.4	0.6
WP_271955085.1	NUDIX	2.24e-23	80.6	0.0
WP_190357513.1	NUDIX	1.95e-21	74.3	0.0
WP_271953992.1	NUDIX	7.38e-20	69.2	0.1
WP_150976381.1	NUDIX	1.88e-17	61.4	0.0
WP_271954235.1	NUDIX	3.79e-17	60.4	0.0
WP_271955543.1	NUDIX	3.55e-14	50.8	0.0
WP_271953548.1	NUDIX	4.94e-12	43.8	0.0
WP_271956247.1	Biotin_lipoyl	1.48e-22	77.1	0.1
WP_271953988.1	Biotin_lipoyl	5.83e-18	62.4	0.5
WP_193955712.1	Biotin_lipoyl	5.65e-07	27.2	0.0
WP_271956013.1	Biotin_lipoyl	7.92e-07	26.7	0.5
WP_271956421.1	Biotin_lipoyl	7.28e-06	23.6	2.3
WP_271954086.1	Biotin_lipoyl	7.47e-06	23.6	0.9
WP_002732420.1	ECH_1	6.51e-74	246.2	0.0
WP_271956194.1	Nitroreductase	2.89e-35	119.8	0.0
WP_271953165.1	Nitroreductase	3.41e-31	106.5	0.1
WP_002741314.1	Nitroreductase	5.86e-28	96.0	0.1
WP_271956280.1	Nitroreductase	7.93e-20	69.5	1.0
WP_193957729.1	FAD_binding_2	1.52e-114	381.2	1.0
WP_271954051.1	FAD_binding_2	2.11e-95	318.2	0.8
