# target_name	query_name	e_value	score	bias
WP_006669692.1	adh_short	1.11e-68	228.8	7.0
WP_006668008.1	adh_short	6.02e-58	193.8	0.4
WP_006669154.1	adh_short	1.00e-55	186.5	0.1
WP_006624548.1	adh_short	2.73e-55	185.1	0.1
WP_006623602.1	adh_short	6.82e-49	164.2	8.7
WP_006625262.1	adh_short	1.50e-48	163.1	0.0
WP_006624219.1	adh_short	3.38e-47	158.7	0.0
WP_006621817.1	adh_short	1.68e-44	149.9	0.1
WP_006622451.1	adh_short	4.13e-41	138.8	0.0
WP_006621878.1	adh_short	2.96e-40	136.0	0.1
WP_006668007.1	adh_short	1.65e-38	130.3	3.9
WP_006624221.1	adh_short	5.39e-34	115.6	0.1
WP_006620510.1	adh_short	1.57e-32	110.8	0.0
WP_006622345.1	adh_short	8.77e-26	88.8	0.0
WP_006669460.1	adh_short	2.94e-24	83.8	0.0
WP_006625425.1	adh_short	1.67e-22	78.1	0.0
WP_006670396.1	adh_short	1.24e-21	75.3	0.0
WP_006669433.1	adh_short	2.81e-09	35.0	0.0
WP_006624959.1	adh_short	6.45e-08	30.5	0.0
WP_006623969.1	adh_short	5.96e-06	24.1	0.3
WP_006624459.1	adh_short	6.99e-06	23.9	0.3
WP_006623623.1	ADH_zinc_N	1.81e-24	84.4	0.1
WP_006668698.1	ADH_zinc_N	4.57e-24	83.1	0.3
WP_006620512.1	ADH_zinc_N	8.49e-09	33.7	0.0
WP_006620924.1	ADH_zinc_N	4.87e-07	28.0	1.3
WP_006623601.1	Thiolase_N	1.43e-84	281.7	0.0
WP_008050938.1	Lyase_1	4.35e-116	385.9	0.0
WP_006625419.1	Lyase_1	8.76e-75	250.2	0.0
WP_006620952.1	Lyase_1	3.57e-62	208.8	0.0
WP_006622492.1	NUDIX	2.14e-23	81.0	0.0
WP_006625140.1	NUDIX	3.78e-23	80.2	0.0
WP_006622656.1	NUDIX	7.32e-20	69.6	0.0
WP_006624006.1	NUDIX	4.72e-19	67.0	1.2
WP_006622169.1	NUDIX	1.90e-16	58.5	0.0
WP_006620703.1	NUDIX	2.69e-15	54.8	0.0
WP_006625733.1	NUDIX	4.06e-14	51.0	0.0
WP_006625262.1	NUDIX	1.03e-13	49.7	0.0
WP_006622423.1	NUDIX	1.69e-12	45.7	0.0
WP_006624978.1	Biotin_lipoyl	5.82e-25	85.2	0.1
WP_006624421.1	Biotin_lipoyl	6.11e-17	59.5	0.3
WP_006626175.1	Biotin_lipoyl	4.20e-08	31.2	0.1
WP_006621700.1	Biotin_lipoyl	2.69e-07	28.6	8.0
WP_006625102.1	ECH_1	3.61e-74	247.5	0.0
WP_006623516.1	Nitroreductase	1.95e-31	107.7	0.0
WP_311737640.1	Nitroreductase	3.68e-15	54.7	0.0
WP_006622815.1	FAD_binding_2	3.43e-94	314.6	0.6
WP_006620615.1	FAD_binding_2	2.74e-09	34.9	4.4
WP_006620862.1	FAD_binding_2	1.73e-08	32.3	1.1
WP_006624352.1	FAD_binding_2	3.93e-08	31.1	0.2
WP_006621540.1	FAD_binding_2	3.94e-08	31.1	9.9
