# target_name	query_name	e_value	score	bias
WP_127056631.1	adh_short	2.43e-69	230.9	9.0
WP_127056178.1	adh_short	1.68e-62	208.6	4.8
WP_127052794.1	adh_short	6.60e-59	196.9	3.7
WP_016953716.1	adh_short	1.13e-57	192.9	7.2
WP_127056832.1	adh_short	1.70e-53	179.2	0.3
WP_127054501.1	adh_short	3.05e-52	175.1	0.1
WP_127056694.1	adh_short	2.05e-50	169.2	0.0
WP_127056612.1	adh_short	7.56e-50	167.3	0.4
WP_127052595.1	adh_short	4.71e-43	145.2	0.1
WP_127051903.1	adh_short	5.78e-42	141.6	0.0
WP_127054955.1	adh_short	1.12e-41	140.7	0.0
WP_127052131.1	adh_short	1.22e-41	140.5	0.0
WP_127054197.1	adh_short	2.04e-41	139.8	0.1
WP_127056719.1	adh_short	9.05e-38	127.9	0.0
WP_127053381.1	adh_short	1.84e-24	84.5	0.0
WP_127052097.1	adh_short	2.31e-20	71.1	0.0
WP_127052560.1	adh_short	1.20e-14	52.5	0.3
WP_127054188.1	adh_short	3.15e-13	47.8	0.8
WP_127055871.1	adh_short	2.93e-09	34.9	0.4
WP_127052819.1	adh_short	7.08e-08	30.4	0.0
WP_127054562.1	ADH_zinc_N	4.74e-29	99.2	0.1
WP_127053396.1	ADH_zinc_N	1.18e-24	85.0	0.1
WP_127053739.1	ADH_zinc_N	1.94e-23	81.0	0.0
WP_127052676.1	ADH_zinc_N	1.98e-23	81.0	0.0
WP_127053550.1	ADH_zinc_N	3.90e-21	73.6	0.1
WP_127053898.1	ADH_zinc_N	1.94e-13	48.7	0.0
WP_127053072.1	ADH_zinc_N	4.08e-11	41.2	0.1
WP_199321054.1	Thiolase_N	1.11e-06	26.4	0.2
WP_127051863.1	Lyase_1	1.14e-90	302.4	0.0
WP_127053446.1	Lyase_1	5.40e-77	257.5	0.0
WP_127056336.1	Lyase_1	2.68e-62	209.2	0.0
WP_071191726.1	Biotin_carb_N	2.09e-46	155.2	0.3
WP_127053462.1	NUDIX	3.12e-22	77.2	0.1
WP_127053445.1	NUDIX	3.16e-22	77.2	0.0
WP_127053471.1	NUDIX	7.03e-21	72.9	0.2
WP_127054431.1	NUDIX	2.40e-20	71.1	0.5
WP_127056056.1	NUDIX	1.19e-14	52.7	0.0
WP_127054755.1	NUDIX	1.21e-14	52.7	0.0
WP_127056128.1	NUDIX	7.19e-11	40.5	0.0
WP_127056213.1	Biotin_lipoyl	3.52e-26	89.1	0.5
WP_127054892.1	Biotin_lipoyl	2.93e-17	60.5	0.9
WP_127055200.1	Biotin_lipoyl	2.77e-08	31.7	4.1
WP_127053229.1	Biotin_lipoyl	1.57e-07	29.3	0.1
WP_127055320.1	Biotin_lipoyl	3.49e-07	28.2	0.6
WP_127055479.1	Biotin_lipoyl	4.53e-07	27.9	0.1
WP_127056905.1	Biotin_lipoyl	1.21e-06	26.5	2.5
WP_127056673.1	Biotin_lipoyl	4.35e-06	24.7	0.2
WP_127055990.1	Biotin_lipoyl	4.43e-06	24.7	5.2
WP_127056822.1	Biotin_lipoyl	4.87e-06	24.5	0.4
WP_127053613.1	ECH_1	4.72e-76	253.6	0.0
WP_127054258.1	Nitroreductase	7.82e-35	118.7	0.0
WP_127056532.1	Nitroreductase	1.77e-33	114.3	0.1
WP_127055700.1	Nitroreductase	4.26e-23	80.6	0.0
WP_127056843.1	Nitroreductase	3.43e-22	77.6	2.0
WP_127056361.1	Nitroreductase	1.63e-15	55.9	0.0
WP_127053961.1	Nitroreductase	2.62e-12	45.5	0.0
WP_127051706.1	FAD_binding_2	1.03e-115	385.5	3.8
WP_127053056.1	FAD_binding_2	1.37e-95	319.2	3.3
WP_127056831.1	FAD_binding_2	3.92e-26	90.4	5.6
WP_127052028.1	FAD_binding_2	1.15e-09	36.1	2.2
WP_127054355.1	FAD_binding_2	2.17e-09	35.2	5.6
WP_127052071.1	FAD_binding_2	1.53e-07	29.1	0.3
WP_127053414.1	FAD_binding_2	2.16e-07	28.7	5.1
WP_277871964.1	FAD_binding_2	2.50e-07	28.4	0.9
WP_127052763.1	FAD_binding_2	3.24e-07	28.1	1.1
WP_127056945.1	FAD_binding_2	3.43e-07	28.0	4.0
WP_127051816.1	FAD_binding_2	4.82e-07	27.5	0.0
WP_127055998.1	FAD_binding_2	5.49e-07	27.3	0.0
WP_127054011.1	FAD_binding_2	1.20e-06	26.2	2.9
WP_127052862.1	FAD_binding_2	1.35e-06	26.0	1.7
WP_127054181.1	FAD_binding_2	1.41e-06	26.0	0.3
WP_127054342.1	Carboxyl_trans	7.79e-23	79.0	0.0
WP_127052699.1	Carboxyl_trans	1.91e-13	48.1	0.2
WP_127056099.1	B12-binding	2.93e-21	73.8	0.0
WP_127056935.1	B12-binding	3.26e-13	47.8	0.0
WP_127054668.1	B12-binding	6.93e-13	46.7	0.0
WP_127053439.1	B12-binding	1.32e-10	39.4	0.0
WP_071191726.1	Biotin_carb_C	2.31e-42	141.7	0.0
WP_127053468.1	CPSase_L_D2	9.25e-113	373.1	0.2
WP_071191726.1	CPSase_L_D2	2.48e-87	290.1	0.1
WP_127054353.1	CPSase_L_D2	2.54e-10	38.4	0.0
WP_127055389.1	CPSase_L_D2	3.17e-10	38.1	0.3
WP_127056918.1	CPSase_L_D2	2.48e-06	25.4	0.5
WP_127051706.1	Succ_DH_flav_C	3.26e-47	157.9	0.0
WP_127053056.1	Succ_DH_flav_C	2.20e-17	61.4	0.0
WP_127056831.1	Succ_DH_flav_C	4.26e-14	50.8	0.2
WP_309296883.1	Succ_DH_flav_C	3.98e-10	38.0	0.0
WP_127052699.1	ACCA	1.11e-138	459.8	0.0
WP_127052676.1	ADH_N	5.53e-28	95.5	0.5
WP_127053396.1	ADH_N	1.17e-24	84.8	0.1
WP_127054562.1	ADH_N	2.84e-24	83.6	0.5
WP_127053072.1	ADH_N	1.24e-21	75.1	0.1
WP_127053898.1	ADH_N	9.25e-20	69.1	0.1
WP_127053550.1	ADH_N	5.27e-19	66.7	0.1
