# target_name	query_name	e_value	score	bias
WP_042154758.1	adh_short	5.33e-68	226.3	6.9
WP_227365981.1	adh_short	2.45e-60	201.3	0.1
WP_042151105.1	adh_short	8.35e-59	196.3	0.4
WP_227365854.1	adh_short	4.14e-56	187.5	7.0
WP_227365259.1	adh_short	7.99e-56	186.6	0.2
WP_227351202.1	adh_short	5.20e-51	170.9	0.0
WP_042151882.1	adh_short	9.21e-51	170.1	0.4
WP_026797478.1	adh_short	5.94e-50	167.4	0.0
WP_254032035.1	adh_short	1.22e-45	153.3	0.0
WP_254032509.1	adh_short	1.56e-29	100.8	0.0
WP_042153785.1	adh_short	2.45e-25	87.1	0.0
WP_026787734.1	adh_short	1.42e-21	74.8	0.0
WP_254032046.1	adh_short	2.07e-17	61.2	2.0
WP_254032037.1	adh_short	1.89e-15	54.8	0.3
WP_235753135.1	adh_short	1.40e-09	35.7	0.0
WP_235759159.1	adh_short	1.12e-07	29.5	0.1
WP_052338799.1	adh_short	1.18e-07	29.4	0.4
WP_227373471.1	adh_short	1.21e-06	26.1	0.1
WP_227381598.1	ADH_zinc_N	1.10e-27	94.5	0.0
WP_081846352.1	ADH_zinc_N	7.29e-21	72.5	0.1
WP_227351037.1	ADH_zinc_N	3.97e-13	47.4	0.2
WP_042152954.1	Thiolase_N	3.71e-06	24.5	1.0
WP_052338799.1	Thiolase_N	8.75e-06	23.2	0.1
WP_254030284.1	Lyase_1	2.58e-117	389.7	0.0
WP_042156541.1	Lyase_1	6.06e-76	253.8	0.0
WP_042155761.1	Lyase_1	1.91e-62	209.4	0.0
WP_042154621.1	Biotin_carb_N	2.91e-47	157.7	0.7
WP_042154381.1	NUDIX	6.57e-24	82.4	0.0
WP_026798273.1	NUDIX	1.40e-22	78.1	0.0
WP_026796352.1	NUDIX	7.61e-21	72.5	0.1
WP_042154245.1	NUDIX	9.79e-21	72.2	0.2
WP_042154922.1	NUDIX	1.83e-15	55.1	0.0
WP_052369682.1	NUDIX	4.04e-15	54.0	0.2
WP_042155359.1	NUDIX	2.31e-14	51.5	0.0
WP_042153134.1	Biotin_lipoyl	4.07e-25	85.4	0.1
WP_042153607.1	Biotin_lipoyl	3.36e-17	60.1	0.2
WP_144390493.1	Biotin_lipoyl	1.77e-08	32.1	4.2
WP_227351143.1	Biotin_lipoyl	3.02e-07	28.2	0.6
WP_042156197.1	Biotin_lipoyl	9.59e-06	23.4	0.2
WP_026787975.1	ECH_1	8.73e-75	249.2	0.0
WP_254032418.1	Nitroreductase	2.06e-29	100.9	0.0
WP_227381252.1	FAD_binding_2	7.15e-119	395.6	2.2
WP_227366139.1	FAD_binding_2	9.15e-98	326.1	1.4
WP_227350259.1	FAD_binding_2	1.47e-10	38.8	0.4
WP_254032091.1	FAD_binding_2	1.53e-10	38.8	0.1
WP_267879839.1	FAD_binding_2	1.80e-09	35.2	0.8
WP_227397564.1	FAD_binding_2	1.34e-08	32.4	0.1
WP_227366104.1	FAD_binding_2	9.58e-08	29.6	1.9
WP_026786441.1	FAD_binding_2	1.33e-07	29.1	3.6
WP_227350834.1	FAD_binding_2	2.27e-07	28.3	0.4
WP_227397901.1	FAD_binding_2	2.33e-07	28.3	4.5
WP_042154589.1	FAD_binding_2	2.86e-07	28.0	1.6
WP_227350450.1	FAD_binding_2	4.94e-07	27.2	0.3
WP_043938811.1	FAD_binding_2	1.68e-06	25.5	0.0
WP_227350295.1	FAD_binding_2	2.69e-06	24.8	0.7
WP_042156209.1	FAD_binding_2	3.33e-06	24.5	0.2
WP_227397502.1	FAD_binding_2	3.54e-06	24.4	1.2
WP_254032065.1	FAD_binding_2	3.90e-06	24.3	0.3
WP_227351525.1	FAD_binding_2	4.91e-06	23.9	0.5
WP_227365841.1	FAD_binding_2	7.77e-06	23.3	0.1
WP_026786342.1	Carboxyl_trans	1.21e-22	78.2	0.0
WP_042151111.1	Carboxyl_trans	2.23e-15	54.2	0.1
WP_227365428.1	B12-binding	9.50e-20	68.6	0.0
WP_227350743.1	B12-binding	5.24e-15	53.3	0.0
WP_227365553.1	B12-binding	2.34e-11	41.5	0.0
WP_254032141.1	B12-binding	3.42e-10	37.8	0.0
WP_042154621.1	Biotin_carb_C	1.21e-42	142.4	0.0
WP_254032379.1	CPSase_L_D2	3.36e-117	387.4	1.1
WP_042154621.1	CPSase_L_D2	1.06e-86	287.7	0.0
WP_042157100.1	CPSase_L_D2	2.57e-07	28.4	0.1
WP_227381252.1	Succ_DH_flav_C	3.56e-47	157.6	0.0
WP_227366139.1	Succ_DH_flav_C	4.75e-15	53.7	0.0
WP_042151111.1	ACCA	4.44e-141	467.4	0.0
WP_264477070.1	HpcH_HpaI	6.47e-06	23.6	0.4
WP_227381598.1	ADH_N	5.99e-22	75.9	0.2
WP_227351037.1	ADH_N	1.28e-20	71.6	0.3
WP_081846352.1	ADH_N	1.12e-18	65.4	0.2
WP_254030284.1	FumaraseC_C	2.17e-23	80.5	0.9
WP_027249621.1	Fer2_3	3.44e-33	111.8	0.0
WP_042151234.1	Fer4_8	1.19e-13	49.4	3.4
WP_027249621.1	Fer4_8	1.54e-12	45.8	7.0
WP_254032465.1	Fer4_8	3.08e-09	35.3	5.1
WP_042155045.1	Fer4_8	1.25e-07	30.1	7.9
WP_026785466.1	Fer4_8	5.27e-07	28.1	8.9
WP_026786370.1	Fer4_8	2.30e-06	26.0	5.9
WP_254032465.1	Fer4_10	3.84e-11	40.7	7.1
WP_042155045.1	Fer4_10	1.39e-10	39.0	23.3
WP_026785466.1	Fer4_10	1.83e-10	38.6	7.4
WP_026788929.1	Fer4_10	1.18e-09	36.0	5.7
WP_042151234.1	Fer4_10	3.39e-09	34.5	3.4
WP_026785716.1	Fer4_10	3.89e-09	34.3	15.1
WP_026786370.1	Fer4_10	4.45e-08	30.9	11.1
WP_027249621.1	Fer4_10	9.62e-06	23.5	10.0
WP_042151234.1	Fer4_17	1.17e-09	36.6	3.6
WP_026785716.1	Fer4_17	2.83e-07	29.0	13.1
WP_027249621.1	Fer4_17	3.44e-07	28.7	6.1
WP_027248931.1	Fer4_17	3.06e-06	25.7	7.8
WP_254032465.1	Fer4_17	9.85e-06	24.0	7.5
WP_042153785.1	adh_short_C2	6.03e-88	292.4	0.0
WP_042154758.1	adh_short_C2	1.03e-68	229.4	4.9
WP_227365854.1	adh_short_C2	4.20e-65	217.6	4.7
WP_254032035.1	adh_short_C2	2.00e-49	166.3	0.0
WP_042151105.1	adh_short_C2	2.21e-45	153.0	0.2
WP_227365981.1	adh_short_C2	1.38e-41	140.6	0.0
WP_042151882.1	adh_short_C2	8.98e-36	121.6	0.2
WP_227365259.1	adh_short_C2	1.04e-34	118.1	0.2
WP_227351202.1	adh_short_C2	5.51e-32	109.2	0.0
WP_026797478.1	adh_short_C2	1.46e-31	107.8	0.0
WP_254032046.1	adh_short_C2	2.76e-23	80.7	0.7
WP_254032509.1	adh_short_C2	1.28e-16	58.9	0.0
WP_026787734.1	adh_short_C2	5.57e-13	47.0	0.0
WP_254032037.1	adh_short_C2	2.36e-11	41.7	0.0
WP_052338799.1	adh_short_C2	4.50e-10	37.5	0.1
WP_042151885.1	Glyoxalase_4	1.47e-19	68.3	0.0
WP_026788770.1	Glyoxalase_4	1.11e-10	39.7	0.0
WP_026793936.1	Glyoxalase_4	2.26e-07	29.1	0.0
WP_254032462.1	Glyoxalase_4	5.79e-06	24.6	0.0
