# target_name	query_name	e_value	score	bias
WP_006278496.1	adh_short	8.40e-70	231.8	8.0
WP_057179081.1	adh_short	4.33e-61	203.4	3.7
WP_057178177.1	adh_short	8.14e-52	173.2	0.0
WP_006276866.1	adh_short	1.37e-48	162.6	0.1
WP_057178218.1	adh_short	8.42e-43	143.7	0.0
WP_187707210.1	adh_short	1.81e-38	129.6	0.0
WP_057178094.1	adh_short	8.73e-23	78.4	0.0
WP_057178853.1	adh_short	1.49e-22	77.7	0.0
WP_057178787.1	adh_short	2.74e-16	57.2	0.0
WP_057178786.1	adh_short	1.38e-14	51.7	0.0
WP_057177849.1	adh_short	1.16e-13	48.7	0.9
WP_330936203.1	adh_short	1.45e-12	45.1	0.0
WP_435183527.1	adh_short	5.14e-12	43.3	0.1
WP_435184596.1	adh_short	2.13e-11	41.3	0.1
WP_341273475.1	adh_short	2.85e-10	37.6	0.0
WP_057176909.1	adh_short	1.43e-09	35.3	0.1
WP_435184010.1	adh_short	3.35e-08	30.8	0.0
WP_211942432.1	adh_short	6.26e-07	26.7	0.2
WP_330936442.1	adh_short	1.12e-06	25.9	0.1
WP_057177501.1	adh_short	7.78e-06	23.1	0.1
WP_435183975.1	ADH_zinc_N	6.67e-27	91.6	0.0
WP_006278216.1	ADH_zinc_N	4.44e-25	85.7	0.0
WP_057178759.1	ADH_zinc_N	6.93e-24	81.9	0.0
WP_435183788.1	ADH_zinc_N	2.65e-16	57.4	0.7
WP_057176883.1	ADH_zinc_N	1.36e-09	35.7	0.1
WP_057176984.1	Thiolase_N	5.97e-08	30.0	0.4
WP_330936203.1	Thiolase_N	6.66e-08	29.8	0.1
WP_096543529.1	Lyase_1	3.23e-88	293.7	0.0
WP_057178368.1	Lyase_1	1.39e-75	252.2	0.0
WP_057177333.1	Lyase_1	1.57e-59	199.5	0.0
WP_006275705.1	Biotin_carb_N	9.31e-47	155.7	0.2
WP_177169499.1	NUDIX	2.24e-23	80.4	0.0
WP_006278462.1	NUDIX	1.49e-20	71.2	0.3
WP_435182955.1	NUDIX	3.85e-20	69.9	0.0
WP_057178868.1	NUDIX	3.24e-13	47.5	0.0
WP_006278700.1	NUDIX	2.41e-12	44.6	0.0
WP_057177352.1	NUDIX	2.44e-10	38.2	0.0
WP_057176863.1	NUDIX	8.05e-10	36.5	0.0
WP_006276250.1	Biotin_lipoyl	3.69e-26	88.4	0.6
WP_057178604.1	Biotin_lipoyl	3.94e-18	62.7	0.8
WP_435183094.1	Biotin_lipoyl	8.58e-08	29.6	1.3
WP_141303784.1	Biotin_lipoyl	3.03e-06	24.6	0.3
WP_006276140.1	Biotin_lipoyl	3.59e-06	24.4	0.1
WP_057178466.1	Biotin_lipoyl	5.06e-06	23.9	2.3
WP_006278636.1	Biotin_lipoyl	6.21e-06	23.6	0.3
WP_057176869.1	Biotin_lipoyl	9.29e-06	23.1	0.5
