# target_name	query_name	e_value	score	bias
WP_002775997.1	adh_short	2.21e-71	237.5	6.2
WP_002751234.1	adh_short	1.89e-56	188.7	0.0
WP_002751380.1	adh_short	2.84e-54	181.6	0.1
WP_002751237.1	adh_short	3.76e-53	178.0	0.0
WP_002777481.1	adh_short	5.56e-53	177.4	0.0
WP_002753728.1	adh_short	1.21e-52	176.3	8.0
WP_108935565.1	adh_short	1.69e-49	166.1	3.0
WP_002751257.1	adh_short	3.68e-49	164.9	0.3
WP_149106477.1	adh_short	4.05e-46	155.0	0.1
WP_002753721.1	adh_short	1.09e-45	153.6	0.0
WP_002755610.1	adh_short	3.56e-43	145.4	0.0
WP_002753509.1	adh_short	1.70e-39	133.4	0.0
WP_002751200.1	adh_short	5.18e-27	92.7	0.0
WP_002740281.1	adh_short	1.85e-26	90.9	0.1
WP_149107458.1	adh_short	1.74e-18	64.9	2.1
WP_262382376.1	adh_short	2.07e-17	61.4	0.0
WP_002734294.1	adh_short	2.68e-17	61.0	0.0
WP_262382307.1	adh_short	2.50e-14	51.3	0.2
WP_316246718.1	adh_short	3.28e-13	47.6	0.0
WP_016514260.1	adh_short	5.21e-11	40.5	0.0
WP_002753487.1	adh_short	1.37e-10	39.1	0.0
WP_149107667.1	ADH_zinc_N	5.37e-28	95.6	0.2
WP_149107105.1	ADH_zinc_N	2.32e-26	90.3	0.0
WP_149107182.1	ADH_zinc_N	3.19e-26	89.9	1.1
WP_149107144.1	ADH_zinc_N	6.51e-23	79.2	0.6
WP_002774582.1	ADH_zinc_N	5.24e-13	47.2	0.0
WP_002750051.1	ADH_zinc_N	4.98e-06	24.6	0.2
WP_149107474.1	Thiolase_N	5.87e-81	269.7	0.0
WP_149107684.1	Thiolase_N	1.23e-09	36.0	0.7
WP_149107225.1	Thiolase_N	9.45e-08	29.8	0.1
WP_262382377.1	Thiolase_N	5.51e-07	27.3	0.0
WP_149108025.1	Lyase_1	9.25e-101	335.4	0.0
WP_002751467.1	Lyase_1	5.53e-78	260.6	0.0
WP_149107196.1	Lyase_1	6.60e-61	204.5	0.0
WP_002777402.1	Biotin_carb_N	1.42e-46	155.6	0.6
WP_187602844.1	NUDIX	3.07e-23	80.4	0.0
WP_002753251.1	NUDIX	1.14e-20	72.0	0.0
WP_002743961.1	NUDIX	1.00e-19	69.0	0.1
WP_149106593.1	NUDIX	1.79e-17	61.7	0.0
WP_024968592.1	NUDIX	1.51e-16	58.7	0.0
WP_149106712.1	NUDIX	6.63e-13	46.9	0.0
WP_002750150.1	NUDIX	1.90e-11	42.2	0.0
WP_002750881.1	Biotin_lipoyl	1.95e-22	77.0	0.1
WP_004158856.1	Biotin_lipoyl	6.86e-18	62.4	0.5
WP_004158571.1	Biotin_lipoyl	3.18e-07	28.2	0.0
WP_149107073.1	Biotin_lipoyl	4.06e-06	24.7	8.7
WP_149106382.1	Biotin_lipoyl	4.25e-06	24.6	0.5
WP_149107671.1	Biotin_lipoyl	9.05e-06	23.5	1.0
WP_016514989.1	ECH_1	7.74e-74	246.2	0.0
WP_149107585.1	Nitroreductase	3.69e-35	119.7	0.0
WP_002751866.1	Nitroreductase	5.84e-31	106.0	0.1
WP_002741314.1	Nitroreductase	6.98e-28	96.0	0.1
WP_002750834.1	Nitroreductase	3.31e-19	67.8	1.1
WP_149106936.1	Nitroreductase	8.29e-13	46.9	0.0
WP_149107929.1	FAD_binding_2	1.08e-113	378.7	1.1
WP_002754371.1	FAD_binding_2	1.82e-96	321.9	1.2
WP_149107158.1	FAD_binding_2	3.56e-09	34.4	3.0
WP_149107378.1	FAD_binding_2	2.14e-08	31.8	4.3
WP_002744419.1	FAD_binding_2	2.06e-07	28.6	4.7
WP_002755392.1	FAD_binding_2	2.34e-07	28.4	0.7
WP_002755883.1	FAD_binding_2	7.80e-07	26.7	0.7
WP_149106624.1	FAD_binding_2	2.22e-06	25.2	0.6
WP_004158526.1	FAD_binding_2	4.54e-06	24.2	0.0
WP_149108136.1	FAD_binding_2	5.72e-06	23.8	1.1
WP_149107427.1	Carboxyl_trans	1.49e-23	81.3	0.0
WP_002737858.1	Carboxyl_trans	1.56e-15	54.8	0.0
WP_149107970.1	B12-binding	1.65e-19	68.0	0.0
WP_149106502.1	B12-binding	8.41e-15	52.8	0.6
WP_002752249.1	B12-binding	1.11e-11	42.7	0.0
WP_016516779.1	B12-binding	2.48e-11	41.6	0.0
WP_149106854.1	B12-binding	7.54e-10	36.8	0.1
WP_002777402.1	Biotin_carb_C	3.86e-44	147.3	0.0
