# target_name	query_name	e_value	score	bias
WP_006278496.1	adh_short	7.34e-70	231.8	8.0
WP_006276487.1	adh_short	3.73e-61	203.4	3.7
WP_115538516.1	adh_short	7.99e-52	173.0	0.0
WP_006276866.1	adh_short	1.19e-48	162.6	0.1
WP_115539322.1	adh_short	6.38e-47	157.0	0.0
WP_057178218.1	adh_short	7.36e-43	143.7	0.0
WP_406885837.1	adh_short	1.09e-41	139.9	0.0
WP_057178094.1	adh_short	7.63e-23	78.4	0.0
WP_057178853.1	adh_short	1.30e-22	77.7	0.0
WP_057177849.1	adh_short	1.01e-13	48.7	0.9
WP_236308109.1	adh_short	2.76e-12	44.0	0.1
WP_341273475.1	adh_short	2.49e-10	37.6	0.0
WP_057176909.1	adh_short	1.25e-09	35.3	0.1
WP_115538845.1	adh_short	3.09e-06	24.2	0.2
WP_057177501.1	adh_short	6.79e-06	23.1	0.1
WP_006278216.1	ADH_zinc_N	3.88e-25	85.7	0.0
WP_115538553.1	ADH_zinc_N	5.25e-23	78.9	0.0
WP_115538977.1	ADH_zinc_N	2.32e-16	57.4	0.7
WP_406885700.1	ADH_zinc_N	6.08e-14	49.5	0.0
WP_115538927.1	ADH_zinc_N	1.19e-09	35.7	0.1
WP_057176984.1	Thiolase_N	5.21e-08	30.0	0.4
WP_096543529.1	Lyase_1	2.82e-88	293.7	0.0
WP_057178368.1	Lyase_1	1.22e-75	252.2	0.0
WP_057177333.1	Lyase_1	1.38e-59	199.5	0.0
WP_115538852.1	Biotin_carb_N	7.23e-47	155.9	0.2
WP_177169499.1	NUDIX	1.96e-23	80.4	0.0
WP_006276737.1	NUDIX	8.90e-21	71.8	0.0
WP_006278462.1	NUDIX	1.30e-20	71.2	0.3
WP_115538393.1	NUDIX	2.83e-13	47.5	0.0
WP_006278700.1	NUDIX	2.10e-12	44.6	0.0
WP_057177352.1	NUDIX	2.14e-10	38.2	0.0
WP_006278262.1	NUDIX	7.04e-10	36.5	0.0
WP_406885925.1	Biotin_lipoyl	3.21e-26	88.4	0.6
WP_057178604.1	Biotin_lipoyl	3.44e-18	62.7	0.8
WP_406876544.1	Biotin_lipoyl	7.60e-07	26.4	1.6
WP_115538530.1	Biotin_lipoyl	3.05e-06	24.4	0.1
WP_406885916.1	Biotin_lipoyl	3.14e-06	24.4	0.1
WP_236308206.1	Biotin_lipoyl	4.83e-06	23.8	2.6
WP_006278636.1	Biotin_lipoyl	5.43e-06	23.6	0.3
WP_240869028.1	Biotin_lipoyl	8.31e-06	23.0	0.5
WP_006277396.1	ECH_1	2.87e-74	247.0	0.0
WP_115538069.1	Nitroreductase	7.60e-34	114.7	0.0
WP_057176968.1	FAD_binding_2	6.98e-115	381.9	3.1
WP_406876160.1	FAD_binding_2	1.92e-91	304.7	1.4
WP_115539029.1	FAD_binding_2	1.74e-11	41.3	5.9
WP_115538451.1	FAD_binding_2	2.68e-09	34.1	0.4
WP_187705554.1	FAD_binding_2	1.04e-08	32.2	0.0
WP_006276197.1	FAD_binding_2	1.89e-08	31.3	1.3
WP_115538521.1	FAD_binding_2	6.12e-08	29.7	0.3
WP_406876262.1	FAD_binding_2	9.61e-08	29.0	0.1
WP_141303666.1	FAD_binding_2	4.54e-07	26.8	1.2
WP_057179131.1	FAD_binding_2	1.53e-06	25.1	0.4
WP_406886020.1	FAD_binding_2	6.08e-06	23.1	1.7
WP_406885987.1	FAD_binding_2	8.77e-06	22.6	0.2
WP_006276581.1	Carboxyl_trans	4.62e-24	82.3	0.0
WP_057179082.1	Carboxyl_trans	2.90e-14	50.0	0.2
WP_057178195.1	B12-binding	4.76e-23	78.8	0.0
WP_406876436.1	B12-binding	5.89e-21	72.0	0.0
WP_006276124.1	B12-binding	8.77e-13	45.6	0.0
WP_115538852.1	Biotin_carb_C	4.00e-44	146.6	0.0
