# target_name	query_name	e_value	score	bias
WP_006278496.1	adh_short	7.57e-70	231.8	8.0
WP_240869398.1	adh_short	7.96e-61	202.4	4.0
WP_240866502.1	adh_short	2.85e-52	174.5	0.0
WP_006276866.1	adh_short	1.23e-48	162.6	0.1
WP_240866943.1	adh_short	1.90e-42	142.4	0.7
WP_240869163.1	adh_short	1.65e-38	129.6	0.0
WP_240866944.1	adh_short	6.39e-30	101.6	0.0
WP_096547388.1	adh_short	3.42e-26	89.4	0.0
WP_240866921.1	adh_short	3.62e-23	79.5	0.0
WP_057178853.1	adh_short	1.34e-22	77.7	0.0
WP_240866014.1	adh_short	2.93e-16	57.0	0.0
WP_240866012.1	adh_short	2.15e-14	50.9	0.0
WP_240869468.1	adh_short	1.05e-13	48.7	0.9
WP_240866018.1	adh_short	1.39e-12	45.0	0.0
WP_240866874.1	adh_short	2.80e-12	44.0	0.0
WP_240866010.1	adh_short	2.74e-11	40.8	0.1
WP_006278887.1	adh_short	1.26e-09	35.3	0.1
WP_240868325.1	adh_short	4.25e-07	27.1	0.2
WP_240866982.1	adh_short	1.17e-06	25.7	0.2
WP_141303194.1	adh_short	6.38e-06	23.3	0.0
WP_115538553.1	ADH_zinc_N	5.42e-23	78.9	0.0
WP_057178090.1	ADH_zinc_N	2.39e-16	57.4	0.7
WP_240868998.1	ADH_zinc_N	7.74e-10	36.3	0.1
WP_240866018.1	Thiolase_N	5.96e-08	29.8	0.1
WP_240866130.1	Thiolase_N	1.18e-07	28.9	0.4
WP_240867636.1	Lyase_1	1.21e-87	291.7	0.0
WP_240867864.1	Lyase_1	1.42e-75	252.0	0.0
WP_240866162.1	Lyase_1	2.73e-59	198.6	0.0
WP_006275705.1	Biotin_carb_N	8.39e-47	155.7	0.2
WP_240867849.1	NUDIX	1.58e-23	80.7	0.0
WP_006276737.1	NUDIX	9.19e-21	71.8	0.0
WP_006278462.1	NUDIX	1.34e-20	71.2	0.3
WP_057178868.1	NUDIX	2.92e-13	47.5	0.0
WP_236308608.1	NUDIX	4.02e-12	43.8	0.0
WP_096545142.1	NUDIX	4.44e-11	40.4	0.0
WP_006278262.1	NUDIX	7.27e-10	36.5	0.0
WP_006276250.1	Biotin_lipoyl	3.33e-26	88.4	0.6
WP_240868734.1	Biotin_lipoyl	3.49e-18	62.7	0.8
WP_240866283.1	Biotin_lipoyl	3.85e-07	27.3	0.7
WP_240866546.1	Biotin_lipoyl	3.24e-06	24.4	0.1
WP_006276140.1	Biotin_lipoyl	3.24e-06	24.4	0.1
WP_236308206.1	Biotin_lipoyl	4.99e-06	23.8	2.6
WP_006278636.1	Biotin_lipoyl	5.60e-06	23.6	0.3
WP_240869028.1	Biotin_lipoyl	8.57e-06	23.0	0.5
WP_006277396.1	ECH_1	2.97e-74	247.0	0.0
WP_240869392.1	Nitroreductase	2.80e-36	122.7	0.0
WP_240866216.1	FAD_binding_2	3.62e-115	382.9	3.0
WP_240868993.1	FAD_binding_2	1.99e-91	304.7	1.4
WP_240867569.1	FAD_binding_2	7.69e-11	39.3	6.1
WP_006277623.1	FAD_binding_2	2.76e-09	34.1	0.4
