# target_name	query_name	e_value	score	bias
WP_042154758.1	adh_short	5.19e-68	226.3	6.9
WP_227365981.1	adh_short	2.38e-60	201.3	0.1
WP_042151105.1	adh_short	8.13e-59	196.3	0.4
WP_227365854.1	adh_short	4.03e-56	187.5	7.0
WP_227350923.1	adh_short	7.76e-56	186.6	0.2
WP_042156184.1	adh_short	5.49e-51	170.8	0.0
WP_042151882.1	adh_short	8.97e-51	170.1	0.4
WP_026793603.1	adh_short	5.81e-50	167.4	0.0
WP_227365860.1	adh_short	2.06e-45	152.6	0.0
WP_227381459.1	adh_short	1.51e-29	100.8	0.0
WP_042153785.1	adh_short	2.38e-25	87.1	0.0
WP_026787734.1	adh_short	1.38e-21	74.8	0.0
WP_227381236.1	adh_short	1.36e-18	65.1	1.8
WP_227382468.1	adh_short	1.84e-15	54.8	0.3
WP_026797344.1	adh_short	1.37e-09	35.7	0.0
WP_227373471.1	adh_short	1.18e-06	26.1	0.1
WP_227381598.1	ADH_zinc_N	1.07e-27	94.5	0.0
WP_081846352.1	ADH_zinc_N	7.10e-21	72.5	0.1
WP_227351037.1	ADH_zinc_N	3.86e-13	47.4	0.2
WP_042152954.1	Thiolase_N	3.62e-06	24.5	1.0
WP_227364844.1	Lyase_1	2.76e-117	389.5	0.0
WP_042156541.1	Lyase_1	5.90e-76	253.8	0.0
WP_042155761.1	Lyase_1	1.86e-62	209.4	0.0
WP_042154621.1	Biotin_carb_N	2.83e-47	157.7	0.7
WP_227382434.1	NUDIX	7.96e-24	82.1	0.0
WP_026798273.1	NUDIX	1.36e-22	78.1	0.0
WP_026796352.1	NUDIX	7.41e-21	72.5	0.1
WP_042154245.1	NUDIX	9.53e-21	72.2	0.2
WP_042154922.1	NUDIX	1.79e-15	55.1	0.0
WP_052369682.1	NUDIX	3.93e-15	54.0	0.2
WP_042155359.1	NUDIX	2.25e-14	51.5	0.0
WP_026788966.1	Biotin_lipoyl	1.11e-24	84.0	0.2
WP_042153607.1	Biotin_lipoyl	3.27e-17	60.1	0.2
WP_144390493.1	Biotin_lipoyl	1.72e-08	32.1	4.2
WP_227381249.1	Biotin_lipoyl	2.95e-07	28.2	0.6
WP_227381200.1	Biotin_lipoyl	9.68e-06	23.3	0.2
WP_026787975.1	ECH_1	8.50e-75	249.2	0.0
WP_227351011.1	Nitroreductase	8.83e-30	102.0	0.0
WP_227381252.1	FAD_binding_2	6.96e-119	395.6	2.2
WP_227366139.1	FAD_binding_2	8.90e-98	326.1	1.4
WP_227381760.1	FAD_binding_2	1.44e-10	38.8	0.4
WP_227381148.1	FAD_binding_2	1.92e-10	38.4	0.3
WP_267879839.1	FAD_binding_2	1.76e-09	35.2	0.8
WP_227381872.1	FAD_binding_2	1.33e-08	32.4	0.1
WP_227381827.1	FAD_binding_2	3.84e-08	30.8	3.8
WP_042152764.1	FAD_binding_2	1.22e-07	29.2	2.2
WP_227381444.1	FAD_binding_2	2.19e-07	28.3	0.4
WP_227365450.1	FAD_binding_2	2.29e-07	28.3	4.5
WP_042154589.1	FAD_binding_2	2.79e-07	28.0	1.6
WP_227350450.1	FAD_binding_2	4.81e-07	27.2	0.3
WP_043938811.1	FAD_binding_2	1.64e-06	25.5	0.0
WP_227382571.1	FAD_binding_2	2.62e-06	24.8	0.7
WP_227381198.1	FAD_binding_2	3.26e-06	24.5	0.2
WP_027254732.1	FAD_binding_2	3.42e-06	24.4	1.2
WP_227381220.1	FAD_binding_2	3.77e-06	24.3	0.3
WP_026785851.1	FAD_binding_2	4.03e-06	24.2	0.2
WP_227382489.1	FAD_binding_2	7.55e-06	23.3	0.1
WP_227381092.1	FAD_binding_2	8.67e-06	23.1	0.0
WP_026786342.1	Carboxyl_trans	1.17e-22	78.2	0.0
WP_042151111.1	Carboxyl_trans	2.17e-15	54.2	0.1
WP_227381499.1	B12-binding	1.07e-19	68.4	0.0
WP_042154655.1	B12-binding	1.32e-14	52.0	0.0
WP_227382430.1	B12-binding	3.00e-11	41.2	0.0
WP_042156815.1	B12-binding	3.33e-10	37.8	0.0
WP_042154621.1	Biotin_carb_C	1.18e-42	142.4	0.0
WP_042155895.1	CPSase_L_D2	3.27e-117	387.4	1.1
WP_042154621.1	CPSase_L_D2	1.03e-86	287.7	0.0
WP_026797839.1	CPSase_L_D2	2.52e-07	28.3	0.1
WP_227381252.1	Succ_DH_flav_C	3.47e-47	157.6	0.0
WP_227366139.1	Succ_DH_flav_C	4.62e-15	53.7	0.0
WP_042151111.1	ACCA	4.33e-141	467.4	0.0
WP_264477070.1	HpcH_HpaI	6.30e-06	23.6	0.4
WP_227381598.1	ADH_N	5.83e-22	75.9	0.2
WP_227351037.1	ADH_N	1.25e-20	71.6	0.3
WP_081846352.1	ADH_N	1.09e-18	65.4	0.2
WP_227364844.1	FumaraseC_C	2.07e-23	80.5	0.9
WP_026793334.1	Fer2_3	3.35e-33	111.8	0.0
WP_042151234.1	Fer4_8	1.16e-13	49.4	3.4
WP_026793334.1	Fer4_8	1.45e-12	45.9	6.9
WP_227381422.1	Fer4_8	3.97e-09	34.9	5.6
WP_042155045.1	Fer4_8	1.22e-07	30.1	7.9
WP_026785466.1	Fer4_8	5.14e-07	28.1	8.9
WP_026786370.1	Fer4_8	2.24e-06	26.0	5.9
WP_227381422.1	Fer4_10	1.07e-11	42.5	6.4
WP_042155045.1	Fer4_10	1.35e-10	39.0	23.3
WP_026785466.1	Fer4_10	1.79e-10	38.6	7.4
WP_026788929.1	Fer4_10	1.15e-09	36.0	5.7
WP_042151234.1	Fer4_10	3.30e-09	34.5	3.4
WP_026785716.1	Fer4_10	3.79e-09	34.3	15.1
WP_026786370.1	Fer4_10	4.33e-08	30.9	11.1
WP_042151234.1	Fer4_17	1.14e-09	36.6	3.6
WP_026785716.1	Fer4_17	2.76e-07	29.0	13.1
WP_026793334.1	Fer4_17	3.61e-07	28.6	6.0
WP_027248931.1	Fer4_17	2.98e-06	25.7	7.8
WP_227381422.1	Fer4_17	6.01e-06	24.7	7.2
WP_042153785.1	adh_short_C2	5.87e-88	292.4	0.0
WP_042154758.1	adh_short_C2	1.00e-68	229.4	4.9
WP_227365854.1	adh_short_C2	4.09e-65	217.6	4.7
WP_227365860.1	adh_short_C2	2.88e-49	165.7	0.0
WP_042151105.1	adh_short_C2	2.15e-45	153.0	0.2
WP_227365981.1	adh_short_C2	1.34e-41	140.6	0.0
WP_042151882.1	adh_short_C2	8.75e-36	121.6	0.2
