# target_name	query_name	e_value	score	bias
WVX23271.1	adh_short	4.60e-68	225.9	5.4
WVX23971.1	adh_short	4.83e-56	186.6	0.1
WVX23819.1	adh_short	1.44e-50	168.8	0.0
WVX22542.1	adh_short	3.01e-30	102.5	0.0
WVX22352.1	adh_short	1.23e-27	93.9	0.0
WVX22761.1	adh_short	5.86e-22	75.4	0.1
WVX22445.1	adh_short	4.67e-21	72.5	0.0
WVX24369.1	adh_short	1.26e-17	61.3	0.0
WVX24483.1	adh_short	4.52e-09	33.4	0.0
WVX23038.1	ADH_zinc_N	6.66e-26	88.1	0.0
WVX22720.1	ADH_zinc_N	7.55e-23	78.2	0.0
WVX23444.1	Thiolase_N	7.00e-08	29.5	1.4
WVX24495.1	Lyase_1	7.28e-110	364.5	0.0
WVX24762.1	Lyase_1	7.76e-78	259.3	0.0
WVX23035.1	Lyase_1	1.67e-62	209.0	0.0
WVX23429.1	Biotin_carb_N	3.10e-46	153.7	2.5
WVX24148.1	NUDIX	2.58e-23	79.8	0.0
WVX23259.1	NUDIX	3.65e-21	72.9	0.2
WVX22269.1	NUDIX	2.67e-20	70.1	0.8
WVX22621.1	NUDIX	4.29e-20	69.4	0.0
WVX22795.1	NUDIX	7.69e-18	62.1	0.3
WVX22522.1	Biotin_lipoyl	2.12e-24	82.5	0.0
WVX23489.1	Biotin_lipoyl	7.47e-18	61.5	0.3
WVX22143.1	Biotin_lipoyl	2.89e-07	27.6	0.3
WVX24396.1	Biotin_lipoyl	9.62e-06	22.7	1.3
WVX24785.1	ECH_1	1.86e-74	247.5	0.0
WVX23050.1	Nitroreductase	3.51e-19	66.9	0.1
WVX24181.1	FAD_binding_2	1.41e-95	318.2	1.6
WVX23229.1	FAD_binding_2	1.14e-49	167.0	1.2
WVX23994.1	FAD_binding_2	2.48e-12	44.0	2.4
WVX23631.1	FAD_binding_2	9.55e-10	35.5	0.4
WVX23548.1	FAD_binding_2	1.63e-09	34.7	3.1
WVX23086.1	FAD_binding_2	3.98e-08	30.2	3.0
WVX23877.1	FAD_binding_2	1.49e-07	28.3	0.3
WVX23765.1	FAD_binding_2	2.15e-07	27.7	7.1
WVX24697.1	FAD_binding_2	3.67e-07	27.0	0.1
WVX24652.1	FAD_binding_2	3.90e-07	26.9	0.4
WVX22755.1	FAD_binding_2	5.79e-07	26.3	0.3
WVX22855.1	FAD_binding_2	8.36e-07	25.8	1.0
WVX24064.1	FAD_binding_2	1.20e-06	25.3	0.1
WVX23953.1	FAD_binding_2	1.40e-06	25.1	0.9
WVX23504.1	FAD_binding_2	2.72e-06	24.1	0.1
WVX22454.1	FAD_binding_2	3.16e-06	23.9	4.6
WVX24361.1	FAD_binding_2	9.93e-06	22.3	10.7
WVX23745.1	Carboxyl_trans	4.94e-22	75.5	0.0
WVX23820.1	Carboxyl_trans	1.04e-11	41.4	0.1
WVX23496.1	B12-binding	1.01e-18	64.7	2.2
WVX24308.1	B12-binding	2.23e-13	47.4	0.1
WVX23330.1	B12-binding	4.02e-06	24.0	0.0
WVX23429.1	Biotin_carb_C	5.12e-42	139.7	0.0
WVX23296.1	CPSase_L_D2	7.45e-113	372.5	0.5
WVX23429.1	CPSase_L_D2	1.10e-85	283.8	0.0
WVX22136.1	CPSase_L_D2	7.49e-12	42.5	0.0
WVX23178.1	CPSase_L_D2	5.31e-10	36.5	0.0
WVX23938.1	CPSase_L_D2	4.71e-09	33.4	0.1
WVX24215.1	CPSase_L_D2	1.58e-06	25.1	0.0
WVX23229.1	Succ_DH_flav_C	1.05e-32	110.1	0.0
