# target_name	query_name	e_value	score	bias
WP_075507677.1	adh_short	7.48e-67	221.2	1.6
WP_075507736.1	adh_short	2.91e-49	163.8	0.0
WP_075507808.1	adh_short	1.97e-36	121.9	0.0
WP_075507326.1	adh_short	1.55e-35	119.0	0.0
WP_075507877.1	adh_short	4.57e-27	91.3	0.0
WP_075507740.1	adh_short	1.50e-23	79.9	0.0
WP_075507547.1	adh_short	7.87e-19	64.5	0.0
WP_075507647.1	adh_short	2.25e-17	59.7	0.0
WP_075507810.1	adh_short	1.81e-15	53.5	0.0
WP_075506976.1	adh_short	6.05e-10	35.5	0.0
WP_075507691.1	adh_short	2.46e-07	27.0	0.2
WP_075506974.1	adh_short	1.88e-06	24.1	0.0
WP_075507270.1	Lyase_1	2.65e-94	312.7	0.0
WP_075507269.1	Lyase_1	1.07e-52	176.0	0.0
WP_075507352.1	Lyase_1	3.13e-32	108.8	0.0
WP_257008963.1	Lyase_1	3.88e-21	72.3	0.0
WP_075507085.1	Biotin_carb_N	9.45e-48	157.9	0.2
WP_075507551.1	NUDIX	8.05e-14	48.4	0.0
WP_075507054.1	Biotin_lipoyl	3.31e-22	74.7	0.3
WP_075507641.1	Biotin_lipoyl	1.33e-19	66.4	0.2
WP_179850467.1	Biotin_lipoyl	1.20e-07	28.1	2.7
WP_075507788.1	ECH_1	2.44e-67	223.4	0.0
WP_257008925.1	FAD_binding_2	4.29e-86	286.2	0.0
WP_146255920.1	FAD_binding_2	1.59e-58	195.4	0.1
WP_075507072.1	FAD_binding_2	1.48e-11	40.7	0.0
WP_075507493.1	FAD_binding_2	5.08e-11	38.9	1.2
WP_075507334.1	FAD_binding_2	3.30e-09	33.0	0.6
WP_075507722.1	FAD_binding_2	8.21e-08	28.4	0.0
WP_075507606.1	FAD_binding_2	7.19e-07	25.3	0.2
WP_075507823.1	FAD_binding_2	2.04e-06	23.8	2.1
WP_075506922.1	FAD_binding_2	5.78e-06	22.3	3.4
WP_146255913.1	FAD_binding_2	9.40e-06	21.6	2.7
WP_075507940.1	Carboxyl_trans	4.48e-21	71.6	0.2
WP_075507735.1	Carboxyl_trans	1.48e-11	40.2	0.1
WP_075506867.1	MaoC_dehydratas	4.27e-06	23.0	0.0
WP_075507362.1	B12-binding	6.35e-20	67.8	0.0
WP_075507296.1	B12-binding	4.15e-06	23.2	0.1
WP_075507085.1	Biotin_carb_C	2.38e-44	146.5	0.0
WP_075507406.1	CPSase_L_D2	4.70e-108	356.1	0.0
WP_075507085.1	CPSase_L_D2	2.33e-85	282.0	0.2
WP_075506840.1	CPSase_L_D2	9.98e-10	34.8	0.1
WP_075507440.1	CPSase_L_D2	7.81e-08	28.6	0.0
WP_075506871.1	CPSase_L_D2	3.15e-06	23.4	0.0
WP_257008925.1	Succ_DH_flav_C	3.29e-21	72.2	0.3
WP_075507735.1	ACCA	1.26e-139	461.3	0.0
WP_075507270.1	FumaraseC_C	5.83e-18	61.7	0.2
WP_075506930.1	Fer2_3	4.52e-07	26.5	0.3
WP_007099573.1	Fer4_10	2.32e-09	33.7	14.9
WP_007099573.1	Fer4_17	1.38e-08	31.8	9.5
WP_075507547.1	adh_short_C2	9.54e-84	277.2	0.0
WP_075507677.1	adh_short_C2	5.99e-66	218.9	0.4
WP_075507736.1	adh_short_C2	1.58e-37	125.9	0.0
WP_075507808.1	adh_short_C2	1.19e-25	87.1	0.0
WP_075507877.1	adh_short_C2	6.65e-21	71.5	0.0
WP_075507326.1	adh_short_C2	2.41e-16	56.6	0.0
WP_075507647.1	adh_short_C2	5.41e-12	42.3	0.0
WP_075507740.1	adh_short_C2	1.91e-11	40.6	0.0
WP_075507827.1	Glyoxalase_4	9.18e-10	35.4	0.0
