strain,accession,target_name,target_description,query_name,pfam_id,evalue,score,bias,domain_evalue,domain_score
GCA_036630085.1_IITB6,GCA_036630085.1_IITB6,WVX20425.1,3-oxoacyl-[acyl-carrier-protein] reductase [Synechococcus elongatus IITB6],adh_short,adh_short,5.254220522874254e-68,225.72824096679688,6.72650146484375,6.347208011831867e-68,225.46043395996094
GCA_036630085.1_IITB6,GCA_036630085.1_IITB6,WVX21172.1,glucose 1-dehydrogenase [Synechococcus elongatus IITB6],adh_short,adh_short,5.135546962087464e-56,186.60488891601562,0.0789642333984375,9.677977526614358e-56,185.70692443847656
GCA_036630085.1_IITB6,GCA_036630085.1_IITB6,WVX21022.1,SDR family oxidoreductase [Synechococcus elongatus IITB6],adh_short,adh_short,2.994803723203218e-50,167.79127502441406,0.0003814697265625,3.8091531708237434e-50,167.45042419433594
GCA_036630085.1_IITB6,GCA_036630085.1_IITB6,WVX19696.1,SDR family oxidoreductase [Synechococcus elongatus IITB6],adh_short,adh_short,3.381600875328629e-31,105.62257385253906,0.00052642822265625,3.89578668002215e-31,105.42198944091797
GCA_036630085.1_IITB6,GCA_036630085.1_IITB6,WVX19506.1,SDR family NAD(P)-dependent oxidoreductase [Synechococcus elongatus IITB6],adh_short,adh_short,6.768052640115321e-28,94.85037231445312,0.03893280029296875,3.495295674793199e-27,92.5238037109375
GCA_036630085.1_IITB6,GCA_036630085.1_IITB6,WVX19858.1,enoyl-ACP reductase FabI [Synechococcus elongatus IITB6],adh_short,adh_short,6.077951766340434e-22,75.42491149902344,0.142242431640625,1.140343039941564e-21,74.53321075439453
GCA_036630085.1_IITB6,GCA_036630085.1_IITB6,WVX19601.1,protochlorophyllide reductase [Synechococcus elongatus IITB6],adh_short,adh_short,7.712924076886931e-21,71.8243408203125,0.0003662109375,4.412960860784593e-19,66.0896224975586
GCA_036630085.1_IITB6,GCA_036630085.1_IITB6,WVX21691.1,bifunctional sterol desaturase/short chain dehydrogenase [Synechococcus elongatus IITB6],adh_short,adh_short,5.5317735650467885e-09,33.13964080810547,0.020092010498046875,2.2386909251284243e-08,31.15859031677246
GCA_036630085.1_IITB6,GCA_036630085.1_IITB6,WVX20210.1,S-(hydroxymethyl)glutathione dehydrogenase/class III alcohol dehydrogenase [Synechococcus elongatus IITB6],ADH_zinc_N,ADH_zinc_N,6.915340151398954e-26,88.10221862792969,0.0372467041015625,1.2637929139046568e-25,87.25544738769531
GCA_036630085.1_IITB6,GCA_036630085.1_IITB6,WVX19897.1,zinc-dependent alcohol dehydrogenase family protein [Synechococcus elongatus IITB6],ADH_zinc_N,ADH_zinc_N,3.2972951507761264e-22,76.2077407836914,0.023712158203125,8.287859775108302e-22,74.91336059570312
GCA_036630085.1_IITB6,GCA_036630085.1_IITB6,WVX20605.1,beta-ketoacyl-ACP synthase III [Synechococcus elongatus IITB6],Thiolase_N,Thiolase_N,7.799517777698255e-08,29.35280990600586,1.5277557373046875,1.5964852748018624e-07,28.33316993713379
GCA_036630085.1_IITB6,GCA_036630085.1_IITB6,WVX21703.1,class II fumarate hydratase [Synechococcus elongatus IITB6],Lyase_1,Lyase_1,1.3280745815127744e-109,363.72027587890625,0.00213623046875,1.6351672776705638e-109,363.42352294921875
GCA_036630085.1_IITB6,GCA_036630085.1_IITB6,WVX19533.1,argininosuccinate lyase [Synechococcus elongatus IITB6],Lyase_1,Lyase_1,1.1006491408566046e-78,262.15771484375,0.000518798828125,1.920615857760747e-78,261.36346435546875
GCA_036630085.1_IITB6,GCA_036630085.1_IITB6,WVX20207.1,adenylosuccinate lyase [Synechococcus elongatus IITB6],Lyase_1,Lyase_1,1.6670352818496336e-62,209.00778198242188,0.0319671630859375,2.2927058097360367e-62,208.5531463623047
GCA_036630085.1_IITB6,GCA_036630085.1_IITB6,WVX20585.1,acetyl-CoA carboxylase biotin carboxylase subunit [Synechococcus elongatus IITB6],Biotin_carb_N,Biotin_carb_N,1.6242589005031758e-46,154.69271850585938,2.0588531494140625,8.240155482270459e-46,152.42254638671875
GCA_036630085.1_IITB6,GCA_036630085.1_IITB6,WVX21357.1,NUDIX hydrolase [Synechococcus elongatus IITB6],NUDIX,NUDIX,6.532214850698845e-25,85.07090759277344,0.0040130615234375,7.442576246503012e-25,84.88749694824219
GCA_036630085.1_IITB6,GCA_036630085.1_IITB6,WVX20413.1,A/G-specific adenine glycosylase [Synechococcus elongatus IITB6],NUDIX,NUDIX,2.808457892584962e-21,73.31001281738281,0.17971038818359375,4.677501469780457e-21,72.5928955078125
GCA_036630085.1_IITB6,GCA_036630085.1_IITB6,WVX19426.1,NUDIX hydrolase [Synechococcus elongatus IITB6],NUDIX,NUDIX,2.78289179827925e-20,70.08599090576172,0.827117919921875,3.412115676553577e-20,69.7994384765625
GCA_036630085.1_IITB6,GCA_036630085.1_IITB6,WVX19775.1,bifunctional nicotinamide-nucleotide adenylyltransferase/Nudix hydroxylase [Synechococcus elongatus IITB6],NUDIX,NUDIX,4.852639587006022e-20,69.3043441772461,0.0222320556640625,1.1203851324523534e-19,68.12809753417969
GCA_036630085.1_IITB6,GCA_036630085.1_IITB6,WVX19938.1,NUDIX hydrolase [Synechococcus elongatus IITB6],NUDIX,NUDIX,1.3845883417543245e-17,61.3567008972168,0.4102325439453125,1.8041942181939327e-17,60.984580993652344
GCA_036630085.1_IITB6,GCA_036630085.1_IITB6,WVX19676.1,acetyl-CoA carboxylase biotin carboxyl carrier protein [Synechococcus elongatus IITB6],Biotin_lipoyl,Biotin_lipoyl,2.3810936579182912e-24,82.37999725341797,0.01924896240234375,4.2009926164409496e-24,81.58998107910156
GCA_036630085.1_IITB6,GCA_036630085.1_IITB6,WVX20651.1,dihydrolipoamide acetyltransferase family protein [Synechococcus elongatus IITB6],Biotin_lipoyl,Biotin_lipoyl,7.627239171659818e-18,61.5363883972168,0.3343391418457031,1.3294023531960527e-17,60.763309478759766
GCA_036630085.1_IITB6,GCA_036630085.1_IITB6,WVX20130.1,efflux RND transporter periplasmic adaptor subunit [Synechococcus elongatus IITB6],Biotin_lipoyl,Biotin_lipoyl,1.1765938833567757e-07,28.8936824798584,0.8545207977294922,0.1573367698963086,9.265612602233887
GCA_036630085.1_IITB6,GCA_036630085.1_IITB6,WVX20130.1,efflux RND transporter periplasmic adaptor subunit [Synechococcus elongatus IITB6],Biotin_lipoyl,Biotin_lipoyl,1.1765938833567757e-07,28.8936824798584,0.8545207977294922,0.0004932799910413161,17.28746795654297
GCA_036630085.1_IITB6,GCA_036630085.1_IITB6,WVX19302.1,efflux RND transporter periplasmic adaptor subunit [Synechococcus elongatus IITB6],Biotin_lipoyl,Biotin_lipoyl,2.9405682512776777e-07,27.6191349029541,0.27242469787597656,0.007167092354889647,13.563674926757812
GCA_036630085.1_IITB6,GCA_036630085.1_IITB6,WVX19302.1,efflux RND transporter periplasmic adaptor subunit [Synechococcus elongatus IITB6],Biotin_lipoyl,Biotin_lipoyl,2.9405682512776777e-07,27.6191349029541,0.27242469787597656,0.03775210805594376,11.251708030700684
GCA_036630085.1_IITB6,GCA_036630085.1_IITB6,WVX21988.1,"1,4-dihydroxy-2-naphthoyl-CoA synthase [Synechococcus elongatus IITB6]",ECH_1,ECH_1,5.426381585073541e-75,249.3086700439453,0.001739501953125,6.488476426283372e-75,249.05435180664062
GCA_036630085.1_IITB6,GCA_036630085.1_IITB6,WVX20222.1,NAD(P)H-dependent oxidoreductase [Synechococcus elongatus IITB6],Nitroreductase,Nitroreductase,1.2802873344602571e-19,68.39392852783203,0.09896087646484375,1.975831380565667e-19,67.7808609008789
GCA_036630085.1_IITB6,GCA_036630085.1_IITB6,WVX21390.1,L-aspartate oxidase [Synechococcus elongatus IITB6],FAD_binding_2,FAD_binding_2,5.2748215592635086e-95,316.38134765625,1.96612548828125,8.094663200090096e-95,315.7687072753906
GCA_036630085.1_IITB6,GCA_036630085.1_IITB6,WVX20383.1,fumarate reductase/succinate dehydrogenase flavoprotein subunit [Synechococcus elongatus IITB6],FAD_binding_2,FAD_binding_2,4.661380205147653e-49,165.0376739501953,0.91400146484375,4.661380205147653e-49,165.0376739501953
GCA_036630085.1_IITB6,GCA_036630085.1_IITB6,WVX21196.1,NAD(P)/FAD-dependent oxidoreductase [Synechococcus elongatus IITB6],FAD_binding_2,FAD_binding_2,9.056865983241738e-12,42.212284088134766,2.126659393310547,2.2428999759593908e-06,24.44540786743164
GCA_036630085.1_IITB6,GCA_036630085.1_IITB6,WVX21196.1,NAD(P)/FAD-dependent oxidoreductase [Synechococcus elongatus IITB6],FAD_binding_2,FAD_binding_2,9.056865983241738e-12,42.212284088134766,2.126659393310547,0.0006653403824375722,16.30205535888672
GCA_036630085.1_IITB6,GCA_036630085.1_IITB6,WVX20712.1,carotenoid isomerase [Synechococcus elongatus IITB6],FAD_binding_2,FAD_binding_2,3.035990608698198e-09,33.89406204223633,3.8450050354003906,2.1419589078654623e-05,21.217357635498047
GCA_036630085.1_IITB6,GCA_036630085.1_IITB6,WVX20796.1,FAD-dependent oxidoreductase [Synechococcus elongatus IITB6],FAD_binding_2,FAD_binding_2,3.4182017981361617e-09,33.72443389892578,0.7453536987304688,3.4182017981361617e-09,33.72443389892578
GCA_036630085.1_IITB6,GCA_036630085.1_IITB6,WVX20255.1,FAD-dependent oxidoreductase [Synechococcus elongatus IITB6],FAD_binding_2,FAD_binding_2,2.2798080019824253e-08,31.00990867614746,1.8710956573486328,4.732865088654422e-08,29.964990615844727
GCA_036630085.1_IITB6,GCA_036630085.1_IITB6,WVX20962.1,dihydrolipoyl dehydrogenase [Synechococcus elongatus IITB6],FAD_binding_2,FAD_binding_2,6.723960800794341e-08,29.462663650512695,5.380273818969727,5.259284944969677e-05,19.93234634399414
GCA_036630085.1_IITB6,GCA_036630085.1_IITB6,WVX20962.1,dihydrolipoyl dehydrogenase [Synechococcus elongatus IITB6],FAD_binding_2,FAD_binding_2,6.723960800794341e-08,29.462663650512695,5.380273818969727,0.06176624308522404,9.820575714111328
GCA_036630085.1_IITB6,GCA_036630085.1_IITB6,WVX21571.1,"C-3',4' desaturase CrtD [Synechococcus elongatus IITB6]",FAD_binding_2,FAD_binding_2,8.339812756691205e-08,29.154579162597656,11.398796081542969,0.00025498517437446647,17.674070358276367
GCA_036630085.1_IITB6,GCA_036630085.1_IITB6,WVX21571.1,"C-3',4' desaturase CrtD [Synechococcus elongatus IITB6]",FAD_binding_2,FAD_binding_2,8.339812756691205e-08,29.154579162597656,11.398796081542969,0.03179504490282697,10.770516395568848
GCA_036630085.1_IITB6,GCA_036630085.1_IITB6,WVX21081.1,NAD(P)/FAD-dependent oxidoreductase [Synechococcus elongatus IITB6],FAD_binding_2,FAD_binding_2,1.5772191711227663e-07,28.243032455444336,0.31037139892578125,2.522625209304659e-07,27.57120132446289
GCA_036630085.1_IITB6,GCA_036630085.1_IITB6,WVX21894.1,FAD-dependent oxidoreductase [Synechococcus elongatus IITB6],FAD_binding_2,FAD_binding_2,1.8390030435903484e-07,28.023359298706055,0.1381053924560547,7.030040478696469e-07,26.105058670043945
GCA_036630085.1_IITB6,GCA_036630085.1_IITB6,WVX20026.1,NAD(P)/FAD-dependent oxidoreductase [Synechococcus elongatus IITB6],FAD_binding_2,FAD_binding_2,4.098766327970747e-07,26.876840591430664,0.13510704040527344,6.70317430185214e-07,26.173168182373047
GCA_036630085.1_IITB6,GCA_036630085.1_IITB6,WVX21848.1,NAD(P)/FAD-dependent oxidoreductase [Synechococcus elongatus IITB6],FAD_binding_2,FAD_binding_2,1.0622879963441387e-06,25.514509201049805,0.6456069946289062,1.1291952688161716e-05,22.133207321166992
GCA_036630085.1_IITB6,GCA_036630085.1_IITB6,WVX19864.1,FAD-dependent oxidoreductase [Synechococcus elongatus IITB6],FAD_binding_2,FAD_binding_2,1.07085309208252e-06,25.503021240234375,0.27217864990234375,1.8140409033652941e-06,24.748985290527344
GCA_036630085.1_IITB6,GCA_036630085.1_IITB6,WVX21273.1,FADH(2)-oxidizing methylenetetrahydrofolate--tRNA-(uracil(54)-C(5))-methyltransferase TrmFO [Synechococcus elongatus IITB6],FAD_binding_2,FAD_binding_2,1.3001097081450935e-06,25.225507736206055,0.1857128143310547,2.0723520147750386e-06,24.558542251586914
GCA_036630085.1_IITB6,GCA_036630085.1_IITB6,WVX21154.1,"9,9'-di-cis-zeta-carotene desaturase [Synechococcus elongatus IITB6]",FAD_binding_2,FAD_binding_2,2.8935432014667632e-06,24.08103370666504,0.8905258178710938,2.8935432014667632e-06,24.08103370666504
GCA_036630085.1_IITB6,GCA_036630085.1_IITB6,WVX19611.1,tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG [Synechococcus elongatus IITB6],FAD_binding_2,FAD_binding_2,3.2782569612238963e-06,23.9024600982666,4.612335205078125,5.818393541956514e-05,19.78782081604004
GCA_036630085.1_IITB6,GCA_036630085.1_IITB6,WVX21773.1,FAD-dependent hydroxylase [Synechococcus elongatus IITB6],FAD_binding_2,FAD_binding_2,5.343127076910078e-06,23.203645706176758,1.2897815704345703,1.601219024292986e-05,21.63357925415039
GCA_036630085.1_IITB6,GCA_036630085.1_IITB6,WVX20666.1,NAD(P)/FAD-dependent oxidoreductase [Synechococcus elongatus IITB6],FAD_binding_2,FAD_binding_2,5.44222578753821e-06,23.177356719970703,0.0662994384765625,0.0009423695009373365,15.804088592529297
GCA_036630085.1_IITB6,GCA_036630085.1_IITB6,WVX20931.1,"acetyl-CoA carboxylase, carboxyltransferase subunit beta [Synechococcus elongatus IITB6]",Carboxyl_trans,Carboxyl_trans,2.3639737353285946e-21,73.29276275634766,0.01697540283203125,3.225107576369029e-21,72.84780883789062
GCA_036630085.1_IITB6,GCA_036630085.1_IITB6,WVX21023.1,acetyl-CoA carboxylase carboxyltransferase subunit alpha [Synechococcus elongatus IITB6],Carboxyl_trans,Carboxyl_trans,1.0951400252655906e-11,41.41138458251953,0.09763717651367188,1.5753965772299556e-11,40.890506744384766
GCA_036630085.1_IITB6,GCA_036630085.1_IITB6,WVX20658.1,methionine synthase [Synechococcus elongatus IITB6],B12-binding,B12-binding,7.024088805621752e-19,65.2342300415039,1.8024826049804688,1.2006488536277262e-17,61.25468826293945
GCA_036630085.1_IITB6,GCA_036630085.1_IITB6,WVX21518.1,B12-binding domain-containing radical SAM protein [Synechococcus elongatus IITB6],B12-binding,B12-binding,2.3144645183502755e-13,47.42266845703125,0.077728271484375,4.924223371467251e-13,46.364253997802734
GCA_036630085.1_IITB6,GCA_036630085.1_IITB6,WVX20585.1,acetyl-CoA carboxylase biotin carboxylase subunit [Synechococcus elongatus IITB6],Biotin_carb_C,Biotin_carb_C,5.505841307424768e-42,139.66546630859375,0.0003509521484375,1.0862308287805195e-41,138.7161407470703
