# target_name	query_name	e_value	score	bias
WP_006278496.1	adh_short	8.17e-70	231.8	8.0
WP_211942172.1	adh_short	2.07e-60	201.2	3.6
WP_057178177.1	adh_short	7.92e-52	173.2	0.0
WP_211942200.1	adh_short	1.36e-48	162.6	0.1
WP_211942393.1	adh_short	1.85e-46	155.6	0.0
WP_211941685.1	adh_short	1.32e-42	143.1	0.0
WP_057178739.1	adh_short	5.02e-39	131.4	0.0
WP_057178094.1	adh_short	8.50e-23	78.4	0.0
WP_057178853.1	adh_short	1.45e-22	77.7	0.0
WP_057177849.1	adh_short	1.13e-13	48.7	0.9
WP_211942349.1	adh_short	2.78e-13	47.4	0.7
WP_211941761.1	adh_short	5.04e-12	43.3	0.1
WP_057176909.1	adh_short	1.39e-09	35.3	0.1
WP_235529026.1	adh_short	1.62e-09	35.1	0.0
WP_211942355.1	adh_short	3.26e-08	30.8	0.0
WP_211942432.1	adh_short	6.10e-07	26.7	0.2
WP_211942215.1	adh_short	6.24e-06	23.4	0.0
WP_096547359.1	ADH_zinc_N	1.19e-26	90.8	0.0
WP_006278216.1	ADH_zinc_N	4.32e-25	85.7	0.0
WP_057178759.1	ADH_zinc_N	6.75e-24	81.9	0.0
WP_211941749.1	ADH_zinc_N	2.59e-16	57.4	0.7
WP_057176883.1	ADH_zinc_N	1.32e-09	35.7	0.1
WP_057176984.1	Thiolase_N	5.81e-08	30.0	0.4
WP_096543529.1	Lyase_1	3.14e-88	293.7	0.0
WP_057178368.1	Lyase_1	1.36e-75	252.2	0.0
WP_057177333.1	Lyase_1	1.53e-59	199.5	0.0
WP_006275705.1	Biotin_carb_N	9.06e-47	155.7	0.2
WP_177169499.1	NUDIX	2.18e-23	80.4	0.0
WP_211942017.1	NUDIX	1.01e-20	71.7	0.0
WP_006278462.1	NUDIX	1.45e-20	71.2	0.3
WP_057178868.1	NUDIX	3.16e-13	47.5	0.0
WP_006278700.1	NUDIX	2.34e-12	44.6	0.0
WP_231922774.1	NUDIX	1.27e-10	39.0	0.0
WP_057177352.1	NUDIX	2.38e-10	38.2	0.0
WP_057176863.1	NUDIX	7.83e-10	36.5	0.0
WP_006276250.1	Biotin_lipoyl	3.59e-26	88.4	0.6
WP_057178604.1	Biotin_lipoyl	3.83e-18	62.7	0.8
WP_115538338.1	Biotin_lipoyl	8.46e-07	26.4	1.6
WP_006276140.1	Biotin_lipoyl	3.50e-06	24.4	0.1
WP_211941675.1	Biotin_lipoyl	3.51e-06	24.4	0.1
WP_057178466.1	Biotin_lipoyl	4.93e-06	23.9	2.3
WP_006278636.1	Biotin_lipoyl	6.05e-06	23.6	0.3
WP_057176869.1	Biotin_lipoyl	9.04e-06	23.1	0.5
WP_057177232.1	ECH_1	1.18e-74	248.4	0.0
WP_057179078.1	Nitroreductase	3.01e-36	122.7	0.0
WP_057176968.1	FAD_binding_2	7.77e-115	381.9	3.1
WP_211942440.1	FAD_binding_2	2.14e-91	304.7	1.4
WP_057177662.1	FAD_binding_2	1.15e-30	104.7	2.4
WP_057177200.1	FAD_binding_2	1.91e-11	41.4	5.9
WP_057178008.1	FAD_binding_2	2.98e-09	34.1	0.4
WP_057178012.1	FAD_binding_2	1.12e-08	32.2	0.0
WP_006276197.1	FAD_binding_2	2.10e-08	31.3	1.3
WP_115538521.1	FAD_binding_2	6.81e-08	29.7	0.3
WP_006275633.1	FAD_binding_2	1.08e-07	29.0	0.1
WP_235528925.1	FAD_binding_2	2.70e-07	27.7	0.2
WP_057178628.1	FAD_binding_2	5.05e-07	26.8	1.2
WP_057179131.1	FAD_binding_2	1.70e-06	25.1	0.4
WP_057178320.1	FAD_binding_2	5.84e-06	23.3	2.3
WP_057177657.1	FAD_binding_2	6.75e-06	23.1	1.7
WP_006276581.1	Carboxyl_trans	5.15e-24	82.3	0.0
WP_057179082.1	Carboxyl_trans	3.23e-14	50.0	0.2
WP_057178195.1	B12-binding	5.30e-23	78.8	0.0
WP_211941958.1	B12-binding	6.64e-21	72.0	0.0
WP_006276124.1	B12-binding	9.76e-13	45.6	0.0
WP_006275705.1	Biotin_carb_C	4.46e-44	146.6	0.0
WP_057177340.1	CPSase_L_D2	2.62e-112	371.0	0.2
WP_006275705.1	CPSase_L_D2	2.63e-87	289.3	0.0
WP_057178476.1	CPSase_L_D2	2.69e-08	31.2	0.1
WP_211942042.1	CPSase_L_D2	1.22e-06	25.8	0.0
WP_141303387.1	CPSase_L_D2	2.88e-06	24.5	0.4
WP_057176968.1	Succ_DH_flav_C	4.78e-44	147.1	0.0
WP_211942440.1	Succ_DH_flav_C	6.18e-16	56.1	0.0
WP_057177662.1	Succ_DH_flav_C	1.04e-12	45.7	0.0
WP_057179082.1	ACCA	1.54e-141	468.6	0.0
WP_211942365.1	HpcH_HpaI	9.05e-36	120.8	0.0
WP_057178759.1	ADH_N	2.26e-28	96.1	0.4
