# target_name	query_name	e_value	score	bias
WP_011243157.1	adh_short	3.70e-68	226.2	6.0
WP_011242343.1	adh_short	1.52e-55	185.0	0.1
WP_011242366.1	adh_short	8.24e-51	169.6	0.0
WP_011243836.1	adh_short	3.08e-30	102.4	0.0
WP_272948005.1	adh_short	6.28e-21	72.1	0.1
WP_011378491.1	adh_short	7.39e-21	71.8	0.0
WP_011378442.1	adh_short	8.94e-20	68.3	0.0
WP_011242991.1	adh_short	2.12e-09	34.4	0.0
WP_011242850.1	Lyase_1	6.29e-109	361.4	0.0
WP_039755911.1	Lyase_1	1.53e-77	258.3	0.0
WP_011377532.1	Lyase_1	1.08e-62	209.6	0.0
WP_011242491.1	Biotin_carb_N	1.68e-46	154.6	2.0
WP_011243856.1	Biotin_lipoyl	1.66e-24	82.8	0.0
WP_011377850.1	Biotin_lipoyl	7.06e-18	61.6	0.3
WP_011377875.1	Biotin_lipoyl	9.75e-06	22.7	1.6
WP_011377638.1	ECH_1	3.33e-74	246.7	0.0
WP_011242537.1	Chloroa_b-bind	7.29e-07	27.1	0.0
WP_265575013.1	Chloroa_b-bind	5.49e-06	24.3	0.0
WP_011378229.1	FAD_binding_2	1.74e-95	317.9	1.3
WP_011377658.1	FAD_binding_2	1.81e-49	166.3	1.4
WP_011378159.1	FAD_binding_2	9.49e-13	45.4	3.2
WP_011377880.1	FAD_binding_2	1.33e-10	38.3	1.1
WP_011377549.1	FAD_binding_2	4.01e-09	33.4	3.1
WP_011244229.1	FAD_binding_2	3.57e-08	30.3	0.2
WP_011377934.1	FAD_binding_2	4.96e-08	29.8	7.1
WP_011242885.1	FAD_binding_2	6.97e-08	29.3	11.5
WP_011378298.1	FAD_binding_2	8.93e-08	29.0	1.8
WP_011242908.1	FAD_binding_2	1.68e-07	28.1	0.4
WP_011377912.1	FAD_binding_2	3.82e-07	26.9	5.6
WP_011242552.1	FAD_binding_2	7.12e-07	26.0	0.1
WP_011243397.1	FAD_binding_2	7.28e-07	26.0	0.7
WP_011242603.1	FAD_binding_2	1.04e-06	25.5	0.1
WP_011378061.1	FAD_binding_2	2.11e-06	24.5	2.5
WP_011377457.1	FAD_binding_2	2.22e-06	24.4	0.5
WP_011243324.1	FAD_binding_2	3.07e-06	23.9	0.1
WP_407830100.1	FAD_binding_2	3.60e-06	23.7	1.4
WP_011378455.1	FAD_binding_2	4.76e-06	23.3	4.5
WP_011243199.1	Glyoxalase	6.63e-31	104.5	0.0
WP_011242468.1	Glyoxalase	3.30e-19	66.8	0.3
WP_011377628.1	Glyoxalase	2.95e-17	60.5	0.0
WP_011377511.1	Glyoxalase	1.60e-12	45.2	0.0
WP_011242427.1	Glyoxalase	1.81e-07	28.9	0.0
WP_011243876.1	Glyoxalase	5.00e-07	27.5	0.0
WP_011244449.1	Carboxyl_trans	1.49e-21	73.9	0.0
WP_011242365.1	Carboxyl_trans	1.04e-11	41.4	0.2
WP_011378007.1	B12-binding	4.78e-19	65.7	0.4
WP_011242392.1	B12-binding	3.01e-13	47.0	0.1
WP_039755810.1	B12-binding	2.96e-06	24.4	0.0
WP_011242491.1	Biotin_carb_C	5.41e-42	139.6	0.0
WP_011243131.1	CPSase_L_D2	6.47e-113	372.7	0.5
WP_011242491.1	CPSase_L_D2	7.11e-86	284.4	0.0
WP_011244040.1	CPSase_L_D2	1.20e-12	45.1	0.0
WP_011243247.1	CPSase_L_D2	5.05e-09	33.3	0.0
WP_011242929.1	CPSase_L_D2	3.76e-08	30.4	0.1
WP_011242442.1	CPSase_L_D2	7.70e-07	26.1	0.0
WP_011377658.1	Succ_DH_flav_C	1.91e-32	109.3	0.1
WP_011378229.1	Succ_DH_flav_C	2.38e-17	60.4	0.2
WP_011242365.1	ACCA	3.39e-143	473.7	0.0
WP_011242850.1	FumaraseC_C	6.14e-23	78.4	2.1
