# target_name	query_name	e_value	score	bias
WP_042154758.1	adh_short	5.24e-68	226.3	6.9
WP_227365981.1	adh_short	2.41e-60	201.3	0.1
WP_042151105.1	adh_short	8.20e-59	196.3	0.4
WP_227365259.1	adh_short	7.86e-56	186.6	0.2
WP_042156184.1	adh_short	5.55e-51	170.8	0.0
WP_042151882.1	adh_short	9.05e-51	170.1	0.4
WP_227398201.1	adh_short	3.56e-50	168.1	0.0
WP_310995818.1	adh_short	7.07e-48	160.6	0.1
WP_323287941.1	adh_short	1.58e-29	100.8	0.0
WP_042153785.1	adh_short	2.41e-25	87.1	0.0
WP_323284522.1	adh_short	1.39e-21	74.8	0.0
WP_227364883.1	adh_short	8.04e-19	65.8	0.9
WP_323285534.1	adh_short	3.58e-16	57.2	0.2
WP_323285547.1	adh_short	8.32e-14	49.5	0.1
WP_042153468.1	adh_short	1.61e-13	48.5	0.2
WP_026797344.1	adh_short	1.38e-09	35.7	0.0
WP_323285887.1	adh_short	9.75e-08	29.7	0.2
WP_227373471.1	adh_short	1.19e-06	26.1	0.1
WP_323285547.1	ADH_zinc_N	2.60e-21	73.9	0.0
WP_081846352.1	ADH_zinc_N	7.17e-21	72.5	0.1
WP_323285534.1	ADH_zinc_N	6.82e-19	66.1	0.0
WP_227351037.1	ADH_zinc_N	3.90e-13	47.4	0.2
WP_042152954.1	Thiolase_N	3.65e-06	24.5	1.0
WP_323287000.1	Lyase_1	5.13e-117	388.7	0.0
WP_042156541.1	Lyase_1	5.95e-76	253.8	0.0
WP_042155761.1	Lyase_1	1.88e-62	209.4	0.0
WP_042154621.1	Biotin_carb_N	2.86e-47	157.7	0.7
WP_042154381.1	NUDIX	6.46e-24	82.4	0.0
WP_026798273.1	NUDIX	1.37e-22	78.1	0.0
WP_026796352.1	NUDIX	7.48e-21	72.5	0.1
WP_042154245.1	NUDIX	9.63e-21	72.2	0.2
WP_042154922.1	NUDIX	1.80e-15	55.1	0.0
WP_052369682.1	NUDIX	3.97e-15	54.0	0.2
WP_042155359.1	NUDIX	2.27e-14	51.5	0.0
WP_042153607.1	Biotin_lipoyl	3.30e-17	60.1	0.2
WP_323288987.1	Biotin_lipoyl	4.86e-15	53.1	0.0
WP_323289057.1	Biotin_lipoyl	8.16e-15	52.4	0.3
WP_144390493.1	Biotin_lipoyl	1.74e-08	32.1	4.2
WP_227381249.1	Biotin_lipoyl	2.98e-07	28.2	0.6
WP_042156197.1	Biotin_lipoyl	9.43e-06	23.4	0.2
WP_026787975.1	ECH_1	8.58e-75	249.2	0.0
WP_042155547.1	Nitroreductase	6.87e-30	102.4	0.0
WP_323287555.1	FAD_binding_2	2.86e-119	396.9	2.2
WP_227366139.1	FAD_binding_2	8.99e-98	326.1	1.4
WP_323288716.1	FAD_binding_2	5.23e-93	310.4	0.3
WP_227350259.1	FAD_binding_2	1.45e-10	38.8	0.4
WP_323286633.1	FAD_binding_2	1.61e-10	38.7	0.1
WP_267879839.1	FAD_binding_2	1.77e-09	35.2	0.8
WP_227397564.1	FAD_binding_2	1.31e-08	32.4	0.1
WP_042152764.1	FAD_binding_2	1.23e-07	29.2	2.2
WP_026786441.1	FAD_binding_2	1.31e-07	29.1	3.6
WP_323287874.1	FAD_binding_2	2.23e-07	28.3	0.4
WP_227397901.1	FAD_binding_2	2.29e-07	28.3	4.5
WP_042154589.1	FAD_binding_2	2.82e-07	28.0	1.6
WP_043938811.1	FAD_binding_2	1.65e-06	25.5	0.0
WP_227350295.1	FAD_binding_2	2.64e-06	24.8	0.7
WP_227381198.1	FAD_binding_2	3.29e-06	24.5	0.2
WP_027254732.1	FAD_binding_2	3.45e-06	24.4	1.2
WP_026796254.1	FAD_binding_2	3.78e-06	24.3	0.3
WP_254032065.1	FAD_binding_2	3.83e-06	24.3	0.3
WP_026785851.1	FAD_binding_2	4.07e-06	24.2	0.2
WP_227365841.1	FAD_binding_2	7.64e-06	23.3	0.1
WP_042156697.1	FAD_binding_2	9.90e-06	22.9	0.0
WP_026786342.1	Carboxyl_trans	1.19e-22	78.2	0.0
WP_042151111.1	Carboxyl_trans	2.20e-15	54.2	0.1
WP_227365428.1	B12-binding	9.34e-20	68.6	0.0
WP_042154655.1	B12-binding	1.34e-14	52.0	0.0
WP_227365553.1	B12-binding	2.30e-11	41.5	0.0
WP_042156815.1	B12-binding	3.36e-10	37.8	0.0
WP_042154621.1	Biotin_carb_C	1.19e-42	142.4	0.0
WP_042155895.1	CPSase_L_D2	3.30e-117	387.4	1.1
WP_042154621.1	CPSase_L_D2	1.04e-86	287.7	0.0
WP_042157100.1	CPSase_L_D2	2.53e-07	28.4	0.1
WP_323287555.1	Succ_DH_flav_C	1.21e-47	159.0	0.0
WP_323288716.1	Succ_DH_flav_C	7.71e-18	62.7	0.0
WP_227366139.1	Succ_DH_flav_C	4.67e-15	53.7	0.0
WP_042151111.1	ACCA	4.37e-141	467.4	0.0
WP_264477070.1	HpcH_HpaI	6.36e-06	23.6	0.4
WP_227351037.1	ADH_N	1.26e-20	71.6	0.3
WP_081846352.1	ADH_N	1.10e-18	65.4	0.2
WP_323285547.1	ADH_N	1.30e-11	42.6	1.1
WP_323285534.1	ADH_N	1.19e-10	39.5	0.0
WP_323287000.1	FumaraseC_C	3.47e-24	83.0	1.8
WP_026793334.1	Fer2_3	3.38e-33	111.8	0.0
WP_042151234.1	Fer4_8	1.17e-13	49.4	3.4
WP_026793334.1	Fer4_8	1.46e-12	45.9	6.9
WP_323284656.1	Fer4_8	3.02e-09	35.3	5.1
WP_042155045.1	Fer4_8	1.23e-07	30.1	7.9
WP_026785466.1	Fer4_8	5.19e-07	28.1	8.9
WP_227350234.1	Fer4_8	2.45e-06	25.9	6.0
WP_323284656.1	Fer4_10	3.77e-11	40.7	7.1
WP_042155045.1	Fer4_10	1.36e-10	39.0	23.3
WP_026785466.1	Fer4_10	1.80e-10	38.6	7.4
WP_026788929.1	Fer4_10	1.16e-09	36.0	5.7
WP_042151234.1	Fer4_10	3.33e-09	34.5	3.4
WP_026785716.1	Fer4_10	3.83e-09	34.3	15.1
WP_227350234.1	Fer4_10	4.40e-08	30.9	11.1
WP_042151234.1	Fer4_17	1.15e-09	36.6	3.6
WP_026785716.1	Fer4_17	2.78e-07	29.0	13.1
WP_026793334.1	Fer4_17	3.65e-07	28.6	6.0
