# target_name	query_name	e_value	score	bias
WP_039201825.1	adh_short	6.58e-70	232.7	8.2
WP_039202862.1	adh_short	6.12e-59	196.9	0.7
WP_027403149.1	adh_short	4.88e-56	187.5	1.4
WP_015078118.1	adh_short	3.50e-53	178.2	0.0
WP_039201927.1	adh_short	3.54e-53	178.1	0.0
WP_039203012.1	adh_short	3.37e-43	145.6	0.2
WP_039201428.1	adh_short	8.15e-42	141.1	0.1
WP_200888977.1	adh_short	2.57e-39	132.9	0.3
WP_235335045.1	adh_short	5.87e-34	115.4	0.5
WP_072033555.1	adh_short	1.91e-24	84.4	0.0
WP_039199331.1	adh_short	2.54e-17	61.1	0.0
WP_039203009.1	adh_short	4.23e-14	50.6	0.6
WP_039204960.1	adh_short	3.38e-10	37.9	0.6
WP_039200345.1	ADH_zinc_N	3.32e-23	80.2	0.2
WP_039204733.1	ADH_zinc_N	4.49e-23	79.8	0.1
WP_039203861.1	ADH_zinc_N	8.26e-23	78.9	0.0
WP_039200184.1	Lyase_1	7.78e-91	302.9	0.0
WP_039199527.1	Lyase_1	2.77e-75	251.8	0.0
WP_039203429.1	Lyase_1	6.52e-61	204.6	0.0
WP_039200677.1	Biotin_carb_N	3.03e-46	154.6	1.0
WP_039203547.1	NUDIX	8.46e-24	82.3	0.0
WP_039199709.1	NUDIX	3.55e-20	70.5	0.3
WP_039202419.1	NUDIX	5.45e-19	66.7	0.0
WP_027401737.1	NUDIX	1.62e-18	65.2	0.1
WP_027403453.1	NUDIX	2.57e-15	54.8	0.0
WP_235334582.1	NUDIX	3.13e-14	51.3	0.0
WP_039201941.1	NUDIX	2.50e-11	41.9	0.0
WP_039201845.1	Biotin_lipoyl	6.45e-27	91.4	1.7
WP_039201426.1	Biotin_lipoyl	1.86e-17	61.1	0.8
WP_039203671.1	Biotin_lipoyl	5.23e-08	30.8	0.0
WP_039204174.1	Biotin_lipoyl	1.79e-07	29.1	0.2
WP_039204155.1	Biotin_lipoyl	1.71e-06	26.0	0.6
WP_039199448.1	ECH_1	1.34e-75	252.1	0.0
WP_039205205.1	Nitroreductase	3.83e-34	116.4	0.0
WP_039199348.1	Nitroreductase	1.13e-33	114.9	0.1
WP_039203645.1	Nitroreductase	2.16e-13	48.9	0.2
WP_039203821.1	FAD_binding_2	7.50e-119	395.7	4.5
WP_039204627.1	FAD_binding_2	2.60e-93	311.6	2.7
WP_039201284.1	FAD_binding_2	1.55e-08	32.4	0.3
WP_039205352.1	FAD_binding_2	3.11e-07	28.1	0.1
WP_039201276.1	FAD_binding_2	3.63e-07	27.9	0.3
WP_039203997.1	FAD_binding_2	4.20e-07	27.7	0.0
WP_039200098.1	FAD_binding_2	1.20e-06	26.2	3.1
WP_039200933.1	Carboxyl_trans	3.22e-21	73.7	0.0
WP_039202861.1	Carboxyl_trans	4.59e-12	43.5	0.1
WP_039203761.1	B12-binding	9.61e-21	72.0	0.0
WP_039205312.1	B12-binding	7.84e-14	49.7	0.0
WP_039205337.1	B12-binding	4.13e-09	34.5	0.0
WP_039200677.1	Biotin_carb_C	4.99e-43	143.8	0.0
WP_039200677.1	CPSase_L_D2	9.20e-88	291.4	0.0
WP_039203813.1	CPSase_L_D2	5.12e-10	37.4	0.0
WP_039205196.1	CPSase_L_D2	2.45e-08	31.9	0.0
WP_039202743.1	CPSase_L_D2	2.06e-06	25.6	1.1
WP_039200764.1	CPSase_L_D2	2.91e-06	25.1	0.0
