# target_name	query_name	e_value	score	bias
WP_011124607.1	adh_short	3.11e-67	222.6	7.0
WP_011124689.1	adh_short	7.92e-47	156.0	0.0
WP_011124941.1	adh_short	1.01e-39	132.9	0.0
WP_011125687.1	adh_short	8.26e-35	116.8	0.0
WP_011124862.1	adh_short	9.03e-27	90.6	0.0
WP_011124697.1	adh_short	9.49e-20	67.7	0.0
WP_011124943.1	adh_short	1.37e-16	57.4	0.0
WP_011124469.1	adh_short	8.01e-16	54.9	0.0
WP_011125465.1	adh_short	1.59e-11	40.8	0.0
WP_011125770.1	Lyase_1	8.47e-97	321.1	0.1
WP_011124167.1	Lyase_1	3.08e-79	263.4	0.0
WP_011125769.1	Lyase_1	1.22e-58	195.7	0.0
WP_011124229.1	Biotin_carb_N	1.04e-47	158.0	0.0
WP_225866391.1	NUDIX	2.63e-18	63.1	0.0
WP_011124472.1	NUDIX	6.11e-15	52.2	0.0
WP_036892082.1	Biotin_lipoyl	9.97e-24	79.8	0.5
WP_011124556.1	Biotin_lipoyl	4.93e-19	64.8	0.2
WP_011125205.1	ECH_1	1.12e-68	228.0	0.0
WP_011124274.1	FAD_binding_2	1.19e-88	294.9	3.2
WP_011124851.1	FAD_binding_2	3.43e-60	201.1	0.0
WP_011124206.1	FAD_binding_2	1.90e-10	37.3	0.4
WP_011124531.1	FAD_binding_2	4.89e-10	35.9	0.0
WP_011124394.1	FAD_binding_2	1.71e-09	34.1	2.6
WP_011125523.1	FAD_binding_2	2.77e-08	30.1	2.3
WP_011124674.1	FAD_binding_2	3.57e-07	26.5	1.7
WP_011125869.1	FAD_binding_2	8.31e-07	25.3	2.2
WP_011124737.1	FAD_binding_2	1.92e-06	24.1	1.9
WP_011124722.1	FAD_binding_2	3.60e-06	23.2	7.1
WP_011125397.1	FAD_binding_2	3.67e-06	23.1	2.9
WP_011124291.1	FAD_binding_2	4.60e-06	22.8	0.2
WP_011125011.1	Carboxyl_trans	4.03e-21	71.9	0.0
WP_011124688.1	Carboxyl_trans	1.23e-13	47.2	0.5
WP_011125111.1	B12-binding	2.05e-20	69.6	0.0
WP_011124229.1	Biotin_carb_C	1.82e-43	143.8	0.0
WP_011125049.1	CPSase_L_D2	4.34e-108	356.4	0.0
WP_011124229.1	CPSase_L_D2	4.88e-82	271.3	0.0
WP_011125336.1	CPSase_L_D2	2.22e-11	40.4	0.0
WP_011125572.1	CPSase_L_D2	3.05e-10	36.7	0.0
WP_011125160.1	CPSase_L_D2	1.05e-08	31.7	0.0
WP_011125531.1	CPSase_L_D2	5.54e-08	29.3	0.0
WP_011124851.1	Succ_DH_flav_C	2.18e-31	105.3	0.0
WP_011124274.1	Succ_DH_flav_C	3.22e-09	33.6	0.1
WP_011124688.1	ACCA	1.93e-139	460.9	0.0
WP_011125770.1	FumaraseC_C	2.45e-20	69.5	0.0
WP_011124852.1	Fer2_3	8.78e-23	77.2	0.9
WP_011125411.1	Fer2_3	5.47e-06	23.2	0.8
WP_011124852.1	Fer4_8	6.06e-09	33.1	4.1
WP_011124338.1	Fer4_8	3.51e-07	27.5	8.9
WP_011124338.1	Fer4_10	1.30e-10	37.9	17.6
WP_011125087.1	Fer4_10	1.92e-10	37.3	19.6
WP_011125916.1	Fer4_10	2.75e-09	33.6	14.8
WP_011124162.1	Fer4_10	2.88e-06	24.0	5.9
WP_011125916.1	Fer4_17	1.93e-08	31.5	9.5
WP_011124852.1	Fer4_17	2.00e-06	25.1	5.0
WP_413315576.1	Fer4_17	7.95e-06	23.2	7.0
WP_011124469.1	adh_short_C2	3.14e-82	272.4	0.0
WP_011124607.1	adh_short_C2	2.93e-66	220.2	5.9
WP_011124689.1	adh_short_C2	5.59e-36	121.1	0.0
WP_011124941.1	adh_short_C2	3.56e-29	98.8	0.0
WP_011124862.1	adh_short_C2	3.37e-22	76.0	0.0
WP_011125687.1	adh_short_C2	2.23e-19	66.7	0.0
WP_011124697.1	adh_short_C2	3.71e-08	30.0	0.0
WP_011124943.1	adh_short_C2	4.40e-08	29.7	0.0
WP_011125465.1	adh_short_C2	6.42e-06	22.7	0.0
WP_011124389.1	Glyoxalase_4	3.22e-10	37.1	0.0
