EC_number,Status,Protein_names,Total_Pfam_domains,Found_Pfam_domains,Total_hits,Unique_proteins_with_hits
4.2.1.153,NOT_FOUND,Mesaconyl-C(4)-CoA hydratase; Unknown,2,0,0,0
6.4.1.2,FULLY_FOUND,Unknown; acetyl-CoA carboxylase,7,7,230,10
4.2.1.116,FULLY_FOUND,Unknown,1,1,50,2
6.2.1.36,NOT_FOUND,Unknown,1,0,0,0
4.2.1.2,PARTIALLY_FOUND,"Fumarate hydratase class I, aerobic; Fumarate hydratase class II 2; Fumarate hydratase class I, anaerobic; Fumarase D; Fumarate hydratase class II 1; Fumarate hydratase class II",5,2,88,3
1.3.1.84,NOT_FOUND,Probable acrylyl-CoA reductase AcuI; Unknown; Acrylyl-CoA reductase AcuI,2,0,0,0
1.1.1.298,PARTIALLY_FOUND,Probable malonic semialdehyde reductase RutE; NADP-dependent 3-hydroxy acid dehydrogenase YdfG,2,1,72,12
5.1.99.1,FULLY_FOUND,methylmalonyl-CoA epimerase; Ethylmalonyl-CoA/methylmalonyl-CoA epimerase,1,1,25,1
4.1.3.25,FULLY_FOUND,L-malyl-CoA/beta-methylmalyl-CoA lyase; Unknown; Malyl-CoA/beta-methylmalyl-CoA/citramalyl-CoA lyase,1,1,25,1
5.4.1.3,NOT_FOUND,2-methylfumaryl-CoA isomerase; Unknown,2,0,0,0
1.2.1.75,FULLY_FOUND,Unknown,2,2,54,12
6.4.1.3,PARTIALLY_FOUND,Propionyl-CoA carboxylase beta chain; Biotin carboxylase; Putative propionyl-CoA carboxylase beta chain; Propionyl-CoA carboxylase alpha chain,7,5,182,9
1.3.5.1,FULLY_FOUND,Succinate dehydrogenase iron-sulfur subunit; Succinate dehydrogenase flavoprotein subunit; Fumarate reductase iron-sulfur subunit; Fumarate reductase flavoprotein subunit,6,6,145,14
5.4.99.2,PARTIALLY_FOUND,Methylmalonyl-CoA mutase large subunit; Methylmalonyl-CoA mutase small subunit; Probable methylmalonyl-CoA mutase small subunit; Probable methylmalonyl-CoA mutase large subunit; Methylmalonyl-CoA mutase,2,1,26,2
4.1.3.24,FULLY_FOUND,L-malyl-CoA/beta-methylmalyl-CoA lyase; Malyl-CoA/beta-methylmalyl-CoA/citramalyl-CoA lyase,1,1,25,1
4.2.1.148,PARTIALLY_FOUND,Unknown; Beta-methylmalyl-CoA dehydratase; Mesaconyl-CoA hydratase,4,1,4,1
