# target_name	query_name	e_value	score	bias
WP_006278496.1	adh_short	8.86e-70	231.8	8.0
WP_006276487.1	adh_short	4.51e-61	203.4	3.7
WP_006276866.1	adh_short	1.44e-48	162.6	0.1
WP_006276682.1	adh_short	1.46e-42	143.0	0.0
WP_006278820.1	adh_short	2.91e-38	129.0	0.0
WP_006276413.1	adh_short	1.55e-22	77.7	0.0
WP_040009970.1	adh_short	2.21e-22	77.2	0.0
WP_006276839.1	adh_short	2.87e-16	57.2	0.0
WP_006276841.1	adh_short	1.46e-14	51.7	0.0
WP_006277773.1	adh_short	3.52e-13	47.2	1.1
WP_040008736.1	adh_short	2.11e-12	44.6	0.0
WP_006278291.1	adh_short	6.71e-12	43.0	0.1
WP_006276842.1	adh_short	2.22e-11	41.3	0.1
WP_006278887.1	adh_short	1.47e-09	35.3	0.1
WP_065180000.1	adh_short	5.67e-07	26.9	0.2
WP_006276587.1	adh_short	5.83e-06	23.6	0.0
WP_006278216.1	ADH_zinc_N	4.68e-25	85.7	0.0
WP_006278853.1	ADH_zinc_N	2.83e-23	80.0	0.0
WP_040009923.1	ADH_zinc_N	7.07e-14	49.6	0.5
WP_040008736.1	Thiolase_N	7.00e-08	29.8	0.1
WP_006276069.1	Thiolase_N	1.97e-07	28.4	0.5
WP_096543529.1	Lyase_1	3.41e-88	293.7	0.0
WP_006276552.1	Lyase_1	1.76e-75	252.0	0.0
WP_006277977.1	Lyase_1	6.51e-60	200.8	0.0
WP_006275705.1	Biotin_carb_N	9.82e-47	155.7	0.2
WP_071985343.1	NUDIX	3.07e-23	80.0	0.0
WP_006276737.1	NUDIX	1.08e-20	71.8	0.0
WP_006278462.1	NUDIX	1.57e-20	71.2	0.3
WP_006276438.1	NUDIX	4.55e-13	47.1	0.0
WP_006278700.1	NUDIX	2.54e-12	44.6	0.0
WP_006277511.1	NUDIX	2.89e-10	38.0	0.0
WP_006278262.1	NUDIX	8.50e-10	36.5	0.0
WP_006276250.1	Biotin_lipoyl	3.89e-26	88.4	0.6
WP_040007998.1	Biotin_lipoyl	4.19e-18	62.7	0.8
WP_006275889.1	Biotin_lipoyl	1.65e-07	28.7	1.5
WP_006276660.1	Biotin_lipoyl	2.51e-06	25.0	0.1
WP_006276140.1	Biotin_lipoyl	3.79e-06	24.4	0.1
WP_006278636.1	Biotin_lipoyl	6.55e-06	23.6	0.3
WP_065179888.1	Biotin_lipoyl	6.88e-06	23.6	3.5
WP_006278256.1	Biotin_lipoyl	9.72e-06	23.1	0.5
WP_006277396.1	ECH_1	3.47e-74	247.0	0.0
WP_006276484.1	Nitroreductase	9.15e-34	114.7	0.0
WP_099046613.1	Nitroreductase	1.09e-20	72.2	0.4
WP_006276098.1	FAD_binding_2	2.30e-115	383.8	3.3
WP_040008376.1	FAD_binding_2	1.01e-89	299.3	1.5
WP_006278090.1	FAD_binding_2	1.34e-23	81.5	6.1
WP_006277451.1	FAD_binding_2	5.62e-11	39.9	5.3
WP_006277623.1	FAD_binding_2	3.23e-09	34.1	0.4
WP_006277631.1	FAD_binding_2	1.03e-08	32.5	0.1
WP_006276197.1	FAD_binding_2	2.28e-08	31.3	1.3
WP_006276633.1	FAD_binding_2	7.70e-08	29.6	0.5
WP_006275633.1	FAD_binding_2	1.17e-07	29.0	0.1
WP_006277300.1	FAD_binding_2	5.48e-07	26.8	1.2
WP_006278188.1	FAD_binding_2	5.99e-07	26.7	0.4
WP_006278060.1	FAD_binding_2	1.83e-06	25.1	0.4
WP_006277021.1	FAD_binding_2	6.56e-06	23.2	2.3
WP_006276218.1	FAD_binding_2	7.35e-06	23.1	1.7
WP_006276581.1	Carboxyl_trans	5.58e-24	82.3	0.0
WP_006276488.1	Carboxyl_trans	4.50e-14	49.6	0.4
WP_040008579.1	B12-binding	4.26e-22	75.9	0.0
WP_006275777.1	B12-binding	7.70e-21	71.9	0.0
WP_006276124.1	B12-binding	1.06e-12	45.6	0.0
