# target_name	query_name	e_value	score	bias
WP_150978554.1	adh_short	3.37e-71	236.7	6.1
WP_150977354.1	adh_short	3.49e-56	187.7	6.9
WP_150977025.1	adh_short	5.96e-55	183.7	0.1
WP_150978216.1	adh_short	4.08e-52	174.5	0.0
WP_150975634.1	adh_short	3.51e-50	168.2	0.2
WP_150976053.1	adh_short	2.14e-49	165.6	0.0
WP_150977749.1	adh_short	1.35e-48	163.0	2.5
WP_150978264.1	adh_short	4.58e-46	154.7	0.0
WP_150977351.1	adh_short	1.95e-45	152.7	0.0
WP_150975169.1	adh_short	1.12e-26	91.5	0.2
WP_150976568.1	adh_short	2.39e-17	61.0	0.0
WP_150976061.1	adh_short	2.30e-16	57.8	0.1
WP_150977348.1	adh_short	3.98e-13	47.2	0.1
WP_150978009.1	adh_short	1.24e-10	39.1	0.0
WP_162561065.1	adh_short	3.19e-08	31.2	0.2
WP_150975563.1	adh_short	7.49e-06	23.5	0.0
WP_150975982.1	ADH_zinc_N	5.31e-28	95.5	0.2
WP_150978151.1	ADH_zinc_N	2.44e-26	90.1	0.0
WP_150977163.1	ADH_zinc_N	5.86e-18	63.0	0.0
WP_150978010.1	ADH_zinc_N	5.98e-12	43.6	0.0
WP_150976090.1	ADH_zinc_N	3.08e-06	25.1	0.1
WP_150977748.1	Thiolase_N	9.87e-81	268.9	0.0
WP_150975910.1	Thiolase_N	8.87e-09	33.0	0.9
WP_150976077.1	Lyase_1	5.30e-100	332.8	0.0
WP_150977676.1	Lyase_1	2.33e-77	258.4	0.0
WP_061433257.1	Lyase_1	2.05e-61	206.0	0.0
WP_150975832.1	Biotin_carb_N	1.96e-46	155.0	0.8
WP_147071025.1	NUDIX	6.17e-23	79.3	0.0
WP_150977363.1	NUDIX	6.30e-21	72.8	0.0
WP_150976619.1	NUDIX	1.29e-19	68.5	0.1
WP_150976381.1	NUDIX	2.05e-17	61.4	0.0
WP_150975282.1	NUDIX	1.18e-16	58.9	0.0
WP_150977642.1	NUDIX	7.20e-14	49.9	0.0
WP_123231020.1	NUDIX	5.68e-12	43.8	0.0
WP_150977916.1	Biotin_lipoyl	1.01e-21	74.5	0.1
WP_150975482.1	Biotin_lipoyl	6.19e-18	62.4	0.5
WP_150977262.1	Biotin_lipoyl	1.31e-06	26.1	9.8
WP_150977270.1	Biotin_lipoyl	8.33e-06	23.5	0.5
WP_016514989.1	ECH_1	7.09e-74	246.2	0.0
WP_150978397.1	Nitroreductase	1.36e-35	121.0	0.0
WP_150977515.1	Nitroreductase	6.55e-31	105.7	0.1
WP_150975364.1	FAD_binding_2	1.04e-113	378.6	1.2
WP_150978696.1	FAD_binding_2	6.33e-97	323.3	0.4
WP_150975214.1	FAD_binding_2	9.11e-10	36.2	2.8
WP_150976471.1	FAD_binding_2	3.52e-09	34.3	2.5
WP_150975812.1	FAD_binding_2	1.75e-07	28.7	4.7
WP_150978294.1	FAD_binding_2	2.09e-07	28.4	0.5
WP_150978478.1	FAD_binding_2	4.45e-07	27.4	0.5
WP_150976560.1	FAD_binding_2	1.02e-06	26.2	0.3
WP_150975442.1	FAD_binding_2	6.73e-06	23.5	1.7
WP_150975249.1	FAD_binding_2	7.01e-06	23.4	0.0
WP_150978023.1	Carboxyl_trans	1.29e-23	81.4	0.0
WP_002737858.1	Carboxyl_trans	1.43e-15	54.8	0.0
WP_150977235.1	B12-binding	4.70e-19	66.4	0.0
WP_150975450.1	B12-binding	6.78e-10	36.8	0.1
WP_150975832.1	Biotin_carb_C	3.63e-44	147.3	0.0
WP_150975814.1	CPSase_L_D2	1.41e-113	375.6	0.0
WP_150975832.1	CPSase_L_D2	1.92e-84	280.4	0.0
WP_150976157.1	CPSase_L_D2	4.73e-10	37.3	0.1
WP_150976530.1	CPSase_L_D2	5.82e-06	23.9	0.0
WP_150975364.1	Succ_DH_flav_C	3.12e-47	157.7	0.0
WP_150978696.1	Succ_DH_flav_C	1.40e-16	58.6	0.2
WP_002737858.1	ACCA	9.30e-143	473.0	0.0
WP_241674051.1	HpcH_HpaI	1.42e-12	45.3	0.4
WP_162561053.1	HpcH_HpaI	4.29e-08	30.7	0.2
WP_150975201.1	HpcH_HpaI	2.80e-06	24.7	0.7
WP_150978151.1	ADH_N	1.97e-29	99.9	0.2
WP_150975982.1	ADH_N	7.90e-24	81.9	0.1
WP_150978010.1	ADH_N	2.91e-17	60.8	0.0
WP_150977163.1	ADH_N	3.18e-14	51.0	0.1
WP_150976077.1	FumaraseC_C	7.02e-21	72.4	0.2
WP_150978046.1	Fer2_3	2.62e-33	112.2	1.5
WP_150977457.1	Fer4_8	1.47e-13	49.1	3.4
WP_150978046.1	Fer4_8	2.85e-11	41.8	6.5
WP_150977400.1	Fer4_8	1.64e-09	36.1	5.3
WP_002734546.1	Fer4_8	2.27e-07	29.3	8.1
WP_002767981.1	Fer4_8	4.45e-06	25.1	9.9
WP_002767981.1	Fer4_10	6.26e-11	40.0	16.4
WP_002739790.1	Fer4_10	1.44e-09	35.7	7.7
WP_002734546.1	Fer4_10	1.86e-09	35.3	23.2
WP_150975819.1	Fer4_10	4.87e-09	34.0	5.1
WP_150977400.1	Fer4_10	6.18e-09	33.7	21.6
WP_150977457.1	Fer4_10	9.43e-09	33.1	16.1
WP_002764973.1	Fer4_10	1.12e-08	32.8	15.4
WP_150977457.1	Fer4_17	4.42e-10	38.0	3.9
WP_002767981.1	Fer4_17	4.05e-07	28.5	3.3
WP_002764973.1	Fer4_17	5.38e-07	28.1	13.1
WP_150976296.1	Fer4_17	5.41e-07	28.1	7.3
WP_150977400.1	Fer4_17	1.71e-06	26.5	5.8
WP_150975169.1	adh_short_C2	7.40e-89	295.3	0.0
WP_150978554.1	adh_short_C2	4.18e-70	233.9	4.4
WP_150977354.1	adh_short_C2	3.04e-64	214.8	3.3
WP_150977749.1	adh_short_C2	4.07e-51	171.8	0.3
WP_150977351.1	adh_short_C2	7.73e-49	164.3	0.0
WP_150977025.1	adh_short_C2	1.30e-44	150.5	0.2
WP_150975634.1	adh_short_C2	5.13e-37	125.6	0.3
WP_150976053.1	adh_short_C2	1.56e-35	120.8	0.1
WP_150978216.1	adh_short_C2	6.88e-31	105.6	0.0
WP_150978264.1	adh_short_C2	4.61e-26	89.8	0.0
WP_150976061.1	adh_short_C2	8.73e-11	39.8	0.2
WP_150977348.1	adh_short_C2	2.57e-08	31.7	0.0
WP_162561065.1	adh_short_C2	1.10e-07	29.6	0.0
WP_150976568.1	adh_short_C2	7.03e-07	27.0	0.0
WP_150975025.1	Glyoxalase_4	1.20e-11	42.8	0.1
WP_150975633.1	Glyoxalase_4	3.01e-11	41.6	0.0
WP_150978206.1	Glyoxalase_4	1.99e-10	38.9	0.0
WP_150975650.1	Glyoxalase_4	7.01e-08	30.7	0.0
WP_150977935.1	Glyoxalase_4	6.13e-07	27.7	0.0
WP_150977664.1	Glyoxalase_4	2.80e-06	25.6	0.0
