target,EC_number,Protein_Name,Pfam_ID,UniProt_ID,Species,query_hmm,evalue,score
WP_044522156.1,1.1.1.37,Malate dehydrogenase,PF00056,P61889,Escherichia coli (strain K12),Ldh_1_N,6.25e-41,138.2
WP_044522156.1,1.1.1.37,Malate dehydrogenase,PF02866,P61889,Escherichia coli (strain K12),Ldh_1_C,7.17e-35,119.0
WP_010995485.1,1.1.1.41,Unknown,PF00180,A0A0H3J6J9,Clostridium pasteurianum DSM 525 = ATCC 6013,Iso_dh,6.09e-139,461.5
WP_010995995.1,1.1.1.41,Unknown,PF00180,A0A0H3J6J9,Clostridium pasteurianum DSM 525 = ATCC 6013,Iso_dh,2.64e-84,281.8
WP_010995485.1,1.1.1.42,Isocitrate dehydrogenase [NADP],PF00180,P08200,Escherichia coli (strain K12),Iso_dh,6.09e-139,461.5
WP_010995995.1,1.1.1.42,Isocitrate dehydrogenase [NADP],PF00180,P08200,Escherichia coli (strain K12),Iso_dh,2.64e-84,281.8
WP_010996861.1,1.2.4.2,2-oxoglutarate dehydrogenase E1 component,PF00676,P0AFG3,Escherichia coli (strain K12),E1_dh,1.23e-89,298.6
WP_010997495.1,1.2.4.2,2-oxoglutarate dehydrogenase E1 component,PF02779,P0AFG3,Escherichia coli (strain K12),Transket_pyr,5.9e-57,190.5
WP_010994775.1,1.2.4.2,2-oxoglutarate dehydrogenase E1 component,PF02779,P0AFG3,Escherichia coli (strain K12),Transket_pyr,3.76e-48,161.9
WP_010998192.1,1.2.4.2,2-oxoglutarate dehydrogenase E1 component,PF02779,P0AFG3,Escherichia coli (strain K12),Transket_pyr,1.38e-44,150.2
WP_010994299.1,1.2.4.2,2-oxoglutarate dehydrogenase E1 component,PF02779,P0AFG3,Escherichia coli (strain K12),Transket_pyr,1.96e-43,146.5
WP_010998192.1,1.2.4.2,2-oxoglutarate dehydrogenase E1 component,PF00676,P0AFG3,Escherichia coli (strain K12),E1_dh,3.82e-10,37.6
WP_010996018.1,1.2.4.2,2-oxoglutarate dehydrogenase E1 component,PF02779,P0AFG3,Escherichia coli (strain K12),Transket_pyr,8.23e-10,37.0
WP_010998744.1,1.2.7.11,Unknown,PF02775,A0A084J4B3,Bacillus mycoides,TPP_enzyme_C,2.34e-57,191.4
WP_010997705.1,1.2.7.11,Unknown,PF02775,A0A084J4B3,Bacillus mycoides,TPP_enzyme_C,3.62e-48,161.6
WP_044520618.1,1.2.7.11,Unknown,PF02775,A0A084J4B3,Bacillus mycoides,TPP_enzyme_C,7.4e-32,108.7
WP_010996954.1,1.2.7.11,Unknown,PF02775,A0A084J4B3,Bacillus mycoides,TPP_enzyme_C,8.34e-09,33.8
WP_044521124.1,1.2.7.11,Unknown,PF02775,A0A084J4B3,Bacillus mycoides,TPP_enzyme_C,9.32e-09,33.7
WP_010998744.1,1.2.7.3,2-oxoglutarate oxidoreductase subunit KorB,PF02775,O53181,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),TPP_enzyme_C,2.34e-57,191.4
WP_010997705.1,1.2.7.3,2-oxoglutarate oxidoreductase subunit KorB,PF02775,O53181,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),TPP_enzyme_C,3.62e-48,161.6
WP_044520618.1,1.2.7.3,2-oxoglutarate oxidoreductase subunit KorB,PF02775,O53181,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),TPP_enzyme_C,7.4e-32,108.7
WP_010996954.1,1.2.7.3,2-oxoglutarate oxidoreductase subunit KorB,PF02775,O53181,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),TPP_enzyme_C,8.34e-09,33.8
