strain,accession,target_name,target_description,query_name,pfam_id,evalue,score,bias,domain_evalue,domain_score
LG,GCF_047302905.1,WP_011124607.1,MULTISPECIES: 3-oxoacyl-[acyl-carrier-protein] reductase [Prochlorococcus],adh_short,adh_short,3.114198974900979e-67,222.61297607421875,7.0013580322265625,3.994422270247871e-67,222.26022338867188
LG,GCF_047302905.1,WP_011124689.1,MULTISPECIES: SDR family oxidoreductase [Prochlorococcus],adh_short,adh_short,7.926258690205312e-47,156.02957153320312,0.01104736328125,1.0120837993626663e-46,155.68321228027344
LG,GCF_047302905.1,WP_011124941.1,MULTISPECIES: SDR family NAD(P)-dependent oxidoreductase [Prochlorococcus],adh_short,adh_short,1.0056170933143165e-39,132.85145568847656,0.01324462890625,1.2726085578535244e-39,132.5177764892578
LG,GCF_047302905.1,WP_011125687.1,MULTISPECIES: oxidoreductase [Prochlorococcus],adh_short,adh_short,8.268145465425697e-35,116.81400299072266,0.00963592529296875,8.649069170971548e-34,113.48719787597656
LG,GCF_047302905.1,WP_011124862.1,MULTISPECIES: SDR family oxidoreductase [Prochlorococcus],adh_short,adh_short,9.0383089050288e-27,90.58397674560547,0.02153778076171875,1.3519082106796796e-26,90.01341247558594
LG,GCF_047302905.1,WP_011124697.1,MULTISPECIES: protochlorophyllide reductase [Prochlorococcus],adh_short,adh_short,9.495798034034647e-20,67.67316436767578,0.0001068115234375,7.177316643049049e-18,61.543888092041016
LG,GCF_047302905.1,WP_011124943.1,MULTISPECIES: SDR family NAD(P)-dependent oxidoreductase [Prochlorococcus],adh_short,adh_short,1.37504987506864e-16,57.359588623046875,0.000164031982421875,1.0998208536951389e-15,54.413108825683594
LG,GCF_047302905.1,WP_011124469.1,MULTISPECIES: enoyl-ACP reductase FabI [Prochlorococcus],adh_short,adh_short,8.013135667711721e-16,54.86183166503906,0.00328826904296875,1.0558895645938429e-15,54.47087478637695
LG,GCF_047302905.1,WP_011125465.1,MULTISPECIES: UDP-glucose 4-epimerase GalE [Prochlorococcus],adh_short,adh_short,1.5913230003237297e-11,40.83769989013672,0.003864288330078125,2.7713584700185336e-11,40.051536560058594
LG,GCF_047302905.1,WP_011125770.1,MULTISPECIES: class II fumarate hydratase [Prochlorococcus],Lyase_1,Lyase_1,8.470448778791992e-97,321.0612487792969,0.05364990234375,1.0389892053312497e-96,320.7698669433594
