# target_name	query_name	e_value	score	bias
WP_006278496.1	adh_short	7.59e-70	231.8	8.0
WP_006276487.1	adh_short	3.86e-61	203.4	3.7
WP_115538516.1	adh_short	8.26e-52	173.0	0.0
WP_006276866.1	adh_short	1.24e-48	162.6	0.1
WP_115539322.1	adh_short	6.60e-47	157.0	0.0
WP_057178218.1	adh_short	7.61e-43	143.7	0.0
WP_057178739.1	adh_short	4.66e-39	131.4	0.0
WP_057178094.1	adh_short	7.89e-23	78.4	0.0
WP_057178853.1	adh_short	1.35e-22	77.7	0.0
WP_057177849.1	adh_short	1.05e-13	48.7	0.9
WP_236308109.1	adh_short	2.85e-12	44.0	0.1
WP_057176909.1	adh_short	1.29e-09	35.3	0.1
WP_115538845.1	adh_short	3.19e-06	24.2	0.2
WP_057177501.1	adh_short	7.03e-06	23.1	0.1
WP_006278216.1	ADH_zinc_N	4.01e-25	85.7	0.0
WP_115538553.1	ADH_zinc_N	5.43e-23	78.9	0.0
WP_115538977.1	ADH_zinc_N	2.40e-16	57.4	0.7
WP_115538927.1	ADH_zinc_N	1.23e-09	35.7	0.1
WP_057176984.1	Thiolase_N	5.39e-08	30.0	0.4
WP_096543529.1	Lyase_1	2.92e-88	293.7	0.0
WP_057178368.1	Lyase_1	1.26e-75	252.2	0.0
WP_057177333.1	Lyase_1	1.42e-59	199.5	0.0
WP_115538852.1	Biotin_carb_N	7.47e-47	155.9	0.2
WP_071985343.1	NUDIX	2.63e-23	80.0	0.0
WP_006276737.1	NUDIX	9.21e-21	71.8	0.0
WP_006278462.1	NUDIX	1.35e-20	71.2	0.3
WP_115538393.1	NUDIX	2.93e-13	47.5	0.0
WP_006278700.1	NUDIX	2.17e-12	44.6	0.0
WP_057177352.1	NUDIX	2.21e-10	38.2	0.0
WP_006278262.1	NUDIX	7.28e-10	36.5	0.0
WP_006276250.1	Biotin_lipoyl	3.33e-26	88.4	0.6
WP_057178604.1	Biotin_lipoyl	3.56e-18	62.7	0.8
WP_406876544.1	Biotin_lipoyl	7.86e-07	26.4	1.6
WP_406894324.1	Biotin_lipoyl	2.74e-06	24.6	0.3
WP_006276140.1	Biotin_lipoyl	3.25e-06	24.4	0.1
WP_406894246.1	Biotin_lipoyl	4.19e-06	24.0	2.1
WP_006278636.1	Biotin_lipoyl	5.61e-06	23.6	0.3
WP_115539228.1	Biotin_lipoyl	8.42e-06	23.1	0.5
WP_006277396.1	ECH_1	2.97e-74	247.0	0.0
WP_115538069.1	Nitroreductase	7.86e-34	114.7	0.0
WP_406894044.1	Nitroreductase	6.58e-21	72.7	0.5
WP_057176968.1	FAD_binding_2	7.22e-115	381.9	3.1
WP_406876160.1	FAD_binding_2	1.98e-91	304.7	1.4
WP_406894139.1	FAD_binding_2	1.20e-30	104.5	2.4
WP_187705232.1	FAD_binding_2	3.20e-25	86.6	5.0
WP_057177200.1	FAD_binding_2	1.78e-11	41.4	5.9
WP_115538451.1	FAD_binding_2	2.77e-09	34.1	0.4
WP_187705554.1	FAD_binding_2	1.07e-08	32.2	0.0
WP_006276197.1	FAD_binding_2	1.95e-08	31.3	1.3
WP_115538521.1	FAD_binding_2	6.33e-08	29.7	0.3
WP_006275633.1	FAD_binding_2	1.00e-07	29.0	0.1
WP_141303666.1	FAD_binding_2	4.69e-07	26.8	1.2
WP_406894114.1	FAD_binding_2	5.62e-07	26.5	0.3
WP_057179131.1	FAD_binding_2	1.58e-06	25.1	0.4
WP_406886020.1	FAD_binding_2	6.29e-06	23.1	1.7
WP_006276581.1	Carboxyl_trans	4.78e-24	82.3	0.0
WP_057179082.1	Carboxyl_trans	3.00e-14	50.0	0.2
WP_057178195.1	B12-binding	4.92e-23	78.8	0.0
WP_406893967.1	B12-binding	6.06e-21	72.0	0.0
WP_006276124.1	B12-binding	9.07e-13	45.6	0.0
WP_115538852.1	Biotin_carb_C	4.13e-44	146.6	0.0
WP_236107456.1	CPSase_L_D2	2.48e-112	371.0	0.2
WP_115538852.1	CPSase_L_D2	2.59e-87	289.3	0.0
WP_057178476.1	CPSase_L_D2	2.49e-08	31.2	0.1
WP_115539252.1	CPSase_L_D2	1.05e-06	25.9	0.0
