# target_name	query_name	e_value	score	bias
WP_193977080.1	adh_short	3.57e-71	236.8	6.8
WP_002751380.1	adh_short	2.81e-54	181.6	0.1
WP_002777481.1	adh_short	5.51e-53	177.4	0.0
WP_002753728.1	adh_short	1.20e-52	176.3	8.0
WP_002740268.1	adh_short	2.15e-50	169.0	0.3
WP_193977298.1	adh_short	3.36e-49	165.1	2.7
WP_193977929.1	adh_short	2.85e-48	162.0	0.0
WP_002753721.1	adh_short	1.08e-45	153.6	0.0
WP_193977813.1	adh_short	1.36e-45	153.3	0.0
WP_002755610.1	adh_short	3.53e-43	145.4	0.0
WP_002751200.1	adh_short	5.13e-27	92.7	0.0
WP_002740281.1	adh_short	1.84e-26	90.9	0.1
WP_193976999.1	adh_short	3.93e-19	67.0	1.7
WP_002734294.1	adh_short	2.65e-17	61.0	0.0
WP_193976948.1	adh_short	1.90e-16	58.2	0.0
WP_193977931.1	adh_short	1.87e-15	55.0	0.0
WP_322745593.1	adh_short	3.74e-13	47.4	0.0
WP_069473858.1	adh_short	5.16e-11	40.5	0.0
WP_265578852.1	adh_short	6.93e-08	30.3	0.0
WP_190538150.1	ADH_zinc_N	5.73e-28	95.5	0.2
WP_149107105.1	ADH_zinc_N	2.30e-26	90.3	0.0
WP_193978668.1	ADH_zinc_N	4.50e-23	79.7	0.6
WP_193977931.1	ADH_zinc_N	1.20e-16	58.9	0.0
WP_193979026.1	ADH_zinc_N	2.44e-12	45.0	0.0
WP_002750051.1	ADH_zinc_N	4.94e-06	24.6	0.2
WP_149107474.1	Thiolase_N	5.82e-81	269.7	0.0
WP_193978013.1	Thiolase_N	1.37e-09	35.8	0.9
WP_193976949.1	Thiolase_N	9.11e-08	29.8	0.1
WP_193976948.1	Thiolase_N	5.91e-06	23.9	0.0
WP_002750033.1	Lyase_1	9.40e-101	335.4	0.0
WP_193977917.1	Lyase_1	2.56e-77	258.4	0.0
WP_002781633.1	Lyase_1	9.04e-61	204.0	0.0
WP_002751149.1	Biotin_carb_N	1.43e-46	155.6	0.6
WP_193977487.1	NUDIX	3.00e-21	73.9	0.0
WP_002743961.1	NUDIX	9.96e-20	69.0	0.1
WP_069475138.1	NUDIX	3.07e-17	60.9	0.0
WP_002756471.1	NUDIX	5.41e-17	60.1	0.0
WP_004162051.1	NUDIX	3.70e-13	47.7	0.0
WP_193979919.1	NUDIX	1.54e-12	45.7	0.0
WP_193978982.1	NUDIX	1.67e-06	26.2	0.0
WP_004158856.1	Biotin_lipoyl	6.80e-18	62.4	0.5
WP_130756460.1	Biotin_lipoyl	3.12e-07	28.2	0.0
WP_149107073.1	Biotin_lipoyl	4.02e-06	24.7	8.7
WP_002732420.1	ECH_1	7.68e-74	246.2	0.0
WP_002755650.1	Nitroreductase	7.64e-35	118.6	0.0
WP_002751866.1	Nitroreductase	5.79e-31	106.0	0.1
WP_002741314.1	Nitroreductase	6.92e-28	96.0	0.1
WP_002750834.1	Nitroreductase	3.28e-19	67.8	1.1
WP_193978829.1	Nitroreductase	7.22e-17	60.1	0.0
WP_228051473.1	Nitroreductase	1.79e-16	58.9	0.4
WP_193978752.1	FAD_binding_2	1.08e-113	378.7	1.1
WP_193977280.1	FAD_binding_2	1.82e-96	321.9	1.2
WP_193979524.1	FAD_binding_2	1.80e-08	32.1	2.8
WP_002734584.1	FAD_binding_2	1.80e-08	32.1	4.3
WP_002744419.1	FAD_binding_2	2.04e-07	28.6	4.7
WP_002780881.1	FAD_binding_2	2.42e-07	28.3	0.7
WP_193979320.1	FAD_binding_2	7.74e-07	26.7	0.7
WP_149106624.1	FAD_binding_2	2.20e-06	25.2	0.6
WP_193976943.1	FAD_binding_2	3.85e-06	24.4	0.0
WP_002735781.1	FAD_binding_2	5.30e-06	23.9	1.1
WP_149107427.1	Carboxyl_trans	1.48e-23	81.3	0.0
WP_002737858.1	Carboxyl_trans	1.54e-15	54.8	0.0
WP_193978891.1	B12-binding	1.34e-19	68.2	0.0
WP_002737603.1	B12-binding	2.45e-11	41.6	0.0
WP_024969022.1	B12-binding	7.39e-10	36.8	0.1
WP_002751149.1	Biotin_carb_C	3.86e-44	147.3	0.0
WP_130758157.1	CPSase_L_D2	4.92e-112	370.6	0.0
WP_002751149.1	CPSase_L_D2	1.54e-83	277.5	0.0
WP_002775606.1	CPSase_L_D2	3.30e-10	37.9	0.1
WP_193977179.1	CPSase_L_D2	6.90e-06	23.8	0.0
WP_193978752.1	Succ_DH_flav_C	3.37e-47	157.7	0.0
WP_193977280.1	Succ_DH_flav_C	1.60e-15	55.3	0.0
WP_002737858.1	ACCA	1.00e-142	473.0	0.0
WP_193977000.1	HpcH_HpaI	1.64e-12	45.2	0.3
WP_002775421.1	HpcH_HpaI	1.20e-06	26.0	1.0
WP_149107105.1	ADH_N	1.62e-29	100.3	0.2
WP_190538150.1	ADH_N	4.45e-24	82.8	0.1
WP_193979026.1	ADH_N	2.68e-17	61.0	0.0
WP_193977931.1	ADH_N	1.58e-10	39.3	0.5
WP_193978668.1	ADH_N	1.39e-06	26.6	0.3
WP_002750033.1	FumaraseC_C	8.80e-21	72.2	0.2
WP_002732817.1	Fer2_3	2.29e-33	112.5	1.5
WP_002753310.1	Fer4_8	1.62e-13	49.1	3.4
WP_002732817.1	Fer4_8	3.08e-11	41.8	6.5
WP_193979189.1	Fer4_8	1.73e-09	36.2	5.3
