# target_name	query_name	e_value	score	bias
WP_011243157.1	adh_short	3.63e-68	226.2	6.0
WP_011242343.1	adh_short	1.49e-55	185.0	0.1
WP_011242366.1	adh_short	8.09e-51	169.6	0.0
WP_011243836.1	adh_short	3.02e-30	102.4	0.0
WP_272912065.1	adh_short	7.32e-21	71.8	0.1
WP_011243913.1	adh_short	1.85e-20	70.5	0.0
WP_011378442.1	adh_short	8.77e-20	68.3	0.0
WP_011242991.1	adh_short	2.08e-09	34.4	0.0
WP_011243371.1	ADH_zinc_N	7.04e-26	88.0	0.0
WP_011243608.1	ADH_zinc_N	3.69e-23	79.2	0.0
WP_011242415.1	Thiolase_N	8.86e-08	29.1	0.9
WP_011242850.1	Lyase_1	6.18e-109	361.4	0.0
WP_011243939.1	Lyase_1	2.32e-75	251.1	0.0
WP_041676984.1	Lyase_1	2.92e-62	208.1	0.0
WP_011242491.1	Biotin_carb_N	1.65e-46	154.6	2.0
WP_011244596.1	NUDIX	2.02e-25	86.6	0.0
WP_011243168.1	NUDIX	3.54e-21	72.9	0.2
WP_011244138.1	NUDIX	2.66e-20	70.1	0.8
WP_011243618.1	NUDIX	2.10e-19	67.2	0.0
WP_011243771.1	NUDIX	4.53e-14	49.9	0.1
WP_011243856.1	Biotin_lipoyl	1.63e-24	82.8	0.0
WP_011242793.1	Biotin_lipoyl	6.78e-18	61.6	0.3
WP_011242729.1	Biotin_lipoyl	9.61e-06	22.7	1.6
WP_041676962.1	ECH_1	8.49e-74	245.3	0.0
WP_011244739.1	Nitroreductase	7.49e-21	72.3	0.6
WP_050738293.1	FAD_binding_2	9.00e-95	315.5	1.3
WP_011243196.1	FAD_binding_2	2.51e-50	169.1	1.3
WP_011244678.1	FAD_binding_2	2.97e-12	43.7	3.4
WP_011242722.1	FAD_binding_2	1.30e-10	38.3	1.1
WP_011243456.1	FAD_binding_2	4.95e-09	33.1	3.0
WP_011242618.1	FAD_binding_2	1.01e-08	32.1	4.1
WP_011244229.1	FAD_binding_2	3.50e-08	30.3	0.2
WP_011242885.1	FAD_binding_2	6.84e-08	29.3	11.5
WP_011244336.1	FAD_binding_2	9.04e-08	29.0	1.8
WP_011242908.1	FAD_binding_2	1.65e-07	28.1	0.4
WP_011242665.1	FAD_binding_2	3.78e-07	26.9	5.8
WP_011242552.1	FAD_binding_2	6.99e-07	26.0	0.1
WP_011243397.1	FAD_binding_2	7.14e-07	26.0	0.7
WP_011242603.1	FAD_binding_2	1.02e-06	25.5	0.1
WP_011244807.1	FAD_binding_2	1.73e-06	24.7	2.3
WP_011243324.1	FAD_binding_2	3.01e-06	23.9	0.1
WP_407830100.1	FAD_binding_2	3.53e-06	23.7	1.4
WP_011243993.1	FAD_binding_2	4.67e-06	23.3	4.5
WP_011243685.1	FAD_binding_2	6.44e-06	22.8	0.7
WP_011244449.1	Carboxyl_trans	1.47e-21	73.9	0.0
WP_011242365.1	Carboxyl_trans	1.02e-11	41.4	0.2
WP_011242498.1	B12-binding	4.75e-19	65.7	0.4
WP_011242392.1	B12-binding	2.96e-13	47.0	0.1
WP_011242491.1	Biotin_carb_C	5.31e-42	139.6	0.0
WP_011243131.1	CPSase_L_D2	6.35e-113	372.7	0.5
WP_011242491.1	CPSase_L_D2	6.98e-86	284.4	0.0
WP_011244040.1	CPSase_L_D2	1.18e-12	45.1	0.0
WP_011243247.1	CPSase_L_D2	4.95e-09	33.3	0.0
WP_011242929.1	CPSase_L_D2	3.69e-08	30.4	0.1
WP_011242442.1	CPSase_L_D2	7.55e-07	26.1	0.0
WP_011243196.1	Succ_DH_flav_C	1.87e-32	109.3	0.1
WP_050738293.1	Succ_DH_flav_C	2.34e-17	60.4	0.2
WP_011242365.1	ACCA	3.33e-143	473.7	0.0
WP_011243371.1	ADH_N	6.75e-25	84.7	3.4
WP_011243608.1	ADH_N	1.39e-19	67.6	0.1
WP_011242850.1	FumaraseC_C	6.03e-23	78.4	2.1
WP_011244829.1	Fer2_3	5.89e-22	75.0	0.3
WP_011244684.1	Fer4_8	1.36e-14	51.7	3.0
WP_011244829.1	Fer4_8	2.38e-08	31.7	2.5
WP_011242523.1	Fer4_8	7.82e-08	30.1	8.9
WP_011244031.1	Fer4_8	2.47e-06	25.3	9.2
WP_011378517.1	Fer4_8	4.96e-06	24.3	11.1
WP_011244684.1	Fer4_10	1.68e-10	38.0	3.1
WP_011242523.1	Fer4_10	5.53e-10	36.4	8.5
WP_011244031.1	Fer4_10	1.99e-09	34.6	7.3
WP_011243298.1	Fer4_10	3.61e-09	33.7	14.6
WP_011244273.1	Fer4_10	6.10e-09	33.0	10.3
WP_011243037.1	Fer4_10	8.93e-09	32.5	10.2
WP_011378517.1	Fer4_10	2.32e-07	28.0	6.1
WP_011244684.1	Fer4_17	4.74e-10	37.2	2.7
WP_011243298.1	Fer4_17	1.90e-07	28.9	12.6
WP_272912065.1	adh_short_C2	4.74e-83	275.6	0.0
WP_011243157.1	adh_short_C2	3.17e-69	230.4	11.0
WP_011242343.1	adh_short_C2	3.69e-63	210.5	0.0
WP_011242366.1	adh_short_C2	4.35e-42	141.6	0.1
WP_011243836.1	adh_short_C2	9.61e-24	81.5	0.0
WP_011378442.1	adh_short_C2	1.29e-13	48.4	0.0
WP_011243913.1	adh_short_C2	1.03e-11	42.1	0.0
WP_011243199.1	Glyoxalase_4	1.05e-09	35.9	0.0
WP_011377628.1	Glyoxalase_4	1.66e-09	35.3	0.0
WP_011242427.1	Glyoxalase_4	4.85e-07	27.3	0.0
