# target_name	query_name	e_value	score	bias
WP_002782849.1	adh_short	1.81e-72	240.6	5.9
WP_151697261.1	adh_short	5.34e-55	183.6	0.1
WP_151695403.1	adh_short	3.98e-53	177.5	0.0
WP_151694731.1	adh_short	1.86e-49	165.5	0.3
WP_151696289.1	adh_short	2.85e-49	164.9	2.7
WP_151695973.1	adh_short	5.09e-44	147.8	0.0
WP_002740281.1	adh_short	1.40e-26	90.9	0.1
WP_151696612.1	adh_short	5.15e-26	89.0	0.1
WP_151694755.1	adh_short	4.74e-18	63.0	0.0
WP_151695346.1	adh_short	6.48e-11	39.8	0.0
WP_151697129.1	adh_short	1.29e-06	25.7	0.0
WP_238707333.1	adh_short	1.39e-06	25.6	0.0
WP_151697014.1	ADH_zinc_N	2.91e-28	96.1	0.2
WP_151696468.1	ADH_zinc_N	1.65e-26	90.4	0.0
WP_151695094.1	ADH_zinc_N	5.06e-23	79.2	0.6
WP_151695345.1	ADH_zinc_N	1.52e-12	45.3	0.0
WP_151696288.1	Thiolase_N	1.18e-81	271.6	0.0
WP_151695470.1	Thiolase_N	2.54e-09	34.5	0.5
WP_151695446.1	Lyase_1	7.98e-100	331.9	0.0
WP_151694936.1	Lyase_1	2.07e-77	258.3	0.0
WP_151697208.1	Lyase_1	1.67e-61	206.0	0.0
WP_151696102.1	Biotin_carb_N	1.78e-46	154.9	0.6
WP_151694935.1	NUDIX	1.20e-23	81.3	0.0
WP_151695136.1	NUDIX	3.77e-22	76.4	0.0
WP_151695391.1	NUDIX	8.96e-20	68.8	0.0
WP_002746036.1	NUDIX	2.57e-17	60.8	0.0
WP_151696500.1	NUDIX	2.95e-17	60.6	0.1
WP_151696642.1	NUDIX	9.88e-14	49.2	0.0
WP_151696229.1	NUDIX	5.95e-12	43.4	0.0
WP_151695093.1	Biotin_lipoyl	1.31e-22	77.1	0.1
WP_151695611.1	Biotin_lipoyl	5.23e-18	62.4	0.5
WP_151697018.1	Biotin_lipoyl	3.07e-06	24.7	0.4
WP_151697162.1	Biotin_lipoyl	7.69e-06	23.4	0.3
WP_151697240.1	Biotin_lipoyl	8.45e-06	23.3	0.7
WP_151694994.1	ECH_1	7.58e-73	242.6	0.0
WP_151694854.1	Nitroreductase	2.51e-35	119.8	0.0
WP_151696132.1	Nitroreductase	4.45e-31	106.0	0.1
WP_151696709.1	FAD_binding_2	2.41e-114	380.4	1.1
WP_151695958.1	FAD_binding_2	7.25e-98	326.1	0.7
