# target_name	query_name	e_value	score	bias
WP_011132089.1	adh_short	1.31e-67	223.9	2.6
WP_011132170.1	adh_short	4.46e-47	156.9	0.0
WP_011132266.1	adh_short	3.50e-37	124.6	0.0
WP_011132995.1	adh_short	2.60e-36	121.7	0.0
WP_011132328.1	adh_short	2.93e-25	85.7	0.0
WP_011132177.1	adh_short	4.16e-22	75.4	0.0
WP_011131919.1	adh_short	3.98e-18	62.4	0.0
WP_011132050.1	adh_short	2.78e-17	59.6	0.0
WP_011132268.1	adh_short	4.99e-17	58.8	0.0
WP_011132113.1	adh_short	1.11e-07	28.3	0.0
WP_011132843.1	adh_short	1.96e-07	27.5	0.0
WP_011132835.1	adh_short	1.53e-06	24.6	0.0
WP_011132868.1	ADH_zinc_N	2.23e-25	85.9	0.0
WP_011133094.1	Lyase_1	8.43e-94	311.2	0.0
WP_011131650.1	Lyase_1	4.66e-71	236.5	0.0
WP_011133093.1	Lyase_1	1.06e-51	172.9	0.0
WP_011131698.1	Biotin_carb_N	2.18e-48	160.1	0.2
WP_011131923.1	NUDIX	5.71e-15	52.3	0.0
WP_011131665.1	Biotin_lipoyl	3.69e-20	68.4	0.0
WP_011132041.1	Biotin_lipoyl	1.70e-19	66.3	0.2
WP_011132242.1	ECH_1	1.31e-67	224.5	0.0
WP_011131738.1	FAD_binding_2	8.36e-87	288.8	0.1
WP_011131685.1	FAD_binding_2	1.44e-11	41.0	0.0
WP_011131850.1	FAD_binding_2	5.18e-10	35.8	1.5
WP_011133004.1	FAD_binding_2	1.53e-09	34.3	0.9
WP_011132932.1	FAD_binding_2	6.60e-09	32.2	6.9
WP_011132155.1	FAD_binding_2	1.17e-08	31.4	0.0
WP_011132282.1	FAD_binding_2	3.62e-07	26.5	1.3
WP_036930937.1	FAD_binding_2	7.52e-07	25.4	0.3
WP_036930317.1	FAD_binding_2	9.91e-07	25.0	4.9
WP_011132418.1	Carboxyl_trans	2.17e-20	69.5	0.1
WP_011132169.1	Carboxyl_trans	1.66e-12	43.5	0.1
WP_011132510.1	B12-binding	5.22e-22	74.8	0.0
WP_011131698.1	Biotin_carb_C	6.49e-44	145.3	0.0
WP_011132459.1	CPSase_L_D2	4.11e-107	353.3	0.0
WP_011131698.1	CPSase_L_D2	1.74e-84	279.3	0.2
WP_011132940.1	CPSase_L_D2	7.66e-08	28.9	0.1
WP_011132636.1	CPSase_L_D2	1.32e-06	24.8	0.0
WP_011131738.1	Succ_DH_flav_C	4.23e-10	36.5	0.2
WP_011132169.1	ACCA	5.40e-139	459.4	0.0
WP_011132868.1	ADH_N	9.79e-16	54.7	0.3
WP_011133094.1	FumaraseC_C	1.42e-18	63.9	0.5
WP_011132795.1	Fer2_3	2.15e-06	24.5	0.6
WP_011131798.1	Fer4_8	3.58e-07	27.5	8.9
WP_011131798.1	Fer4_10	5.28e-11	39.1	16.8
WP_007099573.1	Fer4_10	2.70e-09	33.7	14.9
WP_007099573.1	Fer4_17	1.61e-08	31.8	9.5
WP_011131919.1	adh_short_C2	2.59e-83	276.0	0.0
WP_011132089.1	adh_short_C2	6.25e-67	222.4	0.6
WP_011132170.1	adh_short_C2	6.81e-36	120.8	0.0
WP_011132266.1	adh_short_C2	8.91e-27	90.9	0.0
WP_011132328.1	adh_short_C2	1.20e-18	64.3	0.0
WP_011132995.1	adh_short_C2	1.78e-17	60.5	0.0
WP_011132050.1	adh_short_C2	8.41e-13	45.2	0.0
WP_011132177.1	adh_short_C2	2.06e-09	34.1	0.0
WP_011132287.1	Glyoxalase_4	5.62e-11	39.5	0.0
