strain,accession,target_name,target_description,query_name,pfam_id,evalue,score,bias,domain_evalue,domain_score
XMU1402,GCF_017696205.1,WP_209116608.1,3-oxoacyl-[acyl-carrier-protein] reductase [Prochlorococcus marinus],adh_short,adh_short,2.384382016667272e-67,223.01332092285156,1.6472625732421875,2.813618462421922e-67,222.77874755859375
XMU1402,GCF_017696205.1,WP_209116755.1,SDR family oxidoreductase [Prochlorococcus marinus],adh_short,adh_short,2.0212156922227105e-50,167.77687072753906,0.0028839111328125,2.4491488271025226e-50,167.50473022460938
XMU1402,GCF_017696205.1,WP_209116926.1,SDR family NAD(P)-dependent oxidoreductase [Prochlorococcus marinus],adh_short,adh_short,3.1832402030779394e-37,124.71452331542969,0.00142669677734375,3.7302493488006317e-37,124.48980712890625
XMU1402,GCF_017696205.1,WP_209118530.1,oxidoreductase [Prochlorococcus marinus],adh_short,adh_short,8.527697179820278e-36,120.05511474609375,0.07057952880859375,5.594847893396234e-35,117.389404296875
XMU1402,GCF_017696205.1,WP_209117055.1,SDR family oxidoreductase [Prochlorococcus marinus],adh_short,adh_short,2.5271646682267478e-26,89.14884185791016,0.01000213623046875,3.7973942392785255e-26,88.57177734375
XMU1402,GCF_017696205.1,WP_209116768.1,SDR family NAD(P)-dependent oxidoreductase [Prochlorococcus marinus],adh_short,adh_short,4.3164114598191176e-23,78.60130310058594,0.00604248046875,1.8223638317913415e-19,66.7713394165039
XMU1402,GCF_017696205.1,WP_209116768.1,SDR family NAD(P)-dependent oxidoreductase [Prochlorococcus marinus],adh_short,adh_short,4.3164114598191176e-23,78.60130310058594,0.00604248046875,0.05603118893379741,9.709064483642578
XMU1402,GCF_017696205.1,WP_209116537.1,SDR family NAD(P)-dependent oxidoreductase [Prochlorococcus marinus],adh_short,adh_short,5.716425207778367e-18,61.888328552246094,0.00104522705078125,3.9528234904233354e-17,59.148136138916016
XMU1402,GCF_017696205.1,WP_209116397.1,enoyl-ACP reductase FabI [Prochlorococcus marinus],adh_short,adh_short,5.7408366159310335e-18,61.88228988647461,0.000995635986328125,7.582836198497438e-18,61.487937927246094
XMU1402,GCF_017696205.1,WP_209116931.1,SDR family NAD(P)-dependent oxidoreductase [Prochlorococcus marinus],adh_short,adh_short,2.764107186242273e-16,56.39207077026367,0.00742340087890625,3.605650048671812e-14,49.48947525024414
