# target_name	query_name	e_value	score	bias
WP_006278496.1	adh_short	7.97e-70	231.8	8.0
WP_006276487.1	adh_short	4.06e-61	203.4	3.7
WP_006276866.1	adh_short	1.30e-48	162.6	0.1
WP_141303960.1	adh_short	1.01e-47	159.7	0.0
WP_006276682.1	adh_short	1.32e-42	143.0	0.0
WP_057178739.1	adh_short	4.90e-39	131.4	0.0
WP_057178094.1	adh_short	8.29e-23	78.4	0.0
WP_057178853.1	adh_short	1.41e-22	77.7	0.0
WP_057177849.1	adh_short	1.10e-13	48.7	0.9
WP_141303758.1	adh_short	4.99e-12	43.3	0.1
WP_341273475.1	adh_short	2.70e-10	37.6	0.0
WP_057176909.1	adh_short	1.36e-09	35.3	0.1
WP_141303933.1	adh_short	5.97e-07	26.7	0.2
WP_141303959.1	adh_short	3.36e-06	24.2	0.0
WP_141303194.1	adh_short	6.72e-06	23.3	0.0
WP_006278216.1	ADH_zinc_N	4.21e-25	85.7	0.0
WP_115538553.1	ADH_zinc_N	5.70e-23	78.9	0.0
WP_141303883.1	ADH_zinc_N	3.02e-16	57.1	0.6
WP_057176984.1	Thiolase_N	5.66e-08	30.0	0.4
WP_141303682.1	Lyase_1	3.12e-88	293.7	0.0
WP_057178368.1	Lyase_1	1.32e-75	252.2	0.0
WP_057177333.1	Lyase_1	1.49e-59	199.5	0.0
WP_006275705.1	Biotin_carb_N	8.84e-47	155.7	0.2
WP_177169499.1	NUDIX	2.13e-23	80.4	0.0
WP_006276737.1	NUDIX	9.68e-21	71.8	0.0
WP_006278462.1	NUDIX	1.41e-20	71.2	0.3
WP_057178868.1	NUDIX	3.08e-13	47.5	0.0
WP_006278700.1	NUDIX	2.28e-12	44.6	0.0
WP_057177352.1	NUDIX	2.32e-10	38.2	0.0
WP_141302824.1	NUDIX	7.71e-10	36.5	0.0
WP_006276250.1	Biotin_lipoyl	3.50e-26	88.4	0.6
WP_057178604.1	Biotin_lipoyl	3.74e-18	62.7	0.8
WP_141303539.1	Biotin_lipoyl	2.04e-07	28.3	1.0
WP_141303784.1	Biotin_lipoyl	2.88e-06	24.6	0.3
WP_006276140.1	Biotin_lipoyl	3.41e-06	24.4	0.1
WP_141303614.1	Biotin_lipoyl	4.46e-06	24.0	2.1
WP_141303241.1	Biotin_lipoyl	5.79e-06	23.7	0.3
WP_141302832.1	Biotin_lipoyl	9.00e-06	23.0	0.5
WP_057177232.1	ECH_1	1.15e-74	248.4	0.0
