# target_name	query_name	e_value	score	bias
WP_002775997.1	adh_short	1.93e-71	237.5	6.2
WP_190538073.1	adh_short	2.83e-54	181.4	0.1
WP_002777481.1	adh_short	4.86e-53	177.4	0.0
WP_002740268.1	adh_short	1.90e-50	169.0	0.3
WP_002751543.1	adh_short	2.96e-49	165.1	2.7
WP_271935679.1	adh_short	6.62e-44	147.6	0.0
WP_271937777.1	adh_short	2.61e-43	145.7	0.0
WP_016517237.1	adh_short	6.25e-40	134.6	0.0
WP_002740281.1	adh_short	1.62e-26	90.9	0.1
WP_271938428.1	adh_short	2.55e-24	83.7	0.0
WP_002750789.1	adh_short	1.37e-18	65.0	1.9
WP_002734294.1	adh_short	2.34e-17	61.0	0.0
WP_271937315.1	adh_short	3.07e-16	57.3	0.0
WP_271937657.1	adh_short	4.29e-16	56.9	0.0
WP_271939642.1	adh_short	2.21e-11	41.5	0.0
WP_271936169.1	adh_short	8.81e-11	39.5	0.0
WP_271938436.1	adh_short	6.32e-09	33.5	0.1
WP_104398183.1	ADH_zinc_N	5.06e-28	95.5	0.2
WP_271937231.1	ADH_zinc_N	2.00e-26	90.4	0.0
WP_271938920.1	ADH_zinc_N	5.64e-23	79.2	0.6
WP_271937657.1	ADH_zinc_N	1.12e-16	58.8	0.0
WP_069473857.1	ADH_zinc_N	8.05e-13	46.4	0.0
WP_103111538.1	ADH_zinc_N	3.62e-06	24.9	0.2
WP_271938883.1	Thiolase_N	3.03e-81	270.5	0.0
WP_271938428.1	Thiolase_N	8.16e-11	39.6	3.7
WP_069474581.1	Thiolase_N	1.32e-09	35.7	0.6
WP_271937314.1	Thiolase_N	7.90e-08	29.9	0.1
WP_271937315.1	Thiolase_N	5.23e-06	23.9	0.0
WP_002750033.1	Lyase_1	8.30e-101	335.4	0.0
WP_002735516.1	Lyase_1	2.04e-77	258.5	0.0
WP_002735353.1	Lyase_1	7.95e-61	204.0	0.0
WP_002751149.1	Biotin_carb_N	1.26e-46	155.6	0.6
WP_271935952.1	NUDIX	3.14e-23	80.1	0.0
WP_016516443.1	NUDIX	9.99e-21	72.0	0.0
WP_002739488.1	NUDIX	8.80e-20	69.0	0.1
WP_190538254.1	NUDIX	6.81e-17	59.6	0.0
WP_002737562.1	NUDIX	7.89e-17	59.4	0.0
WP_271935963.1	NUDIX	1.23e-12	45.9	0.0
WP_271935318.1	NUDIX	3.87e-12	44.2	0.0
WP_002733878.1	Biotin_lipoyl	2.46e-22	76.4	0.1
WP_103111219.1	Biotin_lipoyl	5.98e-18	62.4	0.5
WP_194013288.1	Biotin_lipoyl	2.94e-07	28.1	0.0
WP_016516963.1	Biotin_lipoyl	3.55e-06	24.7	8.7
WP_271939572.1	Biotin_lipoyl	9.50e-06	23.3	0.3
WP_016514989.1	ECH_1	6.77e-74	246.2	0.0
WP_271937746.1	Nitroreductase	5.59e-35	118.9	0.0
WP_002751866.1	Nitroreductase	5.11e-31	106.0	0.1
WP_002734614.1	Nitroreductase	6.11e-28	96.0	0.1
WP_016515431.1	Nitroreductase	2.89e-19	67.8	1.1
WP_002734415.1	FAD_binding_2	9.63e-114	378.6	1.2
WP_002775901.1	FAD_binding_2	3.68e-97	324.0	1.0
WP_271939263.1	FAD_binding_2	5.78e-10	36.8	3.3
WP_002773540.1	FAD_binding_2	2.89e-09	34.5	0.1
WP_271938444.1	FAD_binding_2	1.59e-08	32.1	4.3
WP_002744419.1	FAD_binding_2	1.80e-07	28.6	4.7
WP_271937962.1	FAD_binding_2	1.86e-07	28.5	0.5
WP_002744950.1	FAD_binding_2	2.06e-07	28.4	0.7
WP_271938511.1	FAD_binding_2	3.22e-06	24.5	1.1
WP_271935287.1	FAD_binding_2	4.63e-06	23.9	0.0
WP_271935821.1	FAD_binding_2	4.68e-06	23.9	1.1
WP_002734108.1	Carboxyl_trans	1.68e-23	80.9	0.0
WP_002737858.1	Carboxyl_trans	1.36e-15	54.8	0.0
WP_271935562.1	B12-binding	1.36e-19	68.1	0.0
WP_271939320.1	B12-binding	9.70e-12	42.7	0.0
WP_271936443.1	B12-binding	3.93e-10	37.5	0.0
WP_271937250.1	B12-binding	6.43e-10	36.8	0.1
WP_002751149.1	Biotin_carb_C	3.41e-44	147.3	0.0
WP_103112486.1	CPSase_L_D2	1.00e-111	369.4	0.0
WP_002751149.1	CPSase_L_D2	1.36e-83	277.5	0.0
WP_149107716.1	CPSase_L_D2	3.08e-10	37.8	0.1
WP_271937385.1	CPSase_L_D2	5.98e-06	23.8	0.0
WP_002734415.1	Succ_DH_flav_C	2.68e-47	157.9	0.0
WP_002775901.1	Succ_DH_flav_C	3.98e-16	57.1	0.0
WP_002737858.1	ACCA	8.87e-143	473.0	0.0
WP_271935096.1	HpcH_HpaI	1.77e-12	44.9	0.2
WP_103111588.1	HpcH_HpaI	1.02e-06	26.1	1.0
WP_271937231.1	ADH_N	1.21e-29	100.5	0.3
WP_104398183.1	ADH_N	1.88e-24	83.8	0.1
WP_271938920.1	ADH_N	3.93e-20	70.0	0.4
WP_069473857.1	ADH_N	3.65e-18	63.6	0.0
WP_271937657.1	ADH_N	1.16e-10	39.5	0.5
WP_002750033.1	FumaraseC_C	7.77e-21	72.2	0.2
WP_271935202.1	Fer2_3	1.06e-33	113.4	0.8
WP_271938500.1	Fer4_8	1.40e-13	49.1	3.4
WP_271935202.1	Fer4_8	3.20e-11	41.5	6.7
WP_271935887.1	Fer4_8	1.56e-09	36.1	5.3
WP_002794250.1	Fer4_8	2.16e-07	29.3	8.1
WP_002739790.1	Fer4_10	1.37e-09	35.7	7.7
WP_002794250.1	Fer4_10	1.78e-09	35.3	23.2
WP_002734319.1	Fer4_10	3.16e-09	34.5	28.0
WP_271935887.1	Fer4_10	5.89e-09	33.7	21.6
WP_016516721.1	Fer4_10	7.22e-09	33.4	5.5
WP_271938500.1	Fer4_10	9.00e-09	33.1	16.1
WP_271938500.1	Fer4_17	4.22e-10	38.0	3.9
WP_002734319.1	Fer4_17	2.98e-07	28.8	13.1
WP_271936869.1	Fer4_17	3.13e-07	28.8	6.7
WP_271935887.1	Fer4_17	1.45e-06	26.6	5.6
WP_002740281.1	adh_short_C2	1.56e-88	294.2	0.0
WP_002775997.1	adh_short_C2	3.82e-70	234.0	4.7
WP_002751543.1	adh_short_C2	6.53e-52	174.3	0.4
WP_190538073.1	adh_short_C2	3.59e-44	149.0	0.2
WP_002740268.1	adh_short_C2	5.37e-37	125.5	0.4
WP_271937777.1	adh_short_C2	9.61e-37	124.7	0.0
WP_002777481.1	adh_short_C2	7.70e-32	108.6	0.0
WP_016517237.1	adh_short_C2	2.96e-29	100.2	0.4
WP_271935679.1	adh_short_C2	4.04e-25	86.6	0.0
WP_002750789.1	adh_short_C2	2.62e-24	84.0	0.9
WP_271938428.1	adh_short_C2	3.17e-16	57.5	0.0
WP_271937657.1	adh_short_C2	1.70e-13	48.6	0.0
WP_271937315.1	adh_short_C2	7.27e-10	36.7	0.0
WP_271939642.1	adh_short_C2	3.08e-09	34.7	0.0
WP_002734294.1	adh_short_C2	7.18e-07	26.9	0.0
WP_271938436.1	adh_short_C2	8.70e-07	26.6	0.2
WP_271936717.1	Glyoxalase_4	5.37e-11	40.7	0.0
WP_002738911.1	Glyoxalase_4	6.26e-09	34.0	0.0
WP_002780396.1	Glyoxalase_4	6.00e-08	30.9	0.0
WP_271936086.1	Glyoxalase_4	3.66e-07	28.3	0.0
