strain,accession,target_name,target_description,query_name,pfam_id,evalue,score,bias,domain_evalue,domain_score
MIT_0919,GCF_027359375.1,WP_036901232.1,MULTISPECIES: 3-oxoacyl-[acyl-carrier-protein] reductase [Prochlorococcus],adh_short,adh_short,1.9079743457545433e-68,226.54562377929688,5.4420928955078125,2.247040005904338e-68,226.31382751464844
MIT_0919,GCF_027359375.1,WP_036901169.1,MULTISPECIES: SDR family oxidoreductase [Prochlorococcus],adh_short,adh_short,2.3234773880588155e-46,154.48092651367188,0.00274658203125,2.9068660362335915e-46,154.16348266601562
MIT_0919,GCF_027359375.1,WP_036903288.1,MULTISPECIES: SDR family NAD(P)-dependent oxidoreductase [Prochlorococcus],adh_short,adh_short,3.081587119499057e-36,121.45099639892578,0.004119873046875,3.7455799787211195e-36,121.17447662353516
MIT_0919,GCF_027359375.1,WP_036900340.1,MULTISPECIES: oxidoreductase [Prochlorococcus],adh_short,adh_short,6.776685033451602e-34,113.80831146240234,0.0652008056640625,9.396281726001509e-33,110.08219146728516
MIT_0919,GCF_027359375.1,WP_036900305.1,MULTISPECIES: SDR family oxidoreductase [Prochlorococcus],adh_short,adh_short,5.087795740895259e-25,84.84771728515625,0.0181121826171875,7.54274411343867e-25,84.28974914550781
MIT_0919,GCF_027359375.1,WP_036901163.1,MULTISPECIES: protochlorophyllide reductase [Prochlorococcus],adh_short,adh_short,1.1533106443705593e-18,64.11013793945312,0.00026702880859375,5.494277361672454e-16,55.37200164794922
MIT_0919,GCF_027359375.1,WP_036901163.1,MULTISPECIES: protochlorophyllide reductase [Prochlorococcus],adh_short,adh_short,1.1533106443705593e-18,64.11013793945312,0.00026702880859375,0.4848612787401372,6.604501247406006
MIT_0919,GCF_027359375.1,WP_052043067.1,MULTISPECIES: SDR family NAD(P)-dependent oxidoreductase [Prochlorococcus],adh_short,adh_short,1.66222313131298e-18,63.5921630859375,0.000152587890625,1.3174043746015823e-17,60.65864944458008
MIT_0919,GCF_027359375.1,WP_036901357.1,MULTISPECIES: enoyl-ACP reductase FabI [Prochlorococcus],adh_short,adh_short,2.953954357102918e-16,56.25139617919922,0.00324249267578125,3.8812671642039e-16,55.864505767822266
MIT_0919,GCF_027359375.1,WP_036902439.1,MULTISPECIES: UDP-glucose 4-epimerase GalE [Prochlorococcus],adh_short,adh_short,1.7491391290499958e-08,30.890165328979492,0.02597808837890625,2.4974691381776736e-08,30.385461807250977
MIT_0919,GCF_027359375.1,WP_036902424.1,MULTISPECIES: NAD-dependent epimerase/dehydratase family protein [Prochlorococcus],adh_short,adh_short,2.5165821511503433e-07,27.11168098449707,0.019021987915039062,7.644472492291217e-06,22.274198532104492
MIT_0919,GCF_027359375.1,WP_036901269.1,"MULTISPECIES: UDP-N-acetylglucosamine 4,6-dehydratase (inverting) [Prochlorococcus]",adh_short,adh_short,4.910422418691408e-07,26.164413452148438,0.06209564208984375,9.079693794459134e-07,25.293354034423828
MIT_0919,GCF_027359375.1,WP_036901748.1,MULTISPECIES: potassium channel family protein [Prochlorococcus],adh_short,adh_short,4.563889036081785e-06,23.005146026611328,0.05297660827636719,9.327295904157928e-06,21.992250442504883
MIT_0919,GCF_027359375.1,WP_036901653.1,MULTISPECIES: beta-ketoacyl-ACP synthase III [Prochlorococcus],Thiolase_N,Thiolase_N,4.633169476218577e-06,22.91815757751465,0.009952545166015625,1.3113390042925619e-05,21.43723487854004
MIT_0919,GCF_027359375.1,WP_036900781.1,MULTISPECIES: beta-ketoacyl-ACP synthase II [Prochlorococcus],Thiolase_N,Thiolase_N,5.256659819296255e-06,22.73844337463379,2.3046817779541016,0.0013573528041711902,14.833022117614746
MIT_0919,GCF_027359375.1,WP_036900781.1,MULTISPECIES: beta-ketoacyl-ACP synthase II [Prochlorococcus],Thiolase_N,Thiolase_N,5.256659819296255e-06,22.73844337463379,2.3046817779541016,0.27784222594020064,7.258232593536377
MIT_0919,GCF_027359375.1,WP_036900548.1,MULTISPECIES: class II fumarate hydratase [Prochlorococcus],Lyase_1,Lyase_1,3.500607299084021e-98,325.5819396972656,0.00811767578125,4.459082852130856e-98,325.2366943359375
MIT_0919,GCF_027359375.1,WP_036901016.1,MULTISPECIES: argininosuccinate lyase [Prochlorococcus],Lyase_1,Lyase_1,1.5895093651104003e-77,257.7262878417969,3.0517578125e-05,1.9644781942057917e-77,257.42413330078125
MIT_0919,GCF_027359375.1,WP_036900546.1,MULTISPECIES: adenylosuccinate lyase [Prochlorococcus],Lyase_1,Lyase_1,5.467000390201409e-55,183.6971893310547,0.0193939208984375,7.598505119958045e-55,183.22752380371094
MIT_0919,GCF_027359375.1,WP_036901784.1,MULTISPECIES: acetyl-CoA carboxylase biotin carboxylase subunit [Prochlorococcus],Biotin_carb_N,Biotin_carb_N,2.3418867049771404e-47,156.790283203125,0.083282470703125,8.990492422006538e-47,154.9097900390625
MIT_0919,GCF_027359375.1,WP_081934256.1,MULTISPECIES: 8-oxo-dGTP diphosphatase MutT [Prochlorococcus],NUDIX,NUDIX,1.0646529185872354e-14,51.40226364135742,0.0081939697265625,1.7572484021279487e-14,50.697837829589844
MIT_0919,GCF_027359375.1,WP_036901352.1,MULTISPECIES: NUDIX hydrolase [Prochlorococcus],NUDIX,NUDIX,1.3593773884354214e-11,41.34809494018555,0.00439453125,1.7163971415856814e-11,41.02027130126953
MIT_0919,GCF_027359375.1,WP_036901851.1,MULTISPECIES: acetyl-CoA carboxylase biotin carboxyl carrier protein [Prochlorococcus],Biotin_lipoyl,Biotin_lipoyl,3.8328008993761147e-23,77.90672302246094,0.18572235107421875,5.584923627293161e-23,77.38287353515625
MIT_0919,GCF_027359375.1,WP_036901275.1,MULTISPECIES: dihydrolipoamide acetyltransferase family protein [Prochlorococcus],Biotin_lipoyl,Biotin_lipoyl,5.162994671454264e-18,61.472412109375,0.21206283569335938,1.2730972818961039e-17,60.216590881347656
MIT_0919,GCF_027359375.1,WP_269607944.1,efflux RND transporter periplasmic adaptor subunit [Prochlorococcus marinus],Biotin_lipoyl,Biotin_lipoyl,2.829601155843387e-06,23.861770629882812,0.0707855224609375,0.00019428083233713483,17.977054595947266
MIT_0919,GCF_027359375.1,WP_036902729.1,"MULTISPECIES: 1,4-dihydroxy-2-naphthoyl-CoA synthase [Prochlorococcus]",ECH_1,ECH_1,1.8007090634252127e-69,230.60191345214844,0.0004425048828125,2.143366135552929e-69,230.3540802001953
MIT_0919,GCF_027359375.1,WP_036901718.1,MULTISPECIES: L-aspartate oxidase [Prochlorococcus],FAD_binding_2,FAD_binding_2,5.345220846938372e-89,295.974853515625,1.697540283203125,6.560759677907742e-89,295.6817321777344
MIT_0919,GCF_027359375.1,WP_036902333.1,MULTISPECIES: dihydrolipoyl dehydrogenase [Prochlorococcus],FAD_binding_2,FAD_binding_2,1.4386939795488895e-10,37.63233184814453,2.4793052673339844,1.3162552828600283e-06,24.583871841430664
MIT_0919,GCF_027359375.1,WP_036902333.1,MULTISPECIES: dihydrolipoyl dehydrogenase [Prochlorococcus],FAD_binding_2,FAD_binding_2,1.4386939795488895e-10,37.63233184814453,2.4793052673339844,0.04523486216665983,9.642190933227539
MIT_0919,GCF_027359375.1,WP_036901497.1,MULTISPECIES: NAD(P)/FAD-dependent oxidoreductase [Prochlorococcus],FAD_binding_2,FAD_binding_2,2.438345388284945e-10,36.87760543823242,2.231525421142578,4.584899711457791e-08,29.38644790649414
MIT_0919,GCF_027359375.1,WP_036901806.1,MULTISPECIES: NAD(P)/FAD-dependent oxidoreductase [Prochlorococcus],FAD_binding_2,FAD_binding_2,2.568474099389308e-09,33.50930404663086,0.17339706420898438,0.020336275878664867,10.785847663879395
MIT_0919,GCF_027359375.1,WP_036901806.1,MULTISPECIES: NAD(P)/FAD-dependent oxidoreductase [Prochlorococcus],FAD_binding_2,FAD_binding_2,2.568474099389308e-09,33.50930404663086,0.17339706420898438,2.8714543634953358e-05,20.174091339111328
MIT_0919,GCF_027359375.1,WP_036903244.1,MULTISPECIES: GMC oxidoreductase [Prochlorococcus],FAD_binding_2,FAD_binding_2,6.468907382661335e-09,32.18792724609375,3.1477203369140625,3.318396795248893e-05,19.967145919799805
MIT_0919,GCF_027359375.1,WP_036903244.1,MULTISPECIES: GMC oxidoreductase [Prochlorococcus],FAD_binding_2,FAD_binding_2,6.468907382661335e-09,32.18792724609375,3.1477203369140625,0.07349641776692308,8.947854995727539
