# target_name	query_name	e_value	score	bias
WP_209042147.1	adh_short	2.03e-67	223.2	2.1
WP_209042286.1	adh_short	8.22e-50	165.8	0.0
WP_209042453.1	adh_short	1.30e-35	119.4	0.0
WP_209043486.1	adh_short	1.50e-35	119.2	0.0
WP_209042720.1	adh_short	1.10e-24	83.8	0.0
WP_209042295.1	adh_short	1.59e-23	80.0	0.0
WP_209042072.1	adh_short	2.22e-18	63.2	0.0
WP_209042530.1	adh_short	3.75e-18	62.5	0.0
WP_209042457.1	adh_short	1.02e-15	54.5	0.0
WP_209043368.1	adh_short	3.64e-09	33.1	0.0
WP_209042183.1	adh_short	2.99e-07	26.9	0.3
WP_209043565.1	Lyase_1	5.56e-92	305.2	0.0
WP_209041309.1	Lyase_1	1.21e-72	241.7	0.0
WP_209043564.1	Lyase_1	6.17e-52	173.7	0.0
WP_209041427.1	Biotin_carb_N	1.27e-47	157.7	0.2
WP_209041817.1	NUDIX	2.71e-14	50.1	0.0
WP_209041350.1	Biotin_lipoyl	1.55e-22	76.0	0.2
WP_209042053.1	Biotin_lipoyl	1.93e-19	66.1	0.2
WP_209042410.1	ECH_1	1.18e-67	224.7	0.0
WP_209041492.1	FAD_binding_2	1.44e-87	291.3	0.4
WP_209041691.1	FAD_binding_2	2.22e-11	40.3	0.7
WP_209041399.1	FAD_binding_2	3.58e-11	39.6	0.0
WP_209043430.1	FAD_binding_2	8.24e-10	35.2	3.9
WP_209043491.1	FAD_binding_2	2.98e-09	33.3	0.7
WP_209042259.1	FAD_binding_2	2.86e-08	30.1	0.0
WP_209041901.1	FAD_binding_2	1.86e-07	27.4	0.2
WP_209043311.1	FAD_binding_2	1.51e-06	24.4	1.8
WP_209043656.1	FAD_binding_2	3.03e-06	23.4	3.4
WP_209043221.1	FAD_binding_2	3.81e-06	23.1	3.4
WP_209042482.1	FAD_binding_2	4.26e-06	22.9	2.1
WP_209042865.1	Carboxyl_trans	5.48e-21	71.5	0.1
WP_209042284.1	Carboxyl_trans	1.12e-11	40.8	0.0
WP_209042915.1	B12-binding	2.24e-20	69.5	0.0
WP_209043596.1	B12-binding	8.84e-07	25.6	0.0
WP_209041427.1	Biotin_carb_C	3.57e-44	146.1	0.0
WP_209043071.1	CPSase_L_D2	9.41e-108	355.3	0.0
WP_209041427.1	CPSase_L_D2	3.16e-85	281.7	0.2
WP_209043437.1	CPSase_L_D2	3.18e-09	33.4	0.1
WP_209043111.1	CPSase_L_D2	1.61e-06	24.5	0.0
WP_209041492.1	Succ_DH_flav_C	2.13e-12	43.9	0.2
WP_209042284.1	ACCA	3.09e-140	463.5	0.0
WP_209043565.1	FumaraseC_C	3.41e-18	62.6	0.2
WP_209043319.1	Fer2_3	5.77e-06	23.1	0.8
WP_209041599.1	Fer4_8	3.38e-07	27.5	8.9
WP_209041599.1	Fer4_10	7.15e-11	38.7	17.3
WP_007099573.1	Fer4_10	2.66e-09	33.7	14.9
WP_007099573.1	Fer4_17	1.58e-08	31.8	9.5
WP_209042530.1	adh_short_C2	2.08e-83	276.3	0.0
WP_209042147.1	adh_short_C2	3.37e-66	220.0	0.5
WP_209042286.1	adh_short_C2	8.92e-38	126.9	0.0
WP_209042453.1	adh_short_C2	9.69e-24	81.0	0.0
WP_209042720.1	adh_short_C2	1.88e-19	67.0	0.0
WP_209043486.1	adh_short_C2	9.11e-17	58.2	0.0
WP_209042072.1	adh_short_C2	4.35e-13	46.1	0.0
WP_209042295.1	adh_short_C2	5.96e-11	39.1	0.0
WP_209042490.1	Glyoxalase_4	2.53e-13	47.1	0.0
