# target_name	query_name	e_value	score	bias
WP_011817965.1	adh_short	1.03e-67	224.1	1.6
WP_032523673.1	adh_short	3.22e-48	160.5	0.0
WP_032524942.1	adh_short	1.40e-35	119.3	0.0
WP_032523759.1	adh_short	3.41e-35	118.0	0.0
WP_032524251.1	adh_short	2.39e-28	95.7	0.0
WP_032523794.1	adh_short	1.67e-21	73.4	0.0
WP_032524039.1	adh_short	3.93e-18	62.4	0.0
WP_032524129.1	adh_short	3.68e-17	59.2	0.0
WP_032523761.1	adh_short	1.16e-15	54.3	0.0
WP_032524727.1	adh_short	3.95e-08	29.7	0.2
WP_032524180.1	adh_short	4.59e-08	29.5	0.2
WP_032524709.1	adh_short	2.73e-06	23.7	0.1
WP_032525002.1	Lyase_1	6.51e-94	311.5	0.0
WP_032523803.1	Lyase_1	3.33e-72	240.2	0.0
WP_032525001.1	Lyase_1	3.59e-52	174.4	0.0
WP_025923813.1	Biotin_carb_N	1.27e-47	157.6	0.2
WP_032524042.1	NUDIX	1.16e-14	51.3	0.0
WP_032523817.1	Biotin_lipoyl	9.38e-22	73.4	0.2
WP_032524121.1	Biotin_lipoyl	1.76e-19	66.2	0.2
WP_032523736.1	ECH_1	8.48e-67	221.8	0.0
WP_032523881.1	FAD_binding_2	2.95e-88	293.5	0.2
WP_032523981.1	FAD_binding_2	3.64e-11	39.6	0.9
WP_032523836.1	FAD_binding_2	5.70e-11	38.9	0.0
WP_032524886.1	FAD_binding_2	3.68e-09	33.0	3.6
WP_032524949.1	FAD_binding_2	8.94e-09	31.7	1.5
WP_413355494.1	FAD_binding_2	4.93e-08	29.3	0.0
WP_032523775.1	FAD_binding_2	1.23e-06	24.7	1.7
WP_032524774.1	FAD_binding_2	1.43e-06	24.5	2.8
WP_032524084.1	FAD_binding_2	2.91e-06	23.4	0.2
WP_032524562.1	FAD_binding_2	9.09e-06	21.8	3.6
WP_032525080.1	FAD_binding_2	9.43e-06	21.8	4.2
WP_032524324.1	Carboxyl_trans	5.31e-21	71.5	0.1
WP_032523672.1	Carboxyl_trans	1.06e-11	40.8	0.2
WP_032524451.1	B12-binding	5.89e-20	68.1	0.0
WP_032525032.1	B12-binding	4.45e-07	26.5	0.1
WP_025923813.1	Biotin_carb_C	2.73e-44	146.5	0.0
WP_032524495.1	CPSase_L_D2	2.61e-108	357.1	0.0
WP_025923813.1	CPSase_L_D2	1.73e-85	282.5	0.1
WP_032524894.1	CPSase_L_D2	3.19e-08	30.1	0.1
WP_032524534.1	CPSase_L_D2	1.52e-07	27.9	0.0
WP_032523881.1	Succ_DH_flav_C	2.36e-11	40.5	0.5
WP_032523672.1	ACCA	6.01e-139	459.2	0.0
WP_032525002.1	FumaraseC_C	1.51e-18	63.7	0.2
WP_032524766.1	Fer2_3	7.59e-07	25.9	0.1
WP_032523933.1	Fer4_8	3.29e-07	27.5	8.9
WP_032523933.1	Fer4_10	7.00e-11	38.7	17.3
WP_007099573.1	Fer4_10	2.60e-09	33.7	14.9
WP_007099573.1	Fer4_17	1.55e-08	31.8	9.5
WP_032524039.1	adh_short_C2	3.28e-83	275.6	0.0
WP_011817965.1	adh_short_C2	1.92e-66	220.7	0.4
WP_032523673.1	adh_short_C2	8.97e-37	123.6	0.0
WP_032523759.1	adh_short_C2	1.36e-24	83.7	0.0
WP_032524251.1	adh_short_C2	1.65e-22	76.9	0.0
WP_032524942.1	adh_short_C2	7.07e-17	58.5	0.0
WP_032524129.1	adh_short_C2	1.15e-11	41.4	0.0
WP_032523794.1	adh_short_C2	6.78e-11	38.9	0.0
WP_032523761.1	adh_short_C2	2.71e-06	23.9	0.0
WP_032523778.1	Glyoxalase_4	4.23e-10	36.7	0.0
