strain,accession,target_name,target_description,query_name,pfam_id,evalue,score,bias,domain_evalue,domain_score
MU1402,GCF_019325055.1,WP_209116608.1,3-oxoacyl-[acyl-carrier-protein] reductase [Prochlorococcus marinus],adh_short,adh_short,2.3679641320186097e-67,223.01332092285156,1.6472625732421875,2.794245030212449e-67,222.77874755859375
MU1402,GCF_019325055.1,WP_209116755.1,SDR family oxidoreductase [Prochlorococcus marinus],adh_short,adh_short,2.007298423155499e-50,167.77687072753906,0.0028839111328125,2.4322849845430245e-50,167.50473022460938
MU1402,GCF_019325055.1,WP_209116926.1,SDR family NAD(P)-dependent oxidoreductase [Prochlorococcus marinus],adh_short,adh_short,3.1613217059169153e-37,124.71452331542969,0.00142669677734375,3.704564369174356e-37,124.48980712890625
MU1402,GCF_019325055.1,WP_209118530.1,oxidoreductase [Prochlorococcus marinus],adh_short,adh_short,8.468978925933804e-36,120.05511474609375,0.07057952880859375,5.556324046672637e-35,117.389404296875
MU1402,GCF_019325055.1,WP_209117055.1,SDR family oxidoreductase [Prochlorococcus marinus],adh_short,adh_short,2.5097636403205255e-26,89.14884185791016,0.01000213623046875,3.771246927249595e-26,88.57177734375
MU1402,GCF_019325055.1,WP_209116768.1,SDR family NAD(P)-dependent oxidoreductase [Prochlorococcus marinus],adh_short,adh_short,4.286690406335194e-23,78.60130310058594,0.00604248046875,1.8098157757461682e-19,66.7713394165039
MU1402,GCF_019325055.1,WP_209116768.1,SDR family NAD(P)-dependent oxidoreductase [Prochlorococcus marinus],adh_short,adh_short,4.286690406335194e-23,78.60130310058594,0.00604248046875,0.055645380959147325,9.709064483642578
MU1402,GCF_019325055.1,WP_209116537.1,SDR family NAD(P)-dependent oxidoreductase [Prochlorococcus marinus],adh_short,adh_short,5.677064229123114e-18,61.888328552246094,0.00104522705078125,3.92560595579648e-17,59.148136138916016
MU1402,GCF_019325055.1,WP_209116397.1,enoyl-ACP reductase FabI [Prochlorococcus marinus],adh_short,adh_short,5.701307550249305e-18,61.88228988647461,0.000995635986328125,7.530623872978124e-18,61.487937927246094
MU1402,GCF_019325055.1,WP_209116931.1,SDR family NAD(P)-dependent oxidoreductase [Prochlorococcus marinus],adh_short,adh_short,2.745074668540393e-16,56.39207077026367,0.00742340087890625,3.5808230091417623e-14,49.48947525024414
MU1402,GCF_019325055.1,WP_209116643.1,SDR family oxidoreductase [Prochlorococcus marinus],adh_short,adh_short,4.951080333036519e-08,29.452455520629883,0.017396926879882812,0.00044627130784830315,16.547710418701172
MU1402,GCF_019325055.1,WP_209116643.1,SDR family oxidoreductase [Prochlorococcus marinus],adh_short,adh_short,4.951080333036519e-08,29.452455520629883,0.017396926879882812,0.021188603784364077,11.07731819152832
MU1402,GCF_019325055.1,WP_209118197.1,SDR family NAD(P)-dependent oxidoreductase [Prochlorococcus marinus],adh_short,adh_short,7.812273508379645e-08,28.806133270263672,0.015531539916992188,1.3055245910891003e-07,28.07846450805664
MU1402,GCF_019325055.1,WP_209118182.1,UDP-glucose 4-epimerase GalE [Prochlorococcus marinus],adh_short,adh_short,3.6770538781279974e-06,23.34807777404785,0.03513145446777344,8.118269611596231e-06,22.225732803344727
MU1402,GCF_019325055.1,WP_209118320.1,"dTDP-glucose 4,6-dehydratase [Prochlorococcus marinus]",adh_short,adh_short,7.248457243229547e-06,22.386329650878906,0.00591278076171875,0.0009371547830517758,15.496338844299316
MU1402,GCF_019325055.1,WP_209118228.1,zinc-binding dehydrogenase [Prochlorococcus marinus],ADH_zinc_N,ADH_zinc_N,5.87998859197852e-10,36.015445709228516,0.004878997802734375,1.1146746422090121e-09,35.11722946166992
MU1402,GCF_019325055.1,WP_209118721.1,class II fumarate hydratase [Prochlorococcus marinus],Lyase_1,Lyase_1,4.699520669294096e-96,318.6290588378906,0.011260986328125,5.928531975773453e-96,318.2976379394531
MU1402,GCF_019325055.1,WP_209116159.1,argininosuccinate lyase [Prochlorococcus marinus],Lyase_1,Lyase_1,4.336946825146894e-73,243.19192504882812,0.000701904296875,5.45576950518751e-73,242.86451721191406
MU1402,GCF_019325055.1,WP_209118719.1,adenylosuccinate lyase [Prochlorococcus marinus],Lyase_1,Lyase_1,9.7038472171267e-52,173.06105041503906,0.0157928466796875,1.3397233124129857e-51,172.60093688964844
MU1402,GCF_019325055.1,WP_209116208.1,acetyl-CoA carboxylase biotin carboxylase subunit [Prochlorococcus marinus],Biotin_carb_N,Biotin_carb_N,6.574713481961108e-48,158.60232543945312,0.2425079345703125,1.961825119725912e-47,157.07408142089844
MU1402,GCF_019325055.1,WP_209116401.1,NUDIX hydrolase [Prochlorococcus marinus],NUDIX,NUDIX,7.778804821312554e-14,48.64301300048828,0.017070770263671875,1.208434178355827e-13,48.023765563964844
MU1402,GCF_019325055.1,WP_209116173.1,acetyl-CoA carboxylase biotin carboxyl carrier protein [Prochlorococcus marinus],Biotin_lipoyl,Biotin_lipoyl,1.4704139123817102e-22,76.07194519042969,0.40209197998046875,2.191153114281752e-22,75.51691436767578
MU1402,GCF_019325055.1,WP_209116522.1,dihydrolipoamide acetyltransferase family protein [Prochlorococcus marinus],Biotin_lipoyl,Biotin_lipoyl,1.4447391955903263e-19,66.4845962524414,0.1646270751953125,5.088834636545988e-19,64.73258209228516
MU1402,GCF_019325055.1,WP_209116882.1,"1,4-dihydroxy-2-naphthoyl-CoA synthase [Prochlorococcus marinus]",ECH_1,ECH_1,3.7878927541947765e-67,223.0289764404297,0.0008392333984375,4.7405703888169253e-67,222.7097930908203
MU1402,GCF_019325055.1,WP_209116245.1,L-aspartate oxidase [Prochlorococcus marinus],FAD_binding_2,FAD_binding_2,1.0025890489815681e-87,291.8182678222656,0.18994140625,1.1992771120630328e-87,291.56201171875
MU1402,GCF_019325055.1,WP_209116195.1,glycine oxidase ThiO [Prochlorococcus marinus],FAD_binding_2,FAD_binding_2,2.7586756703689066e-12,43.32598114013672,0.003345489501953125,6.109485709738983e-12,42.188575744628906
MU1402,GCF_019325055.1,WP_209116339.1,NAD(P)/FAD-dependent oxidoreductase [Prochlorococcus marinus],FAD_binding_2,FAD_binding_2,6.460018427361933e-11,38.814842224121094,0.8792800903320312,1.1592579365703657e-07,28.096588134765625
MU1402,GCF_019325055.1,WP_209116339.1,NAD(P)/FAD-dependent oxidoreductase [Prochlorococcus marinus],FAD_binding_2,FAD_binding_2,6.460018427361933e-11,38.814842224121094,0.8792800903320312,0.5197281667212372,6.186731338500977
MU1402,GCF_019325055.1,WP_209118540.1,NAD(P)/FAD-dependent oxidoreductase [Prochlorococcus marinus],FAD_binding_2,FAD_binding_2,2.3815167751134777e-09,33.65451431274414,0.3741950988769531,4.6167511241792245e-08,29.41364288330078
