# target_name	query_name	e_value	score	bias
WP_044522156.1	Ldh_1_N	6.25e-41	138.2	0.1
WP_010995485.1	Iso_dh	6.09e-139	461.5	0.0
WP_010995995.1	Iso_dh	2.64e-84	281.8	0.0
WP_010997755.1	2-oxoacid_dh	3.45e-62	208.3	0.0
WP_010997867.1	Lyase_1	5.93e-91	303.5	0.0
WP_010998028.1	Lyase_1	6.18e-75	250.9	0.0
WP_010997545.1	Lyase_1	1.32e-60	203.8	0.0
WP_010994399.1	Citrate_synt	2.59e-144	479.1	0.0
WP_010995589.1	Aconitase	6.51e-169	561.2	0.0
WP_010995439.1	Aconitase	2.31e-41	140.6	0.0
WP_010999183.1	Biotin_lipoyl	9.12e-26	87.9	0.2
WP_010997755.1	Biotin_lipoyl	1.14e-16	58.8	0.9
WP_010999864.1	Biotin_lipoyl	1.91e-08	32.5	0.9
WP_010996092.1	Biotin_lipoyl	2.04e-07	29.2	1.3
WP_010998378.1	Biotin_lipoyl	2.86e-07	28.7	0.0
WP_044521187.1	Biotin_lipoyl	3.07e-07	28.6	0.3
WP_010997791.1	Biotin_lipoyl	5.42e-07	27.8	0.5
WP_010998418.1	Biotin_lipoyl	1.52e-06	26.4	8.9
WP_010997853.1	Biotin_lipoyl	1.79e-06	26.1	1.3
WP_010999850.1	Biotin_lipoyl	2.91e-06	25.5	0.0
WP_010999428.1	Biotin_lipoyl	5.98e-06	24.5	2.1
WP_044523038.1	Biotin_lipoyl	9.29e-06	23.8	2.7
WP_010998054.1	Ligase_CoA	2.33e-12	45.6	0.0
WP_010996861.1	E1_dh	1.23e-89	298.6	0.0
WP_010998192.1	E1_dh	3.82e-10	37.6	0.0
WP_010998968.1	HMGL-like	4.54e-105	349.1	0.3
WP_010997119.1	HMGL-like	2.82e-79	264.6	3.5
WP_010995579.1	HMGL-like	3.10e-78	261.2	0.3
WP_010997672.1	HMGL-like	7.97e-46	154.9	0.0
WP_010995588.1	Aconitase_C	6.15e-19	67.1	0.0
WP_010997121.1	FAD_binding_2	8.47e-115	382.6	3.2
WP_044522801.1	FAD_binding_2	1.53e-93	312.6	5.3
WP_010996936.1	FAD_binding_2	6.82e-11	40.4	0.5
WP_010995956.1	FAD_binding_2	1.30e-10	39.5	0.6
WP_010997669.1	FAD_binding_2	3.06e-09	34.9	1.6
WP_044522219.1	FAD_binding_2	6.98e-09	33.8	2.3
WP_010997831.1	FAD_binding_2	8.94e-09	33.4	2.0
WP_010996538.1	FAD_binding_2	1.93e-08	32.3	1.5
WP_010996225.1	FAD_binding_2	4.17e-08	31.2	4.3
WP_010999249.1	FAD_binding_2	5.51e-08	30.8	5.1
WP_044522332.1	FAD_binding_2	5.43e-07	27.5	0.7
WP_010996927.1	FAD_binding_2	6.67e-07	27.2	0.1
WP_010995382.1	FAD_binding_2	8.60e-07	26.9	0.1
WP_044520713.1	FAD_binding_2	1.90e-06	25.7	5.5
WP_010996489.1	FAD_binding_2	2.30e-06	25.5	3.7
WP_010999808.1	FAD_binding_2	2.84e-06	25.2	3.7
WP_010997885.1	FAD_binding_2	4.19e-06	24.6	0.2
WP_010998643.1	FAD_binding_2	5.51e-06	24.2	0.1
WP_044522263.1	FAD_binding_2	7.23e-06	23.8	0.1
WP_010998744.1	TPP_enzyme_C	2.34e-57	191.4	0.6
WP_010997705.1	TPP_enzyme_C	3.62e-48	161.6	0.0
WP_044520618.1	TPP_enzyme_C	7.40e-32	108.7	1.1
WP_010996954.1	TPP_enzyme_C	8.34e-09	33.8	0.1
WP_044521124.1	TPP_enzyme_C	9.32e-09	33.7	0.0
WP_010997495.1	Transket_pyr	5.90e-57	190.5	0.0
WP_010994775.1	Transket_pyr	3.76e-48	161.9	0.1
WP_010998192.1	Transket_pyr	1.38e-44	150.2	0.8
WP_010994299.1	Transket_pyr	1.96e-43	146.5	0.0
WP_010996018.1	Transket_pyr	8.23e-10	37.0	0.0
WP_010997755.1	E3_binding	2.01e-15	55.1	0.2
WP_010999094.1	Pyr_redox_dim	3.20e-36	122.3	1.3
