# target_name	query_name	e_value	score	bias
WP_002766731.1	adh_short	9.82e-72	238.6	5.9
WP_052275369.1	adh_short	3.24e-56	187.9	7.2
WP_052277267.1	adh_short	1.63e-55	185.6	0.2
WP_052276824.1	adh_short	2.04e-53	178.8	0.0
WP_151696289.1	adh_short	3.65e-49	164.9	2.7
WP_052276701.1	adh_short	4.53e-49	164.6	0.5
WP_185237607.1	adh_short	6.44e-46	154.3	0.1
WP_185236806.1	adh_short	1.07e-45	153.6	0.0
WP_002799931.1	adh_short	4.82e-43	144.9	0.0
WP_052278238.1	adh_short	2.89e-26	90.2	0.2
WP_185237540.1	adh_short	1.09e-23	81.8	0.0
WP_052278280.1	adh_short	3.42e-19	67.1	1.9
WP_002765916.1	adh_short	1.74e-17	61.5	0.0
WP_185237858.1	adh_short	3.53e-17	60.5	0.0
WP_185237201.1	adh_short	1.81e-15	55.0	0.0
WP_185237610.1	adh_short	5.30e-15	53.4	0.0
WP_185236803.1	adh_short	1.23e-13	49.0	0.1
WP_072923415.1	adh_short	2.87e-13	47.8	0.0
WP_052275516.1	adh_short	2.00e-10	38.5	0.0
WP_185237542.1	adh_short	1.04e-08	32.9	0.1
WP_185237504.1	ADH_zinc_N	5.59e-28	95.5	0.2
WP_052276575.1	ADH_zinc_N	2.62e-26	90.1	0.0
WP_052278344.1	ADH_zinc_N	2.97e-23	80.2	0.8
WP_052275517.1	ADH_zinc_N	6.91e-13	46.7	0.0
WP_052275747.1	ADH_zinc_N	3.97e-06	24.9	0.2
WP_185238057.1	Thiolase_N	1.65e-80	268.2	0.0
WP_185237540.1	Thiolase_N	2.69e-11	41.4	1.7
WP_052277400.1	Thiolase_N	5.17e-09	33.9	0.5
WP_185237857.1	Thiolase_N	8.87e-08	29.8	0.1
WP_185237858.1	Thiolase_N	1.07e-06	26.3	0.0
WP_052278381.1	Lyase_1	8.40e-101	335.5	0.0
WP_185236771.1	Lyase_1	8.07e-78	260.0	0.0
WP_072925413.1	Lyase_1	2.34e-61	205.9	0.0
WP_052278020.1	Biotin_carb_N	1.48e-46	155.5	0.6
WP_024969269.1	NUDIX	1.89e-23	81.0	0.0
WP_002804545.1	NUDIX	2.24e-21	74.3	0.0
WP_002776703.1	NUDIX	1.36e-19	68.5	0.1
WP_185237997.1	NUDIX	1.32e-17	62.1	0.0
WP_052277210.1	NUDIX	1.87e-16	58.4	0.0
WP_052278070.1	NUDIX	3.29e-14	51.1	0.0
WP_185238007.1	NUDIX	7.54e-12	43.4	0.0
WP_052278345.1	Biotin_lipoyl	1.81e-22	77.0	0.1
WP_185236930.1	Biotin_lipoyl	6.82e-18	62.3	0.5
WP_104397158.1	Biotin_lipoyl	3.06e-07	28.2	0.0
WP_052278300.1	Biotin_lipoyl	2.74e-06	25.2	8.6
WP_052277651.1	Biotin_lipoyl	3.96e-06	24.7	1.6
WP_052277141.1	Biotin_lipoyl	7.03e-06	23.9	0.8
WP_043999569.1	ECH_1	2.41e-74	247.9	0.0
WP_052277556.1	Nitroreductase	6.19e-35	118.9	0.0
WP_052275488.1	Nitroreductase	4.63e-31	106.3	0.1
WP_002741314.1	Nitroreductase	6.75e-28	96.0	0.1
WP_185237671.1	FAD_binding_2	5.57e-114	379.6	1.3
WP_052277563.1	FAD_binding_2	2.24e-96	321.6	1.1
WP_052275856.1	FAD_binding_2	2.21e-09	35.0	3.0
WP_052276807.1	FAD_binding_2	3.27e-08	31.2	4.9
WP_052277178.1	FAD_binding_2	1.01e-07	29.5	0.2
