# target_name	query_name	e_value	score	bias
WP_011243157.1	adh_short	3.93e-68	226.2	6.0
WP_011242343.1	adh_short	1.62e-55	185.0	0.1
WP_126147979.1	adh_short	9.95e-52	172.6	0.0
WP_126147325.1	adh_short	2.01e-30	103.1	0.0
WP_272948005.1	adh_short	6.68e-21	72.1	0.1
WP_011378491.1	adh_short	7.85e-21	71.8	0.0
WP_126146713.1	adh_short	2.26e-09	34.4	0.0
WP_011243371.1	ADH_zinc_N	7.62e-26	88.0	0.0
WP_423218662.1	ADH_zinc_N	3.64e-24	82.6	0.0
WP_126148007.1	Thiolase_N	9.54e-08	29.1	1.0
WP_126146624.1	Lyase_1	4.57e-109	362.0	0.0
WP_126147390.1	Lyase_1	2.37e-78	261.1	0.0
WP_011377532.1	Lyase_1	1.14e-62	209.6	0.0
WP_011242491.1	Biotin_carb_N	1.79e-46	154.6	2.0
WP_126147788.1	NUDIX	3.39e-25	86.0	0.0
WP_126146805.1	NUDIX	3.85e-21	72.9	0.2
WP_126147173.1	NUDIX	4.36e-20	69.5	0.0
WP_126147523.1	NUDIX	1.59e-19	67.7	0.6
WP_011377412.1	NUDIX	6.65e-14	49.5	0.1
WP_011243856.1	Biotin_lipoyl	1.76e-24	82.8	0.0
WP_126146593.1	Biotin_lipoyl	7.50e-18	61.6	0.3
WP_011377638.1	ECH_1	3.54e-74	246.7	0.0
WP_126147881.1	Nitroreductase	1.65e-20	71.3	0.5
WP_126147738.1	FAD_binding_2	1.71e-95	318.0	0.9
WP_126146823.1	FAD_binding_2	2.45e-49	166.0	1.2
WP_126147835.1	FAD_binding_2	1.09e-12	45.3	3.3
WP_126148193.1	FAD_binding_2	1.36e-10	38.4	0.9
WP_126147090.1	FAD_binding_2	4.26e-09	33.4	3.1
WP_126146645.1	FAD_binding_2	3.61e-08	30.4	11.3
WP_011244229.1	FAD_binding_2	3.79e-08	30.3	0.2
WP_126147631.1	FAD_binding_2	7.71e-08	29.3	1.6
WP_126146664.1	FAD_binding_2	1.80e-07	28.1	0.4
WP_126148131.1	FAD_binding_2	2.84e-07	27.4	7.7
WP_011377912.1	FAD_binding_2	4.06e-07	26.9	5.6
WP_126148087.1	FAD_binding_2	7.33e-07	26.1	0.1
WP_238154257.1	FAD_binding_2	7.66e-07	26.0	0.7
WP_126148122.1	FAD_binding_2	1.09e-06	25.5	0.1
WP_126147223.1	FAD_binding_2	2.01e-06	24.6	0.5
WP_011378061.1	FAD_binding_2	2.24e-06	24.5	2.5
WP_011243324.1	FAD_binding_2	3.26e-06	23.9	0.1
WP_423218663.1	FAD_binding_2	4.62e-06	23.4	2.0
WP_126147421.1	FAD_binding_2	4.99e-06	23.3	4.5
WP_126147695.1	Carboxyl_trans	1.35e-21	74.1	0.0
WP_011242365.1	Carboxyl_trans	1.11e-11	41.4	0.2
WP_126148057.1	B12-binding	4.59e-19	65.9	0.5
WP_126147992.1	B12-binding	2.05e-13	47.6	0.0
WP_126146759.1	B12-binding	3.14e-06	24.4	0.0
WP_011242491.1	Biotin_carb_C	5.75e-42	139.6	0.0
WP_126146784.1	CPSase_L_D2	6.89e-113	372.7	0.5
WP_011242491.1	CPSase_L_D2	7.56e-86	284.4	0.0
WP_126147454.1	CPSase_L_D2	1.89e-12	44.6	0.0
WP_126146853.1	CPSase_L_D2	3.59e-09	33.8	0.0
WP_126146677.1	CPSase_L_D2	8.98e-09	32.5	0.1
WP_126148025.1	CPSase_L_D2	5.70e-07	26.6	0.0
WP_126146823.1	Succ_DH_flav_C	2.02e-32	109.3	0.1
WP_126147738.1	Succ_DH_flav_C	1.06e-17	61.7	0.2
WP_011242365.1	ACCA	3.60e-143	473.7	0.0
WP_011243371.1	ADH_N	7.31e-25	84.7	3.4
WP_423218662.1	ADH_N	2.41e-19	66.9	0.1
WP_126146624.1	FumaraseC_C	6.52e-23	78.4	2.1
WP_011244829.1	Fer2_3	6.38e-22	75.0	0.3
WP_126147839.1	Fer4_8	1.48e-14	51.7	3.0
WP_011244829.1	Fer4_8	2.58e-08	31.7	2.5
WP_011242523.1	Fer4_8	8.47e-08	30.1	8.9
WP_126147448.1	Fer4_8	2.68e-06	25.3	9.2
WP_011378517.1	Fer4_8	5.37e-06	24.3	11.1
WP_126147839.1	Fer4_10	1.82e-10	38.0	3.1
WP_011242523.1	Fer4_10	5.99e-10	36.4	8.5
WP_126147448.1	Fer4_10	2.21e-09	34.5	7.3
WP_011243298.1	Fer4_10	3.91e-09	33.7	14.6
WP_011244273.1	Fer4_10	6.60e-09	33.0	10.3
WP_011243037.1	Fer4_10	9.66e-09	32.5	10.2
WP_011378517.1	Fer4_10	2.51e-07	28.0	6.1
WP_126147839.1	Fer4_17	5.14e-10	37.2	2.7
WP_011243298.1	Fer4_17	2.05e-07	28.9	12.6
WP_272948005.1	adh_short_C2	1.17e-83	277.7	0.0
WP_011243157.1	adh_short_C2	3.43e-69	230.4	11.0
WP_011242343.1	adh_short_C2	4.00e-63	210.5	0.0
WP_126147979.1	adh_short_C2	1.06e-42	143.7	0.1
WP_126147325.1	adh_short_C2	2.16e-24	83.8	0.0
WP_011378491.1	adh_short_C2	8.40e-12	42.5	0.0
WP_011243199.1	Glyoxalase_4	1.14e-09	35.9	0.0
WP_126146973.1	Glyoxalase_4	5.08e-09	33.8	0.0
WP_011242427.1	Glyoxalase_4	5.25e-07	27.3	0.0
